Provincias;Residencia;Meses;Total
Balears, Illes;Residentes en España;Enero;2,34
Balears, Illes;Residentes en España;Febrero;3,75
Balears, Illes;Residentes en España;Marzo;4,76
Balears, Illes;Residentes en España;Abril;4,56
Balears, Illes;Residentes en España;Mayo;3,41
Balears, Illes;Residentes en España;Junio;4,34
Balears, Illes;Residentes en España;Julio;4,41
Balears, Illes;Residentes en España;Agosto;4,81
Balears, Illes;Residentes en España;Septiembre;4,15
Balears, Illes;Residentes en España;Octubre;2,72
Balears, Illes;Residentes en España;Noviembre;2,11
Balears, Illes;Residentes en España;Diciembre;2,18
Balears, Illes;No residentes en España;Enero;5,16
Balears, Illes;No residentes en España;Febrero;5,60
Balears, Illes;No residentes en España;Marzo;5,79
Balears, Illes;No residentes en España;Abril;5,45
Balears, Illes;No residentes en España;Mayo;5,66
Balears, Illes;No residentes en España;Junio;6,43
Balears, Illes;No residentes en España;Julio;6,71
Balears, Illes;No residentes en España;Agosto;6,86
Balears, Illes;No residentes en España;Septiembre;6,94
Balears, Illes;No residentes en España;Octubre;7,15
Balears, Illes;No residentes en España;Noviembre;5,18
Balears, Illes;No residentes en España;Diciembre;4,28
Barcelona;Residentes en España;Enero;1,77
Barcelona;Residentes en España;Febrero;1,76
Barcelona;Residentes en España;Marzo;1,99
Barcelona;Residentes en España;Abril;2,22
Barcelona;Residentes en España;Mayo;2,03
Barcelona;Residentes en España;Junio;1,99
Barcelona;Residentes en España;Julio;2,14
Barcelona;Residentes en España;Agosto;2,39
Barcelona;Residentes en España;Septiembre;2,05
Barcelona;Residentes en España;Octubre;1,89
Barcelona;Residentes en España;Noviembre;1,82
Barcelona;Residentes en España;Diciembre;1,80
Barcelona;No residentes en España;Enero;2,67
Barcelona;No residentes en España;Febrero;2,58
Barcelona;No residentes en España;Marzo;2,76
Barcelona;No residentes en España;Abril;2,76
Barcelona;No residentes en España;Mayo;2,86
Barcelona;No residentes en España;Junio;2,99
Barcelona;No residentes en España;Julio;3,48
Barcelona;No residentes en España;Agosto;3,53
Barcelona;No residentes en España;Septiembre;3,22
Barcelona;No residentes en España;Octubre;2,93
Barcelona;No residentes en España;Noviembre;2,63
Barcelona;No residentes en España;Diciembre;2,61
Girona;Residentes en España;Enero;2,26
Girona;Residentes en España;Febrero;1,96
Girona;Residentes en España;Marzo;2,50
Girona;Residentes en España;Abril;2,64
Girona;Residentes en España;Mayo;1,94
Girona;Residentes en España;Junio;2,06
Girona;Residentes en España;Julio;2,65
Girona;Residentes en España;Agosto;3,15
Girona;Residentes en España;Septiembre;2,39
Girona;Residentes en España;Octubre;1,73
Girona;Residentes en España;Noviembre;1,56
Girona;Residentes en España;Diciembre;1,98
Girona;No residentes en España;Enero;2,30
Girona;No residentes en España;Febrero;2,89
Girona;No residentes en España;Marzo;2,89
Girona;No residentes en España;Abril;3,44
Girona;No residentes en España;Mayo;3,29
Girona;No residentes en España;Junio;4,25
Girona;No residentes en España;Julio;4,97
Girona;No residentes en España;Agosto;4,83
Girona;No residentes en España;Septiembre;4,79
Girona;No residentes en España;Octubre;3,87
Girona;No residentes en España;Noviembre;3,22
Girona;No residentes en España;Diciembre;2,39
Madrid;Residentes en España;Enero;1,75
Madrid;Residentes en España;Febrero;1,65
Madrid;Residentes en España;Marzo;1,69
Madrid;Residentes en España;Abril;1,76
Madrid;Residentes en España;Mayo;1,74
Madrid;Residentes en España;Junio;1,66
Madrid;Residentes en España;Julio;1,65
Madrid;Residentes en España;Agosto;1,78
Madrid;Residentes en España;Septiembre;1,70
Madrid;Residentes en España;Octubre;1,73
Madrid;Residentes en España;Noviembre;1,69
Madrid;Residentes en España;Diciembre;1,77
Madrid;No residentes en España;Enero;2,28
Madrid;No residentes en España;Febrero;2,15
Madrid;No residentes en España;Marzo;2,25
Madrid;No residentes en España;Abril;2,27
Madrid;No residentes en España;Mayo;2,25
Madrid;No residentes en España;Junio;2,23
Madrid;No residentes en España;Julio;2,20
Madrid;No residentes en España;Agosto;2,20
Madrid;No residentes en España;Septiembre;2,23
Madrid;No residentes en España;Octubre;2,23
Madrid;No residentes en España;Noviembre;2,22
Madrid;No residentes en España;Diciembre;2,27
Málaga;Residentes en España;Enero;2,68
Málaga;Residentes en España;Febrero;2,50
Málaga;Residentes en España;Marzo;3,09
Málaga;Residentes en España;Abril;2,92
Málaga;Residentes en España;Mayo;2,33
Málaga;Residentes en España;Junio;2,56
Málaga;Residentes en España;Julio;3,22
Málaga;Residentes en España;Agosto;3,51
Málaga;Residentes en España;Septiembre;2,74
Málaga;Residentes en España;Octubre;2,44
Málaga;Residentes en España;Noviembre;1,98
Málaga;Residentes en España;Diciembre;2,37
Málaga;No residentes en España;Enero;4,26
Málaga;No residentes en España;Febrero;4,22
Málaga;No residentes en España;Marzo;4,14
Málaga;No residentes en España;Abril;3,93
Málaga;No residentes en España;Mayo;4,09
Málaga;No residentes en España;Junio;4,58
Málaga;No residentes en España;Julio;5,09
Málaga;No residentes en España;Agosto;4,81
Málaga;No residentes en España;Septiembre;4,47
Málaga;No residentes en España;Octubre;4,57
Málaga;No residentes en España;Noviembre;4,42
Málaga;No residentes en España;Diciembre;3,79
Sevilla;Residentes en España;Enero;1,71
Sevilla;Residentes en España;Febrero;1,61
Sevilla;Residentes en España;Marzo;1,76
Sevilla;Residentes en España;Abril;1,84
Sevilla;Residentes en España;Mayo;1,76
Sevilla;Residentes en España;Junio;1,71
Sevilla;Residentes en España;Julio;1,85
Sevilla;Residentes en España;Agosto;1,93
Sevilla;Residentes en España;Septiembre;1,83
Sevilla;Residentes en España;Octubre;1,78
