Provincias;Meses;Total
07 Balears, Illes;Enero;9,48
07 Balears, Illes;Febrero;7,27
07 Balears, Illes;Marzo;6,09
07 Balears, Illes;Abril;5,81
07 Balears, Illes;Mayo;5,59
07 Balears, Illes;Junio;5,96
07 Balears, Illes;Julio;6,06
07 Balears, Illes;Agosto;5,96
07 Balears, Illes;Septiembre;6,13
07 Balears, Illes;Octubre;6,36
07 Balears, Illes;Noviembre;5,81
07 Balears, Illes;Diciembre;5,28
08 Barcelona;Enero;7,41
08 Barcelona;Febrero;6,88
08 Barcelona;Marzo;5,95
08 Barcelona;Abril;5,72
08 Barcelona;Mayo;5,62
08 Barcelona;Junio;5,24
08 Barcelona;Julio;3,90
08 Barcelona;Agosto;4,47
08 Barcelona;Septiembre;4,97
08 Barcelona;Octubre;5,65
08 Barcelona;Noviembre;6,20
08 Barcelona;Diciembre;6,10
17 Girona;Enero;3,15
17 Girona;Febrero;2,84
17 Girona;Marzo;2,80
17 Girona;Abril;3,18
17 Girona;Mayo;4,10
17 Girona;Junio;4,89
17 Girona;Julio;7,41
17 Girona;Agosto;7,98
17 Girona;Septiembre;6,32
17 Girona;Octubre;4,15
17 Girona;Noviembre;2,50
17 Girona;Diciembre;2,94
28 Madrid;Enero;4,08
28 Madrid;Febrero;3,59
28 Madrid;Marzo;3,47
28 Madrid;Abril;3,35
28 Madrid;Mayo;3,30
28 Madrid;Junio;3,19
28 Madrid;Julio;3,28
28 Madrid;Agosto;3,42
28 Madrid;Septiembre;3,20
28 Madrid;Octubre;3,19
28 Madrid;Noviembre;3,30
28 Madrid;Diciembre;3,42
29 Málaga;Enero;5,05
29 Málaga;Febrero;4,93
29 Málaga;Marzo;4,89
29 Málaga;Abril;4,62
29 Málaga;Mayo;4,55
29 Málaga;Junio;4,82
29 Málaga;Julio;5,60
29 Málaga;Agosto;5,43
29 Málaga;Septiembre;4,97
29 Málaga;Octubre;5,08
29 Málaga;Noviembre;4,62
29 Málaga;Diciembre;4,32
41 Sevilla;Enero;2,53
41 Sevilla;Febrero;2,32
41 Sevilla;Marzo;2,37
41 Sevilla;Abril;2,51
41 Sevilla;Mayo;2,34
41 Sevilla;Junio;2,35
41 Sevilla;Julio;2,56
41 Sevilla;Agosto;2,47
41 Sevilla;Septiembre;2,35
41 Sevilla;Octubre;2,34
41 Sevilla;Noviembre;2,33
41 Sevilla;Diciembre;2,60
46 Valencia/València;Enero;3,73
46 Valencia/València;Febrero;3,49
46 Valencia/València;Marzo;3,72
46 Valencia/València;Abril;3,28
46 Valencia/València;Mayo;3,17
46 Valencia/València;Junio;3,96
46 Valencia/València;Julio;6,84
46 Valencia/València;Agosto;6,84
46 Valencia/València;Septiembre;4,41
46 Valencia/València;Octubre;3,32
46 Valencia/València;Noviembre;3,18
46 Valencia/València;Diciembre;3,40
