Variable_original,Etiqueta_Stata,Estado,Variable_destino
i0500a,i0500a: por que comprar? a. es mas barato ser propietario que alquilar,Agrupada en variable padre,i0500x
i0500b,i0500b: por que comprar? b. alquilar es tirar el dinero,Agrupada en variable padre,i0500x
i0500c,i0500c: por que comprar? c. los pagos de alquiler fluctuan de anio en anio,Agrupada en variable padre,i0500x
i0500d,i0500d: por que comprar? d. ir amortizando la hipoteca es una forma de ahorrar,Agrupada en variable padre,i0500x
i0500e,i0500e: por que comprar? e. no me gusta cambiar de domicilio,Agrupada en variable padre,i0500x
i0500f,i0500f: por que comprar? f. asi puedo adaptar la vivienda a mi medida,Agrupada en variable padre,i0500x
i0500g,i0500g: por que comprar? g. compre mi vivienda como inversion,Agrupada en variable padre,i0500x
i0500h,i0500h: por que comprar? h. comprar tiene ventajas fiscales,Agrupada en variable padre,i0500x
i0500i,i0500i: por que comprar? i. el tipo de vivienda que quiero no esta en alquiler,Agrupada en variable padre,i0500x
i0500k,i0500k: por que comprar? k. herencia o regalo,Agrupada en variable padre,i0500x
i0500j,i0500i: por que comprar? j. otros,Agrupada en variable padre,i0500x
i0800,i0800: en que anio compraron su vivienda principal?,Conservada directamente,i0800
i0510,i0510: alguna vez se ha enfrentado a algun obstaculo al intentar comprar su prop,Conservada directamente,i0510
i0520a,i0520a: que dificultad ha experimentado?: a. el precio de la vivienda,Agrupada en variable padre,i0520x
i0520b,i0520b: que dificultad ha experimentado?: b. las opciones eran limitadas,Agrupada en variable padre,i0520x
i0520c,i0520c: que dificultad ha experimentado?: c. el tipo de vivienda que queria no e,Agrupada en variable padre,i0520x
i0520e,i0520e: que dificultad ha experimentado?: e. no podia hacer frente a los pagos d,Agrupada en variable padre,i0520x
i0520f,i0520f: que dificultad ha experimentado?: f. no podia hacer frente a la entrada,Agrupada en variable padre,i0520x
i0520d,i0520d: que dificultad ha experimentado?: d. no reunia las condiciones,Agrupada en variable padre,i0520x
i0520g,i0520g: que dificultad ha experimentado?: g. otro,Agrupada en variable padre,i0520x
i0601,i0601: tienen hipotecada su vivienda principal?,Conservada directamente,i0601
i0602,i0602: con que objetivos hipotecaron su vivienda principal?,Conservada directamente,i0602
i0700,i0700: cual es el importe mensual que pagan por la/las hipoteca?,Conservada directamente,i0700
i0900,i0900: que porcentaje del precio de compra de la vivienda supuso la hipoteca?,Conservada directamente,i0900
i1000,i1000: poseen otras viviendas/solares/fincas/naves/garajes...?,Conservada directamente,i1000
i0400a,i0400a: como evolucionara el valor de la vivienda? a. caida mas del 6%,Conservada directamente,i0400a
i0400b,i0400b: como evolucionara el valor de la vivienda? b. caida entre 2% y 6%,Conservada directamente,i0400b
i0400c,i0400c: como evolucionara el valor de la vivienda? c. estable (<+-2%),Conservada directamente,i0400c
i0400d,i0400d: como evolucionara el valor de la vivienda? d. subida entre 2% y 6%,Conservada directamente,i0400d
i0400e,i0400e: como evolucionara el valor de la vivienda? e. subida mas del 6%,Conservada directamente,i0400e
j0100,j0100: hace su hogar una planificacion de sus gastos? ,Conservada directamente,j0100
j0110,j0110: usan alguna app bancaria o herramienta de administracion…,Conservada directamente,j0110
j0200,"j0200: en los ultimos 12 meses, han sido sus gastos mayores que sus ingresos?",Conservada directamente,j0200
j0300a,j0300a: gastos exceden ingresos?: a. utilizar ahorros,Agrupada en variable padre,j0300x
j0300b,j0300b: gastos exceden ingresos?: b. vender activos,Agrupada en variable padre,j0300x
j0300c,j0300c: gastos exceden ingresos?: c. pedir prestado a familiares o a amigos,Agrupada en variable padre,j0300x
j0300d,j0300d: gastos exceden ingresos?: d. pedir un adelanto...,Agrupada en variable padre,j0300x
j0300e,j0300e: gastos exceden ingresos?: e. hipotecar un inmueble,Agrupada en variable padre,j0300x
j0300f,j0300f: gastos exceden ingresos?: f. ampliar una hipoteca ya existente,Agrupada en variable padre,j0300x
j0300g,j0300g: gastos exceden ingresos?: g. solicitar rescate anticipado plan pensiones,Agrupada en variable padre,j0300x
j0300h,j0300h: gastos exceden ingresos?: h. empeniar algo de su propiedad,Agrupada en variable padre,j0300x
j0300i,j0300i: gastos exceden ingresos?: i. disponer de una linea de credito existente.,Agrupada en variable padre,j0300x
j0300j,j0300j: gastos exceden ingresos?: j. utilizar la tarjeta de credito...,Agrupada en variable padre,j0300x
j0300k,j0300k: gastos exceden ingresos?: k. pedir un prestamo personal...,Agrupada en variable padre,j0300x
j0300l,j0300l: gastos exceden ingresos?: l. pedir un prestamo de un proveedor...,Agrupada en variable padre,j0300x
j0300m,j0300m: gastos exceden ingresos?: m. hacer un uso no autorizado del descubierto,Agrupada en variable padre,j0300x
j0300n,j0300n: gastos exceden ingresos?: n. pagar con retraso o no pagar recibos,Agrupada en variable padre,j0300x
j0300p,j0300p: gastos exceden ingresos?: p. ayudas publicas,Agrupada en variable padre,j0300x
j0300o,j0300o: gastos exceden ingresos?: o. otros,Agrupada en variable padre,j0300x
j0400,j0400: durante cuanto tiempo podria(n) hacer frente a sus gastos corrientes...?,Conservada directamente,j0400
j0500,"j0500: cuanto gastan en promedio en comida, dentro y fuera de casa?",Conservada directamente,j0500
j0600,"j0600: este gasto en comida del que me acaba de hablar, hace referencia a:",Conservada directamente,j0600
j0700,j0700: cuanto gasto su hogar en educacion durante el ultimo anio?,Conservada directamente,j0700
j0800a,j0800a: gastos en educacion de: a. hijos menores de 18 anios,Agrupada en variable padre,j0800x
j0800b,j0800b: gastos en educacion de: b. hijos mayores de 18 anios,Agrupada en variable padre,j0800x
j0800c,j0800c: gastos en educacion de: c. pareja o conyuge,Agrupada en variable padre,j0800x
j0800d,j0800d: gastos en educacion de: d. propia,Agrupada en variable padre,j0800x
j0800e,j0800e: gastos en educacion de: e. nietos menores de 18 anios,Agrupada en variable padre,j0800x
j0800f,j0800f: gastos en educacion de: f. nietos mayores de 18 anios,Agrupada en variable padre,j0800x
j0800h,j0800h: gastos en educacion de: h. hermanos,Agrupada en variable padre,j0800x
j0800g,j0800g: gastos en educacion de: g. otros,Agrupada en variable padre,j0800x
j0810,j0810: alguna de estas personas no forman parte de su hogar?,Conservada directamente,j0810
j0900a,j0900a: ha experimentado..?: a. solicitaron prestamo que fue rechazado,Agrupada en variable padre,j0900x
j0900b,j0900b: ha experimentado..?: b. solicitaron prestamo y la cantidad concedida fue,Agrupada en variable padre,j0900x
j0900c,j0900c: ha experimentado..?: c. no pidieron prestamo porque no se lo concederian,Agrupada en variable padre,j0900x
j0900d,"j0900d: ha experimentado..?: d. no, ninguna de las anteriores",Agrupada en variable padre,j0900x
j0910a,j0910a: por que cree que no se concederian?: a. deuda existente,Agrupada en variable padre,j0910x
j0910b,j0910b: por que cree que no se concederian?: b. trabajo inestable,Agrupada en variable padre,j0910x
j0910c,j0910c: por que cree que no se concederian?: c. caracteristicas de hogar,Agrupada en variable padre,j0910x
j0910d,j0910d: por que cree que no se concederian?: d. garantias,Agrupada en variable padre,j0910x
j0910e,j0910e: por que cree que no se concederian?: e. no lo necesitaba,Agrupada en variable padre,j0910x
j0910f,j0910f: por que cree que no se concederian?: f. otros,Agrupada en variable padre,j0910x
j0920,j0920: considero pedir algun tipo de estos prestamos en los ultimos dos anios?,Conservada directamente,j0920
j1000,"j1000: en los ultimos 12 meses, han retrasado el pago de alguna de sus deudas...",Conservada directamente,j1000
j1100,"j1100: estas deudas, son deudas contraidas con una entidad financiera o bancaria",Conservada directamente,j1100
j1201,"j1201: ultimos 12 meses,algun miembro de su hogar ha perdido su empleo?",Conservada directamente,j1201
j1202,"j1202: ultimos 12 meses,algun miembro de su hogar en paro ha encontrado empleo?",Conservada directamente,j1202
j1203,"j1203: ultimos 12 meses,algun miembro de su hogar ha tenido un accidente...?",Conservada directamente,j1203
j1300,j1300: cuales son los ingresos brutos anuales totales del hogar?,Conservada directamente,j1300
j1400,j1400: hubiera estado dispuesto a realizar la entrevista presencialmente?,Conservada directamente,j1400
j1600,"j1600: en cuanto al cuaderno de cartones…, lo ha consultado…?",Conservada directamente,j1600
k1908,k1908: ha oido hablar de las cuentas o depositos de ahorro o a plazo...?,Conservada directamente,k1908
k1901,k1901: ha oido hablar de las hipotecas?,Conservada directamente,k1901
k1902,k1902: ha oido hablar de los planes de pensiones individuales o de empresa?,Conservada directamente,k1902
k1903,k1903: ha oido hablar de los fondos de inversion?,Conservada directamente,k1903
k1904,k1904: ha oido hablar de las acciones?,Conservada directamente,k1904
k1905,k1905: ha oido hablar de los activos de renta fija publica o privada?,Conservada directamente,k1905
k1906,k1906: ha oido hablar de los prestamos personales?,Conservada directamente,k1906
k1907,k1907: ha oido hablar de las tarjetas de credito?,Conservada directamente,k1907
k1909,k1909: ha oido hablar de los seguros de vida?,Conservada directamente,k1909
k1910,k1910: ha oido hablar de los seguros medicos?,Conservada directamente,k1910
k1912,k1912: ha oido hablar de las criptomonedas?,Conservada directamente,k1912
k0100,k0100: como calificaria sus conocimientos generales sobre temas financieros?,Conservada directamente,k0100
k0500,k0500: imagine que cinco hermanos reciben eur1000...?,Conservada directamente,k0500
k0600,k0600: imagine ahora que los cinco hermanos tuvieran que esperar un anio...,Conservada directamente,k0600
k0700,k0700: si presta eur25 a un amigo una noche y este le devuelve eur25...,Conservada directamente,k0700
k0800,k0800: ingresa eur100 en una cuenta de ahorro con un interes fijo...,Conservada directamente,k0800
k0900,k0900: cuanto dinero habra en la cuenta despues de cinco anios?,Conservada directamente,k0900
k1001,k1001: una inversion con una rentabilidad elevada puede ser de alto riesgo,Conservada directamente,k1001
k1002,k1002: una inflacion elevada significa que el coste de la vida esta aumentando..,Conservada directamente,k1002
k1003,"k1003: por lo general, es posible reducir el riesgo de invertir en bolsa...",Conservada directamente,k1003
k1004,"k1004: si tuviera que elegir una opcion, probablemente verdadero o falso?",Conservada directamente,k1004
k1005,k1005: como de seguro esta que la respuesta que ha dado es correcta?,Conservada directamente,k1005
k1200,k1200: una hipoteca a 15 anios requiere normalmente pagos mensuales mas...,Conservada directamente,k1200
k1101,k1101: que fondo obtuvo el mejor rendimiento al termino de los seis anios?,Conservada directamente,k1101
k0401,k0401: puede senialar en que frase del texto se indica...?,Conservada directamente,k0401
k0402,k0402: a que edad comenzo a participar cabaniero en competiciones de natacion?,Conservada directamente,k0402
k0300,k0300: imagine que para producir cinco aparatos se necesitan cinco maquinas...,Conservada directamente,k0300
k1400,"k1400: en una loteria, la probabilidad de ganar un premio es del 1%.¿cuantas per",Conservada directamente,k1400
k1500,k1500: imagine que el pronostico del tiempo dice que la probabilidad de lluvia..,Conservada directamente,k1500
k1600,k1600: el siguiente mensaje estaba escrito en un medicamento…,Conservada directamente,k1600
k1701,k1701: que tipo de interes cree que seria mejor para una pareja que solicita un ,Conservada directamente,k1701
k1702,k1702: que tipo de interes cree que seria mejor para una pareja que transfiere d,Conservada directamente,k1702
k1800,k1800: que afirmacion explica mejor el significado de que el pib haya aumentado ,Conservada directamente,k1800
k1300,k1300: como de seguro esta que las respuesta que nos ha dado son correctas?,Conservada directamente,k1300
k2020,k2020: ha consultado el cuaderno de cartones antes de realizar la entrevista?,Conservada directamente,k2020
negativa_pmi,negativa_pmi: respondio la persona más informada a la seccion k?,Conservada directamente,negativa_pmi
tmp_e0401,tmp_e0401: tiempo empleado para responder la pregunta e0401,Conservada directamente,tmp_e0401
age,age: edad,Eliminada: perfil no seleccionado para segmentación,
f0900a,f0900a: quienes toman parte en las decisiones del dia a dia sobre el dinero?: a.,Conservada directamente,f0900a
f1000a,f1000a: quienes toman parte en las decisiones sobre las propiedades...?: a. pers,Conservada directamente,f1000a
weight,weight: peso,Conservada directamente,weight
a0940,a0940: genero de la pareja,Eliminada: perfil no seleccionado para segmentación,
a0930,a0930: edad de la pareja,Eliminada: perfil no seleccionado para segmentación,
a0300,a0300: en que pais nacio?,Eliminada: perfil no seleccionado para segmentación,
a0310,a0310: en que anio llego a espania?,Eliminada: perfil no seleccionado para segmentación,
ccaaf,ccaaf: codigos de comunidad autonoma de residencia,Conservada directamente,ccaaf
a0930_b,a0930_b: edad de la pareja (en brackets),Eliminada: perfil no seleccionado para segmentación,
a0950,a0950: cuantos anios lleva viviendo con su pareja?,Eliminada: perfil no seleccionado para segmentación,
f1100,f1100: quien tiene un mayor conocimiento de la economia y las finanzas del hogar,Conservada directamente,f1100
f1200,f1200: edad de la persona informada,Conservada directamente,f1200
f1200_b,f1200_b: edad de la persona informada (en brackets),Conservada directamente,f1200_b
f1300,f1300: genero de la persona informada,Conservada directamente,f1300
a0900b,a0900b: con quien vive habitualmente?: b. con su pareja,Agrupada en variable padre,a0900x
a0900c,a0900c: con quien vive habitualmente?: c. con hijos menores de 18 anios,Agrupada en variable padre,a0900x
a0900d,a0900d: con quien vive habitualmente?: d. con hijos mayores de 18 anios,Agrupada en variable padre,a0900x
a0900e,a0900e: con quien vive habitualmente?: e. con alguno de sus padres/suegros,Agrupada en variable padre,a0900x
a0900f,a0900f: con quien vive habitualmente?: f. nietos/bisnietos mayores de 18 anios,Agrupada en variable padre,a0900x
a0900l,a0900l: con quien vive habitualmente?: f. nietos/bisnietos menores de 18 anios,Agrupada en variable padre,a0900x
a0900j,a0900j: con quien vive habitualmente?: j. con amigos/colegas/estudiantes,Agrupada en variable padre,a0900x
a0900h,a0900h: con quien vive habitualmente?: h. yerno/nuera,Agrupada en variable padre,a0900x
a0900g,a0900g: con quien vive habitualmente?: g. hermanos,Agrupada en variable padre,a0900x
a0900i,a0900i: con quien vive habitualmente?: i. con otros parientes,Agrupada en variable padre,a0900x
a0900a,a0900a: con quien vive habitualmente?: a. solo/a,Agrupada en variable padre,a0900x
a0900k,a0900k: con quien vive habitualmente?: k. otros,Agrupada en variable padre,a0900x
a1800,a1800: profesion o trabajo (2 digitos cno-11),Conservada directamente,a1800
a0200,a0200: en que ccaa nacio?,Eliminada: perfil no seleccionado para segmentación,
f0900b,f0900b: quienes toman parte en las decisiones del dia a dia sobre el dinero?: b.,Conservada directamente,f0900b
f1000b,f1000b: quienes toman parte en las decisiones sobre las propiedades...?: b. pare,Conservada directamente,f1000b
f0900c,f0900c: quienes toman parte en las decisiones del dia a dia sobre el dinero?: c.,Conservada directamente,f0900c
f1000c,f1000c: quienes toman parte en las decisiones sobre las propiedades...?: c. madr,Conservada directamente,f1000c
f0900d,f0900d: quienes toman parte en las decisiones del dia a dia sobre el dinero?: d.,Conservada directamente,f0900d
f1000d,f1000d: quienes toman parte en las decisiones sobre las propiedades...?: d. padr,Conservada directamente,f1000d
f0900e,f0900e: quienes toman parte en las decisiones del dia a dia sobre el dinero?: e.,Conservada directamente,f0900e
f1000e,f1000e: quienes toman parte en las decisiones sobre las propiedades...?: e. otro,Conservada directamente,f1000e
ID,Id: identificador del individuo,Conservada directamente,ID
,Indicador derivado,Indicador añadido,n_canales_uso_banco
,Indicador derivado,Indicador añadido,usa_banca_digital
,Indicador derivado,Indicador añadido,pref_banca_digital
,Indicador derivado,Indicador añadido,usa_pago_digital
,Indicador derivado,Indicador añadido,n_productos_financieros
,Indicador derivado,Indicador añadido,tiene_vehiculo_ahorro
,Indicador derivado,Indicador añadido,tiene_exposicion_credito
,Indicador derivado,Indicador añadido,tiene_seguro
,Indicador derivado,Indicador añadido,ahorra_12m
,Indicador derivado,Indicador añadido,n_vehiculos_ahorro
,Indicador derivado,Indicador añadido,ahorro_formal
,Indicador derivado,Indicador añadido,ahorro_informal
,Indicador derivado,Indicador añadido,n_fuentes_ingreso
,Indicador derivado,Indicador añadido,ingreso_por_activos
,Indicador derivado,Indicador añadido,dependencia_ingresos_familiares
,Indicador derivado,Indicador añadido,score_disciplina_financiera
,Indicador derivado,Indicador añadido,score_preocupacion_financiera
,Indicador derivado,Indicador añadido,score_planificacion_financiera
,Indicador derivado,Indicador añadido,puntos_destino_consumo
,Indicador derivado,Indicador añadido,puntos_destino_ahorro
,Indicador derivado,Indicador añadido,puntos_destino_deuda
,Indicador derivado,Indicador añadido,score_alfabetizacion_financiera
,Indicador derivado,Indicador añadido,score_numeracy_financiera
,Indicador derivado,Indicador añadido,score_comprension_riesgo
,Indicador derivado,Indicador añadido,score_competencia_economica
,Indicador derivado,Indicador añadido,score_conocimiento_productos
,Indicador derivado,Indicador añadido,barrera_acceso_vivienda
,Indicador derivado,Indicador añadido,expectativa_subida_precio_vivienda
,Indicador derivado,Indicador añadido,n_dificultades_compra_vivienda
,Indicador derivado,Indicador añadido,financiacion_ahorros_activos
,Indicador derivado,Indicador añadido,financiacion_credito_informal
,Indicador derivado,Indicador añadido,financiacion_credito_formal
,Indicador derivado,Indicador añadido,financiacion_estres_pago
,Indicador derivado,Indicador añadido,restriccion_acceso_credito
,Indicador derivado,Indicador añadido,score_fragilidad_financiera
