ccaaf,a0000,a0100,a1030,a1100,a1500,a1900,b0100,b1201,n_canales_uso_banco,usa_banca_digital,pref_banca_digital,usa_pago_digital,n_productos_financieros,tiene_vehiculo_ahorro,tiene_exposicion_credito,tiene_seguro,ahorra_12m,n_vehiculos_ahorro,ahorro_formal,ahorro_informal,c0100,c0300,c0500,n_fuentes_ingreso,ingreso_por_activos,dependencia_ingresos_familiares,d0300,d0400,d0500,d0600,score_disciplina_financiera,score_preocupacion_financiera,score_planificacion_financiera,puntos_destino_consumo,puntos_destino_ahorro,puntos_destino_deuda,e0100,e0300,score_alfabetizacion_financiera,score_numeracy_financiera,score_comprension_riesgo,score_competencia_economica,score_conocimiento_productos,f1100,i0100,i0510,i1000,barrera_acceso_vivienda,expectativa_subida_precio_vivienda,n_dificultades_compra_vivienda,j0100,j0110,j0200,j0400,j1000,j1201,j1203,j1300,financiacion_ahorros_activos,financiacion_credito_informal,financiacion_credito_formal,financiacion_estres_pago,restriccion_acceso_credito,score_fragilidad_financiera
País Vasco,Mujer,Otro país,Soltero,c. Primera etapa de Educación Secundaria y similar,"h. Estudiante, escolar o en formación",No,Sí,No,3,1,1,1,0,0,0,0,1,2,1,1,No está planificando su jubilación o vejez,No espera jubilarse/ Nunca/ Trabajará mientras pueda,No ha lugar (no aplica filtro),1,0,0,2.000 euros hoy,2.000 euros hoy,No ha lugar (no aplica filtro),0,4.25,3.6,4.4,3.0,4.0,2.0,2- Bastante bajos,5.0,3,2,2,2,2,Madre,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No,No,0,3.0,0,Sí,Sí,No,No sabe,No sabe,No,No,c. Entre 15.001 y 27.000 euros,0,0,0,0,0,0
Castilla y León,Mujer,España,Viudo,b. Educación primaria Incluye sabe leer y escribir pero no tiene título,c. Se ocupa de su hogar,No,Sí,No,2,0,0,0,1,1,0,0,0,0,0,0,4 (BIEN),No espera jubilarse/ Nunca/ Trabajará mientras pueda,No ha lugar (no aplica filtro),4,1,0,2.000 euros hoy,2.000 euros hoy,No ha lugar (no aplica filtro),100,5.0,3.8,3.2,5.0,5.0,0.0,1- Muy bajos,No sabe,0,1,1,1,1,No ha lugar (no aplica filtro),a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),Sí,0,0.0,0,Sí,No,Sí,"c. Por lo menos un mes, pero menos de tres meses",No,No,Sí,b. Entre 9.501 y 15.000 euros,1,0,0,0,0,1
"Murcia, Región de",Hombre,España,Soltero,"g. Diplomaturas universitarias, grados universitarios de 240 créditos y similares",b. Trabaja por cuenta ajena,No,Sí,No,5,1,1,1,0,0,0,0,1,2,1,1,3 (REGULAR),70,No ha lugar (no aplica filtro),2,0,0,2.000 euros hoy,2.000 euros hoy,No ha lugar (no aplica filtro),20,4.75,3.6,3.8,5.0,5.0,0.0,3- Medios,5.0,2,3,2,2,2,Titular muestral,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),No,0,10.0,0,Sí,No,No,g. Un año o más,No,No,No,c. Entre 15.001 y 27.000 euros,0,0,0,0,0,0
"Asturias, Principado de",Hombre,España,Casado,c. Primera etapa de Educación Secundaria y similar,a. Trabaja por cuenta propia,No,Sí,No,4,1,1,1,4,1,1,1,0,0,0,0,4 (BIEN),65,No ha lugar (no aplica filtro),3,0,1,2.000 euros hoy,2.000 euros hoy,No ha lugar (no aplica filtro),0,5.0,4.0,2.0,0.0,5.0,5.0,3- Medios,5.0,1,2,1,2,2,Pareja,b. Propiedad por herencia o regalo (mayoritariamente),No ha lugar (no aplica filtro),No,0,,0,No,No,No,"d. Por lo menos tres meses, pero menos de seis meses",No,No,No,d. Entre 27.001 y 47.000 euros,0,0,0,0,0,0
Aragón,Mujer,España,Viudo,b. Educación primaria Incluye sabe leer y escribir pero no tiene título,e. Jubilado o jubilación anticipada,No,Sí,No,2,0,0,0,3,1,1,0,1,1,1,0,No ha lugar (no aplica filtro),No ha lugar (no aplica filtro),4 (BIEN),2,1,0,2.200 euros dentro de un año,No ha lugar (no aplica filtro),2.100 euros dentro de un año,0,5.0,4.0,4.4,2.0,8.0,0.0,4- Bastante altos,5.0,3,2,2,0,2,No ha lugar (no aplica filtro),a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),Sí,0,0.0,0,Sí,No,No,g. Un año o más,No,No,No,c. Entre 15.001 y 27.000 euros,0,0,0,0,0,0
"Navarra, Comunidad Foral de",Mujer,España,Soltero,d. Segunda etapa de Educación Secundaria y similar,"h. Estudiante, escolar o en formación",No ha lugar (no aplica filtro),Sí,No,1,1,1,1,0,0,0,0,1,2,1,1,No está planificando su jubilación o vejez,No ha lugar (no aplica filtro),No ha lugar (no aplica filtro),4,0,1,2.200 euros dentro de un año,No ha lugar (no aplica filtro),2.100 euros dentro de un año,30,4.5,3.0,4.2,7.0,3.0,0.0,1- Muy bajos,No sabe,0,2,1,2,1,Madre,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),Sí,0,7.0,0,No,Sí,No,"b. Por lo menos una semana, pero menos de un mes",No,No,No,c. Entre 15.001 y 27.000 euros,0,0,0,0,0,0
Castilla - La Mancha,Hombre,España,Soltero,c. Primera etapa de Educación Secundaria y similar,b. Trabaja por cuenta ajena,No,Sí,No,5,1,0,0,1,0,1,0,1,4,1,1,4 (BIEN),65,No ha lugar (no aplica filtro),2,0,1,2.000 euros hoy,3.000 euros dentro de un año,No ha lugar (no aplica filtro),15,4.5,3.6,3.8,8.0,2.0,0.0,3- Medios,100.0,1,2,2,2,1,Otro miembro,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),Sí,0,10.0,0,Sí,Sí,No,g. Un año o más,No,No,No,e. Entre 47.001 y 71.000 euros,0,0,0,0,0,0
Cantabria,Hombre,España,Casado,"g. Diplomaturas universitarias, grados universitarios de 240 créditos y similares",e. Jubilado o jubilación anticipada,No,Sí,No,5,1,1,1,5,1,1,1,1,2,1,1,No ha lugar (no aplica filtro),No ha lugar (no aplica filtro),5 (MUY BIEN),5,1,1,2.000 euros hoy,3.000 euros dentro de un año,No ha lugar (no aplica filtro),90,5.0,1.8,4.0,10.0,0.0,0.0,4- Bastante altos,5.0,2,3,3,2,1,Titular muestral,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),Sí,0,5.0,0,Sí,Sí,No,g. Un año o más,No,No,No,f. Más de 71.000 euros,0,0,0,0,0,0
Castilla y León,Mujer,España,Casado,f. Enseñanzas de Formación Profesional de Grado Superior y equivalentes,b. Trabaja por cuenta ajena,No,Sí,No,4,1,1,1,0,0,0,0,1,2,1,1,3 (REGULAR),62,No ha lugar (no aplica filtro),3,0,1,2.000 euros hoy,3.000 euros dentro de un año,No ha lugar (no aplica filtro),50,5.0,3.8,4.0,3.0,5.0,0.0,3- Medios,500.0,3,2,3,2,2,Titular muestral,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),No,0,0.0,0,Sí,No,No,g. Un año o más,No,No,No,d. Entre 27.001 y 47.000 euros,0,0,0,0,0,0
Andalucía,Mujer,España,Casado,c. Primera etapa de Educación Secundaria y similar,c. Se ocupa de su hogar,No,Sí,No,2,1,1,1,2,1,1,0,0,0,0,0,1 (MUY MAL),No espera jubilarse/ Nunca/ Trabajará mientras pueda,No ha lugar (no aplica filtro),2,0,1,2.000 euros hoy,3.000 euros dentro de un año,No ha lugar (no aplica filtro),0,4.5,4.2,2.0,2.0,8.0,0.0,1- Muy bajos,No sabe,2,3,2,2,1,Titular muestral,a. Propiedad por compra (mayoritariamente) –incluye permuta y construcción propia,No ha lugar (no aplica filtro),No,0,0.0,0,Sí,Sí,No,g. Un año o más,No,No,Sí,b. Entre 9.501 y 15.000 euros,0,0,0,0,0,0
