periodo,pais_origen,viajeros,pernoctaciones
2024M07,Bélgica,"235,295","1,002,153"
2024M07,Dinamarca,"84,763","418,355"
2024M07,Finlandia,"22,36","84,936"
2024M07,Francia,"725,973","2,434,299"
2024M07,Grecia,"15,331","46,679"
2024M07,Irlanda,"167,416","928,18"
2024M07,Italia,"367,301","1,292,013"
2024M07,Luxemburgo,"9,42","41,968"
2024M07,Países Bajos,"340,058","1,531,236"
2024M07,Polonia,"157,004","867,696"
2024M07,Portugal,"254,474","857,672"
2024M07,República Checa,"50,29","284,236"
2024M07,Suecia,"89,84","388,025"
2024M07,Resto de la U.E.,"196,822","813,305"
2024M07,Noruega,"71,165","371,003"
2024M07,Reino Unido,"1,311,285","7,466,689"
2024M07,Rusia,,
2024M07,Suiza,"152,258","689,153"
2024M07,Otros Países Europeos,"220,23","848,98"
2024M07,África,"113,276","294,009"
2024M07,UE28 sin España,"4,925,734","23,378,883"
2024M07,UE27_2020 sin España,"3,614,448","15,912,194"
2024M07,Resto del Mundo,"331,313","905,151"
2024M07,América (sin EEUU),"508,14","1,239,501"
2024M07,Estados Unidos de América,"489,061","1,204,142"
2024M07,Japón,"27,217","56,999"
2024M07,Asia (sin Japón),,
2024M06,Alemania,"835,373","4,495,932"
2024M06,Austria,"60,029","239,892"
2024M06,Bélgica,"134,241","593,618"
2024M06,Dinamarca,"44,292","183,623"
2024M06,Finlandia,"24,407","94,121"
2024M06,Francia,"552,932","1,738,308"
2024M06,Grecia,"16,372","44,327"
2024M06,Irlanda,"180,968","924,775"
2024M06,Italia,"325,633","1,006,385"
2024M06,Luxemburgo,"8,911","40,071"
2024M06,Países Bajos,"263,909","1,192,836"
2024M06,Polonia,"153,981","817,385"
2024M06,Portugal,"228,972","673,196"
2024M06,República Checa,"48,729","246,586"
2024M06,Suecia,"77,03","336,816"
2024M06,Resto de la U.E.,"186,974","694,329"
2024M06,Noruega,"48,793","224,055"
2024M06,Reino Unido,"1,365,862","7,538,958"
2024M06,Rusia,,
2024M06,Suiza,"110,522","417,611"
2024M06,Otros Países Europeos,"197,907","694,017"
2024M06,África,"74,715","185,544"
2024M06,UE28 sin España,"4,508,616","20,861,157"
2024M06,UE27_2020 sin España,"3,142,754","13,322,200"
2024M06,Resto del Mundo,"330,668","782,651"
2024M06,América (sin EEUU),"457,393","1,078,862"
2024M06,Estados Unidos de América,"571,681","1,334,877"
2024M06,Japón,"37,25","71,862"
2024M06,Asia (sin Japón),,
2024M05,Alemania,"938,592","4,679,079"
2024M05,Austria,"77,343","275,395"
2024M05,Bélgica,"152,758","669,474"
2024M05,Dinamarca,"54,953","224,753"
2024M05,Finlandia,"28,98","119,642"
2024M05,Francia,"807,894","2,408,540"
2024M05,Grecia,"16,915","45,805"
2024M05,Irlanda,"187,539","834,469"
2024M05,Italia,"318,92","870,893"
2024M05,Luxemburgo,"11,642","52,96"
2024M05,Países Bajos,"294,016","1,317,658"
2024M05,Polonia,"147,44","635,901"
2024M05,Portugal,"163,039","368,47"
2024M05,República Checa,"37,66","143,096"
2024M05,Suecia,"76,343","313,346"
2024M05,Resto de la U.E.,"181,732","604,591"
2024M05,Noruega,"46,066","195,409"
2024M05,Reino Unido,"1,362,521","6,727,915"
2024M05,Rusia,,
2024M05,Suiza,"117,609","416,899"
2024M05,Otros Países Europeos,"184,333","573,307"
2024M05,África,"71,841","175,594"
2024M05,UE28 sin España,"4,858,287","20,291,987"
2024M05,UE27_2020 sin España,"3,495,766","13,564,072"
2024M05,Resto del Mundo,"359,002","765,034"
2024M05,América (sin EEUU),"505,456","1,154,750"
2024M05,Estados Unidos de América,"548,908","1,235,243"
2024M05,Japón,"37,934","73,489"
2024M05,Asia (sin Japón),,
2024M04,Alemania,"638,213","3,173,927"
2024M04,Austria,"52,79","180,398"
2024M04,Bélgica,"136,465","567,835"
2024M04,Dinamarca,"48,251","211,984"
2024M04,Finlandia,"31,247","153,349"
2024M04,Francia,"629,551","1,810,575"
2024M04,Grecia,"15,092","39,844"
2024M04,Irlanda,"136,786","555,977"
2024M04,Italia,"302,203","815,504"
2024M04,Luxemburgo,"11,021","51,774"
2024M04,Países Bajos,"218,788","800,419"
2024M04,Polonia,"112,932","415,012"
2024M04,Portugal,"177,491","414,06"
2024M04,República Checa,"31,04","103,079"
2024M04,Suecia,"71,704","319,171"
2024M04,Resto de la U.E.,"160,365","497,421"
2024M04,Noruega,"44,259","206,647"
2024M04,Reino Unido,"861,943","4,205,971"
2024M04,Rusia,,
2024M04,Suiza,"106,366","377,703"
2024M04,Otros Países Europeos,"159,725","453,193"
2024M04,África,"60,679","152,146"
2024M04,UE28 sin España,"3,635,880","14,316,301"
2024M04,UE27_2020 sin España,"2,773,937","10,110,329"
2024M04,Resto del Mundo,"300,003","638,384"
2024M04,América (sin EEUU),"364,968","869,388"
2024M04,Estados Unidos de América,"400,853","962,398"
2024M04,Japón,"32,947","65,484"
2024M04,Asia (sin Japón),,
2024M03,Alemania,"544,724","2,988,329"
2024M03,Austria,"44,892","175,027"
2024M03,Bélgica,"96,694","397,927"
2024M03,Dinamarca,"59,173","312,051"
2024M03,Finlandia,"42,542","259,651"
2024M03,Francia,"344,693","947,89"
2024M03,Grecia,"14,709","47,87"
2024M03,Irlanda,"89,912","403,321"
2024M03,Italia,"242,774","689,604"
2024M03,Luxemburgo,"6,342","28,907"
2024M03,Países Bajos,"137,899","548,953"
2024M03,Polonia,"84,928","337,971"
2024M03,Portugal,"122,916","252,192"
2024M03,República Checa,"24,63","91,955"
2024M03,Suecia,"73,995","386,929"
2024M03,Resto de la U.E.,"132,228","411,37"
2024M03,Noruega,"53,49","321,027"
2024M03,Reino Unido,"689,776","3,429,706"
2024M03,Rusia,,
2024M03,Suiza,"67,218","236,051"
2024M03,Otros Países Europeos,"132,694","417,999"
2024M03,África,"42,332","111,547"
2024M03,UE28 sin España,"2,752,827","11,709,654"
2024M03,UE27_2020 sin España,"2,063,051","8,279,948"
2024M03,Resto del Mundo,"228,303","488,906"
2024M03,América (sin EEUU),"318,762","795,45"
2024M03,Estados Unidos de América,"313,915","799,937"
2024M03,Japón,"32,813","70,076"
2024M03,Asia (sin Japón),,
2024M02,Alemania,"321,751","1,877,629"
2024M02,Austria,"28,214","120,959"
2024M02,Bélgica,"75,702","337,289"
2024M02,Dinamarca,"43,789","253,438"
2024M02,Finlandia,"36,127","227,853"
2024M02,Francia,"304,882","822,411"
2024M02,Grecia,"12,941","43,229"
2024M02,Irlanda,"72,555","331,926"
2024M02,Italia,"180,397","547,433"
2024M02,Luxemburgo,"5,001","25,07"
2024M02,Países Bajos,"127,067","535,759"
2024M02,Polonia,"77,999","345,291"
2024M02,Portugal,"109,612","225,585"
2024M02,República Checa,"20,461","80,508"
2024M02,Suecia,"60,098","331,212"
2024M02,Resto de la U.E.,"100,351","312,767"
2024M02,Noruega,"44,226","295,299"
2024M02,Reino Unido,"519,513","2,669,132"
2024M02,Rusia,,
2024M02,Suiza,"47,455","173,917"
2024M02,Otros Países Europeos,"108,579","354,319"
2024M02,África,"56,571","140,255"
2024M02,UE28 sin España,"2,096,462","9,087,492"
2024M02,UE27_2020 sin España,"1,576,948","6,418,360"
2024M02,Resto del Mundo,"207,281","471,542"
2024M02,América (sin EEUU),"235,324","598,121"
2024M02,Estados Unidos de América,"165,964","428,198"
2024M02,Japón,"31,851","67,149"
2024M02,Asia (sin Japón),,
2024M01,Alemania,"253,218","1,619,813"
2024M01,Austria,"19,24","92,645"
2024M01,Bélgica,"63,212","299,887"
2024M01,Dinamarca,"37,19","212,932"
2024M01,Finlandia,"34,61","226,174"
2024M01,Francia,"243,554","672,76"
2024M01,Grecia,"11,527","29,472"
2024M01,Irlanda,"68,131","342,315"
2024M01,Italia,"185,269","580,111"
2024M01,Luxemburgo,"3,891","24,692"
2024M01,Países Bajos,"116,77","490,405"
2024M01,Polonia,"76,597","324,211"
2024M01,Portugal,"87,823","173,563"
2024M01,República Checa,"12,552","45,007"
2024M01,Suecia,"61,269","348,892"
2024M01,Resto de la U.E.,"88,373","285,628"
2024M01,Noruega,"39,149","233,547"
2024M01,Reino Unido,"428,802","2,453,646"
2024M01,Rusia,,
2024M01,Suiza,"35,231","136,162"
2024M01,Otros Países Europeos,"106,311","317,735"
2024M01,África,"61,716","156,419"
