periodo,pais_origen,viajeros,pernoctaciones
2023M02,Luxemburgo,"4,893","24,972"
2023M02,Países Bajos,"104,754","424,906"
2023M02,Polonia,"60,585","269,603"
2023M02,Portugal,"109,844","229,762"
2023M02,República Checa,"15,854","60,12"
2023M02,Suecia,"56,607","311,636"
2023M02,Resto de la U.E.,"90,488","287,692"
2023M02,Noruega,"40,567","257,487"
2023M02,Reino Unido,"450,143","2,358,247"
2023M02,Rusia,,
2023M02,Suiza,"41,986","167,744"
2023M02,Otros Países Europeos,"92,304","311,507"
2023M02,África,"50,637","119,22"
2023M02,UE28 sin España,"1,857,190","8,082,324"
2023M02,UE27_2020 sin España,"1,407,046","5,724,077"
2023M02,Resto del Mundo,"159,677","397,339"
2023M02,América (sin EEUU),"207,331","508,716"
2023M02,Estados Unidos de América,"131,354","348,808"
2023M02,Japón,"19,051","41,741"
2023M02,Asia (sin Japón),,
2023M01,Alemania,"237,872","1,527,076"
2023M01,Austria,"18,615","95,171"
2023M01,Bélgica,"59,982","293,555"
2023M01,Dinamarca,"36,103","208,137"
2023M01,Finlandia,"29,444","175,225"
2023M01,Francia,"224,999","634,54"
2023M01,Grecia,"8,761","26,684"
2023M01,Irlanda,"52,74","267,148"
2023M01,Italia,"171,322","541,879"
2023M01,Luxemburgo,"4,329","25,938"
2023M01,Países Bajos,"104,46","432,709"
2023M01,Polonia,"54,889","239,561"
2023M01,Portugal,"82,766","163,786"
2023M01,República Checa,"11,655","41,228"
2023M01,Suecia,"61,837","356,138"
2023M01,Resto de la U.E.,"83,204","271,388"
2023M01,Noruega,"35,622","216,925"
2023M01,Reino Unido,"358,996","2,120,727"
2023M01,Rusia,,
2023M01,Suiza,"32,016","133,371"
2023M01,Otros Países Europeos,"103,993","358,726"
2023M01,África,"58,152","136,874"
2023M01,UE28 sin España,"1,601,974","7,420,891"
2023M01,UE27_2020 sin España,"1,242,977","5,300,164"
2023M01,Resto del Mundo,"168,982","406,918"
2023M01,América (sin EEUU),"235,376","572,576"
2023M01,Estados Unidos de América,"122,304","324,555"
2023M01,Japón,"13,433","28,375"
2023M01,Asia (sin Japón),,
2022M12,Alemania,"236,239","1,461,766"
2022M12,Austria,"18,129","78,147"
2022M12,Bélgica,"59,495","285,934"
2022M12,Dinamarca,"29,667","162,968"
2022M12,Finlandia,"31,494","191,414"
2022M12,Francia,"272,172","713,753"
2022M12,Grecia,"9,732","28,878"
2022M12,Irlanda,"44,892","215,052"
2022M12,Italia,"156,91","443,467"
2022M12,Luxemburgo,"5,05","25,228"
2022M12,Países Bajos,"84,441","355,202"
2022M12,Polonia,"42,348","187,748"
2022M12,Portugal,"111,951","213,573"
2022M12,República Checa,"11,432","44,645"
2022M12,Suecia,"56,09","324,14"
2022M12,Resto de la U.E.,"78,208","245,194"
2022M12,Noruega,"31,771","205,59"
2022M12,Reino Unido,"416,521","2,272,697"
2022M12,Rusia,,
2022M12,Suiza,"36,804","133,615"
2022M12,Otros Países Europeos,"102,352","347,513"
2022M12,África,"55,953","129,053"
2022M12,UE28 sin España,"1,664,772","7,249,806"
2022M12,UE27_2020 sin España,"1,248,251","4,977,109"
2022M12,Resto del Mundo,"174,62","431,913"
2022M12,América (sin EEUU),"217,689","508,822"
2022M12,Estados Unidos de América,"156,109","394,602"
2022M12,Japón,"13,261","27,506"
2022M12,Asia (sin Japón),,
2022M11,Alemania,"290,82","1,778,704"
2022M11,Austria,"21,391","93,936"
2022M11,Bélgica,"69,02","342,323"
2022M11,Dinamarca,"37,264","196,744"
2022M11,Finlandia,"37,091","216,982"
2022M11,Francia,"283,356","732,149"
2022M11,Grecia,"12,329","38,446"
2022M11,Irlanda,"58,029","278,862"
2022M11,Italia,"163,395","472,097"
2022M11,Luxemburgo,"4,436","25,82"
2022M11,Países Bajos,"106,833","414,227"
2022M11,Polonia,"48,748","188,236"
2022M11,Portugal,"85,628","176,193"
2022M11,República Checa,"17,261","59,534"
2022M11,Suecia,"71,64","419,091"
2022M11,Resto de la U.E.,"89,332","273,385"
2022M11,Noruega,"46,624","281,236"
2022M11,Reino Unido,"448,512","2,385,127"
2022M11,Rusia,,
2022M11,Suiza,"43,22","169,885"
2022M11,Otros Países Europeos,"99,831","346,939"
2022M11,África,"49,027","118,308"
2022M11,UE28 sin España,"1,845,085","8,091,857"
2022M11,UE27_2020 sin España,"1,396,573","5,706,730"
2022M11,Resto del Mundo,"183,932","457,672"
2022M11,América (sin EEUU),"245,004","589,626"
2022M11,Estados Unidos de América,"196,609","487,522"
2022M11,Japón,"13,423","29,125"
2022M11,Asia (sin Japón),,
2022M10,Alemania,"716,36","3,976,465"
2022M10,Austria,"49,84","178,167"
2022M10,Bélgica,"129,151","533,996"
2022M10,Dinamarca,"60,784","321,637"
2022M10,Finlandia,"38,249","177,537"
2022M10,Francia,"598,164","1,745,157"
2022M10,Grecia,"14,643","43,164"
2022M10,Irlanda,"117,981","531,972"
2022M10,Italia,"245,017","681,048"
2022M10,Luxemburgo,"8,253","36,324"
2022M10,Países Bajos,"211,127","886,386"
2022M10,Polonia,"94,042","398,298"
2022M10,Portugal,"134,86","305,894"
2022M10,República Checa,"34,613","173,943"
2022M10,Suecia,"82,346","331,756"
2022M10,Resto de la U.E.,"135,432","431,75"
2022M10,Noruega,"67,438","320,957"
2022M10,Reino Unido,"957,6","5,359,407"
2022M10,Rusia,,
2022M10,Suiza,"118,941","500,962"
2022M10,Otros Países Europeos,"145,433","523,225"
2022M10,África,"64,837","159,849"
2022M10,UE28 sin España,"3,628,462","16,112,899"
2022M10,UE27_2020 sin España,"2,670,862","10,753,493"
2022M10,Resto del Mundo,"253,855","619,268"
2022M10,América (sin EEUU),"402,817","937,605"
2022M10,Estados Unidos de América,"363,053","833,401"
2022M10,Japón,"16,157","33,29"
2022M10,Asia (sin Japón),,
2022M09,Alemania,"880,931","4,793,552"
2022M09,Austria,"56,407","223,951"
2022M09,Bélgica,"159,125","696,873"
2022M09,Dinamarca,"66,012","272,629"
2022M09,Finlandia,"22,354","73,632"
2022M09,Francia,"594,211","1,837,514"
2022M09,Grecia,"11,564","32,626"
2022M09,Irlanda,"154,968","699,535"
2022M09,Italia,"295,884","971,011"
2022M09,Luxemburgo,"9,899","55,075"
2022M09,Países Bajos,"256,111","1,124,274"
2022M09,Polonia,"114,825","567,143"
2022M09,Portugal,"205,6","677,034"
2022M09,República Checa,"45,378","200,996"
2022M09,Suecia,"76,613","306,36"
2022M09,Resto de la U.E.,"146,222","527,439"
2022M09,Noruega,"56,915","228,604"
2022M09,Reino Unido,"1,237,605","6,768,744"
2022M09,Rusia,,
2022M09,Suiza,"112,907","449,136"
2022M09,Otros Países Europeos,"166,271","631,716"
2022M09,África,"67,728","162,012"
2022M09,UE28 sin España,"4,333,707","19,828,387"
2022M09,UE27_2020 sin España,"3,096,103","13,059,643"
2022M09,Resto del Mundo,"259,103","638,933"
2022M09,América (sin EEUU),"441,76","1,016,207"
2022M09,Estados Unidos de América,"392,915","890,838"
2022M09,Japón,"14,129","31,807"
2022M09,Asia (sin Japón),,
2022M08,Alemania,"801,55","4,665,352"
2022M08,Austria,"56,108","262,337"
2022M08,Bélgica,"164,69","683,468"
2022M08,Dinamarca,"50,043","259,389"
2022M08,Finlandia,"15,675","60,202"
2022M08,Francia,"1,054,575","3,699,046"
2022M08,Grecia,"15,937","48,321"
2022M08,Irlanda,"128,508","680,463"
2022M08,Italia,"484,39","1,773,605"
2022M08,Luxemburgo,"15,901","77,771"
2022M08,Países Bajos,"326,268","1,571,343"
2022M08,Polonia,"109,881","599,393"
2022M08,Portugal,"316,463","1,047,020"
2022M08,República Checa,"37,296","191,819"
2022M08,Suecia,"62,114","275,004"
2022M08,Resto de la U.E.,"159,498","638,444"
2022M08,Noruega,"42,36","209,848"
2022M08,Reino Unido,"1,221,354","7,294,732"
2022M08,Rusia,,
2022M08,Suiza,"98,49","459,603"
2022M08,Otros Países Europeos,"156,661","697,477"
2022M08,África,"110,101","275,633"
2022M08,UE28 sin España,"5,020,252","23,827,710"
2022M08,UE27_2020 sin España,"3,798,898","16,532,978"
2022M08,Resto del Mundo,"255,421","740,209"
2022M08,América (sin EEUU),"375,613","913,442"
2022M08,Estados Unidos de América,"260,354","645,375"
2022M08,Japón,"11,942","29,213"
2022M08,Asia (sin Japón),,
2022M07,Alemania,"776,051","4,502,389"
2022M07,Austria,"62,461","276,35"
2022M07,Bélgica,"233,125","1,035,204"
2022M07,Dinamarca,"92,739","444,814"
2022M07,Finlandia,"24,477","96,548"
2022M07,Francia,"748,958","2,382,480"
2022M07,Grecia,"13,561","40,74"
2022M07,Irlanda,"135,486","746,222"
2022M07,Italia,"320,514","1,159,710"
2022M07,Luxemburgo,"9,609","43,63"
2022M07,Países Bajos,"307,323","1,334,873"
2022M07,Polonia,"121,357","678,75"
2022M07,Portugal,"208,687","621,349"
2022M07,República Checa,"46,14","246,901"
2022M07,Suecia,"86,411","363,11"
2022M07,Resto de la U.E.,"165,921","657,433"
2022M07,Noruega,"88,758","408,179"
2022M07,Reino Unido,"1,246,024","7,004,436"
2022M07,Rusia,,
2022M07,Suiza,"148,126","661,885"
2022M07,Otros Países Europeos,"163,77","736,901"
2022M07,África,"95,908","226,287"
2022M07,UE28 sin España,"4,598,843","21,634,939"
2022M07,UE27_2020 sin España,"3,352,820","14,630,503"
2022M07,Resto del Mundo,"277,955","786,18"
2022M07,América (sin EEUU),"412,3","1,002,778"
2022M07,Estados Unidos de América,"393,819","961,715"
2022M07,Japón,"10,452","29,439"
2022M07,Asia (sin Japón),,
2022M06,Alemania,"862,263","4,688,446"
2022M06,Austria,"53,803","207,64"
2022M06,Bélgica,"123,255","544,104"
2022M06,Dinamarca,"42,486","181,524"
2022M06,Finlandia,"24,676","88,595"
2022M06,Francia,"557,755","1,651,129"
2022M06,Grecia,"12,88","38,978"
2022M06,Irlanda,"137,175","709,437"
2022M06,Italia,"292,664","920,47"
2022M06,Luxemburgo,"9,182","42,535"
2022M06,Países Bajos,"228,625","1,010,520"
2022M06,Polonia,"112,585","543,537"
2022M06,Portugal,"199,57","563,887"
2022M06,República Checa,"35,584","163,427"
2022M06,Suecia,"71,124","293,062"
2022M06,Resto de la U.E.,"153,453","533,849"
2022M06,Noruega,"54,021","236,042"
2022M06,Reino Unido,"1,223,994","6,795,442"
2022M06,Rusia,,
2022M06,Suiza,"99,416","381,996"
2022M06,Otros Países Europeos,"144,417","580,114"
2022M06,África,"58,438","140,15"
2022M06,UE28 sin España,"4,141,074","18,976,581"
2022M06,UE27_2020 sin España,"2,917,080","12,181,139"
2022M06,Resto del Mundo,"223,122","570,394"
2022M06,América (sin EEUU),"374,258","910,477"
2022M06,Estados Unidos de América,"437,326","1,022,960"
2022M06,Japón,"11,087","24,511"
2022M06,Asia (sin Japón),,
2022M05,Alemania,"760,733","3,668,543"
2022M05,Austria,"61,177","227,901"
2022M05,Bélgica,"128,81","523,905"
2022M05,Dinamarca,"54,737","232,535"
2022M05,Finlandia,"25,211","89,116"
2022M05,Francia,"688,452","1,963,996"
2022M05,Grecia,"13,137","40,031"
2022M05,Irlanda,"133,43","589,362"
2022M05,Italia,"255,672","690,066"
2022M05,Luxemburgo,"9,902","48,182"
2022M05,Países Bajos,"267,278","1,164,861"
2022M05,Polonia,"89,592","397,558"
2022M05,Portugal,"120,365","272,413"
2022M05,República Checa,"30,983","115,116"
2022M05,Suecia,"74,242","286,849"
2022M05,Resto de la U.E.,"128,803","403,854"
2022M05,Noruega,"48,649","198,231"
2022M05,Reino Unido,"1,117,705","5,562,875"
2022M05,Rusia,,
2022M05,Suiza,"100,169","350,045"
2022M05,Otros Países Europeos,"130,622","513,472"
2022M05,África,"61,115","150,453"
2022M05,UE28 sin España,"3,960,229","16,277,162"
2022M05,UE27_2020 sin España,"2,842,525","10,714,287"
2022M05,Resto del Mundo,"197,101","500,607"
2022M05,América (sin EEUU),"361,85","843,961"
2022M05,Estados Unidos de América,"361,833","838,841"
2022M05,Japón,"8,241","20,421"
2022M05,Asia (sin Japón),,
2022M04,Alemania,"565,194","2,858,295"
2022M04,Austria,"48,997","175,205"
2022M04,Bélgica,"119,332","500,566"
2022M04,Dinamarca,"53,475","255,76"
2022M04,Finlandia,"24,642","106,7"
2022M04,Francia,"509,757","1,486,007"
2022M04,Grecia,"12,221","36,685"
2022M04,Irlanda,"99,375","423,287"
2022M04,Italia,"208,141","593,722"
2022M04,Luxemburgo,"9,17","43,878"
2022M04,Países Bajos,"200,24","760,745"
2022M04,Polonia,"63,343","254,084"
2022M04,Portugal,"157,339","357,552"
2022M04,República Checa,"24,94","88,635"
2022M04,Suecia,"63,726","289,229"
2022M04,Resto de la U.E.,"130,262","397,777"
2022M04,Noruega,"44,998","211,008"
2022M04,Reino Unido,"710,06","3,499,739"
2022M04,Rusia,,
2022M04,Suiza,"90,789","339,515"
2022M04,Otros Países Europeos,"119,231","498,562"
2022M04,África,"30,76","80,816"
2022M04,UE28 sin España,"3,000,215","12,127,864"
2022M04,UE27_2020 sin España,"2,290,155","8,628,125"
2022M04,Resto del Mundo,"137,188","393,612"
2022M04,América (sin EEUU),"279,019","675,976"
2022M04,Estados Unidos de América,"222,759","536,732"
2022M04,Japón,"7,907","20,113"
2022M04,Asia (sin Japón),,
2022M03,Alemania,"358,345","1,971,226"
2022M03,Austria,"22,928","89,77"
2022M03,Bélgica,"78,803","378,93"
2022M03,Dinamarca,"44,074","241,815"
2022M03,Finlandia,"27,919","140,949"
2022M03,Francia,"276,873","767,468"
2022M03,Grecia,"9,25","32,982"
2022M03,Irlanda,"60,501","266,88"
2022M03,Italia,"150,285","440,198"
2022M03,Luxemburgo,"4,242","20,829"
2022M03,Países Bajos,"128,193","541,843"
2022M03,Polonia,"44,952","199,521"
2022M03,Portugal,"79,235","173,611"
2022M03,República Checa,"18,604","70,345"
2022M03,Suecia,"52,984","273,55"
2022M03,Resto de la U.E.,"87,395","275,552"
2022M03,Noruega,"35,781","214,894"
2022M03,Reino Unido,"481,097","2,533,178"
2022M03,Rusia,,
2022M03,Suiza,"44,19","160,751"
2022M03,Otros Países Europeos,"96,776","369,536"
2022M03,África,"47,245","129,023"
2022M03,UE28 sin España,"1,925,680","8,418,647"
2022M03,UE27_2020 sin España,"1,444,583","5,885,469"
2022M03,Resto del Mundo,"105,146","308,959"
2022M03,América (sin EEUU),"192,296","489,641"
2022M03,Estados Unidos de América,"160,667","415,119"
2022M03,Japón,"4,861","14,146"
2022M03,Asia (sin Japón),,
2022M02,Alemania,"200,136","1,087,577"
2022M02,Austria,"18,345","80,963"
2022M02,Bélgica,"64,593","284,967"
2022M02,Dinamarca,"36,925","208,473"
2022M02,Finlandia,"21,104","116,688"
2022M02,Francia,"281,232","782,6"
2022M02,Grecia,"5,552","15,604"
2022M02,Irlanda,"47,425","217,798"
2022M02,Italia,"112,736","330,073"
2022M02,Luxemburgo,"4,835","23,022"
2022M02,Países Bajos,"103,254","409,27"
2022M02,Polonia,"48,072","228,944"
2022M02,Portugal,"80,563","167,185"
2022M02,República Checa,"12,772","48,031"
2022M02,Suecia,"39,45","199,711"
2022M02,Resto de la U.E.,"71,293","226,44"
2022M02,Noruega,"25,846","156,082"
2022M02,Reino Unido,"342,343","1,761,079"
2022M02,Rusia,"13,582","38,348"
2022M02,Suiza,"33,326","120,667"
2022M02,Otros Países Europeos,"61,792","206,621"
2022M02,África,"39,523","104,181"
2022M02,UE28 sin España,"1,490,629","6,188,423"
2022M02,UE27_2020 sin España,"1,148,286","4,427,345"
2022M02,Resto del Mundo,"74,419","207,96"
2022M02,América (sin EEUU),"140,962","356,253"
2022M02,Estados Unidos de América,"72,38","187,273"
2022M02,Japón,"3,89","9,584"
2022M02,Asia (sin Japón),,
2022M01,Alemania,"143,443","1,019,957"
2022M01,Austria,"11,405","62,706"
2022M01,Bélgica,"54,596","275,167"
2022M01,Dinamarca,"27,33","165,793"
2022M01,Finlandia,"17,719","106,459"
2022M01,Francia,"165,41","445,257"
2022M01,Grecia,"3,481","11,886"
2022M01,Irlanda,"32,193","169,173"
2022M01,Italia,"85,866","290,787"
2022M01,Luxemburgo,"2,5","15,912"
2022M01,Países Bajos,"98,157","415,754"
2022M01,Polonia,"35,008","180,713"
2022M01,Portugal,"44,865","92,711"
2022M01,República Checa,"8,943","35,681"
2022M01,Suecia,"37,152","240,746"
2022M01,Resto de la U.E.,"54,314","175,868"
2022M01,Noruega,"18,392","112,573"
2022M01,Reino Unido,"184,101","1,092,945"
2022M01,Rusia,"15,047","40,519"
2022M01,Suiza,"19,706","75,888"
2022M01,Otros Países Europeos,"50,242","173,44"
2022M01,África,"32,144","100,219"
2022M01,UE28 sin España,"1,006,483","4,797,514"
2022M01,UE27_2020 sin España,"822,382","3,704,569"
2022M01,Resto del Mundo,"63,302","170,238"
2022M01,América (sin EEUU),"149,4","403,075"
2022M01,Estados Unidos de América,"59,962","159,41"
2022M01,Japón,"2,189","6,372"
2022M01,Asia (sin Japón),,
2021M12,Alemania,"194,051","1,305,578"
2021M12,Austria,"14,825","65,451"
2021M12,Bélgica,"59,926","287,721"
2021M12,Dinamarca,"26,712","165,453"
2021M12,Finlandia,"21,755","132,843"
2021M12,Francia,"236,273","636,407"
2021M12,Grecia,"4,943","16,111"
2021M12,Irlanda,"27,181","134,532"
2021M12,Italia,"115,568","344,887"
2021M12,Luxemburgo,"3,92","23,966"
2021M12,Países Bajos,"88,499","370,733"
2021M12,Polonia,"29,624","149,247"
2021M12,Portugal,"53,514","112,33"
2021M12,República Checa,"8,551","35,354"
2021M12,Suecia,"44,599","257,202"
2021M12,Resto de la U.E.,"59,075","188,675"
2021M12,Noruega,"21,101","132,752"
2021M12,Reino Unido,"199,43","1,189,776"
2021M12,Rusia,"14,18","36,973"
2021M12,Suiza,"23,897","94,35"
2021M12,Otros Países Europeos,"56,215","185,918"
2021M12,África,"35,055","91,933"
2021M12,UE28 sin España,"1,188,446","5,416,266"
2021M12,UE27_2020 sin España,"989,017","4,226,490"
2021M12,Resto del Mundo,"93,998","251,756"
2021M12,América (sin EEUU),"164,989","396,636"
2021M12,Estados Unidos de América,"98,448","249,341"
2021M12,Japón,"4,769","12,371"
2021M12,Asia (sin Japón),,
2021M11,Alemania,"282,527","1,834,075"
2021M11,Austria,"17,448","76,687"
2021M11,Bélgica,"80,428","428,986"
2021M11,Dinamarca,"38,99","214,288"
2021M11,Finlandia,"23,808","130,812"
2021M11,Francia,"288,439","787,919"
2021M11,Grecia,"7,925","23,909"
2021M11,Irlanda,"40,429","178,764"
2021M11,Italia,"140,042","413,857"
2021M11,Luxemburgo,"4,487","26,457"
2021M11,Países Bajos,"105,298","433,862"
2021M11,Polonia,"38,493","166,633"
2021M11,Portugal,"74,394","154,604"
2021M11,República Checa,"13,37","46,298"
2021M11,Suecia,"57,625","327,297"
2021M11,Resto de la U.E.,"66,503","207,215"
2021M11,Noruega,"29,339","161,651"
2021M11,Reino Unido,"317,175","1,756,952"
2021M11,Rusia,"15,039","35,403"
2021M11,Suiza,"38,96","154,211"
2021M11,Otros Países Europeos,"59,25","190,785"
2021M11,África,"36,416","99,233"
2021M11,UE28 sin España,"1,597,380","7,208,615"
2021M11,UE27_2020 sin España,"1,280,206","5,451,664"
2021M11,Resto del Mundo,"94,978","251,182"
2021M11,América (sin EEUU),"175,767","432,995"
2021M11,Estados Unidos de América,"113,376","278,431"
2021M11,Japón,"3,756","10,486"
2021M11,Asia (sin Japón),,
2021M10,Alemania,"594,642","3,496,598"
2021M10,Austria,"35,14","137,334"
2021M10,Bélgica,"124,807","501,839"
2021M10,Dinamarca,"64,886","342,478"
2021M10,Finlandia,"24,807","101,763"
2021M10,Francia,"507,695","1,457,189"
2021M10,Grecia,"10,511","32,236"
2021M10,Irlanda,"79,673","361,3"
2021M10,Italia,"163,11","468,504"
2021M10,Luxemburgo,"8,237","39,196"
2021M10,Países Bajos,"221,929","988,267"
2021M10,Polonia,"55,882","261,231"
2021M10,Portugal,"120,21","262,673"
2021M10,República Checa,"22,263","97,503"
2021M10,Suecia,"64,614","247,214"
2021M10,Resto de la U.E.,"90,261","279,178"
2021M10,Noruega,"33,599","154,291"
2021M10,Reino Unido,"576,607","3,073,477"
2021M10,Rusia,"18,608","53,198"
2021M10,Suiza,"98,848","427,546"
2021M10,Otros Países Europeos,"82,244","283,557"
2021M10,África,"37,794","112,938"
2021M10,UE28 sin España,"2,765,272","12,147,980"
2021M10,UE27_2020 sin España,"2,188,664","9,074,503"
2021M10,Resto del Mundo,"108,253","280,371"
2021M10,América (sin EEUU),"219,647","530,9"
2021M10,Estados Unidos de América,"162,385","386,251"
2021M10,Japón,"3,864","9,555"
2021M10,Asia (sin Japón),,
2021M09,Alemania,"572,993","3,398,567"
2021M09,Austria,"31,729","134,532"
2021M09,Bélgica,"143,391","690,055"
2021M09,Dinamarca,"46,867","214,938"
2021M09,Finlandia,"11,598","36,079"
2021M09,Francia,"451,146","1,447,504"
2021M09,Grecia,"5,921","19,21"
2021M09,Irlanda,"76,198","334,533"
2021M09,Italia,"162,384","515,421"
2021M09,Luxemburgo,"10,233","58,335"
2021M09,Países Bajos,"222,975","1,042,597"
2021M09,Polonia,"80,015","439,539"
2021M09,Portugal,"143,145","430,664"
2021M09,República Checa,"24,693","112,473"
2021M09,Suecia,"52,275","196,438"
2021M09,Resto de la U.E.,"86,148","290,672"
2021M09,Noruega,"14,649","54,14"
2021M09,Reino Unido,"481,75","2,538,080"
2021M09,Rusia,"15,985","49,48"
2021M09,Suiza,"76,446","313,929"
2021M09,Otros Países Europeos,"82,438","279,506"
2021M09,África,"35,917","114,163"
2021M09,UE28 sin España,"2,603,461","11,899,635"
2021M09,UE27_2020 sin España,"2,121,711","9,361,556"
2021M09,Resto del Mundo,"112,409","279,016"
2021M09,América (sin EEUU),"193,581","477,853"
2021M09,Estados Unidos de América,"154,653","366,025"
2021M09,Japón,"3,867","9,442"
2021M09,Asia (sin Japón),,
2021M08,Alemania,"426,635","2,521,804"
2021M08,Austria,"32,935","159,145"
2021M08,Bélgica,"129,313","556,426"
2021M08,Dinamarca,"39,862","222,036"
2021M08,Finlandia,"6,753","20,351"
2021M08,Francia,"790,735","3,026,237"
2021M08,Grecia,"7,6","22,147"
2021M08,Irlanda,"56,984","277,56"
2021M08,Italia,"214,271","799,598"
2021M08,Luxemburgo,"14,866","88,331"
2021M08,Países Bajos,"251,957","1,113,191"
2021M08,Polonia,"87,843","495,478"
2021M08,Portugal,"176,109","543,832"
2021M08,República Checa,"21,839","107,961"
2021M08,Suecia,"42,652","189,034"
2021M08,Resto de la U.E.,"111,564","419,145"
2021M08,Noruega,"6,945","25,399"
2021M08,Reino Unido,"426,658","2,374,945"
2021M08,Rusia,"17,471","56,185"
2021M08,Suiza,"75,021","358,795"
2021M08,Otros Países Europeos,"73,899","258,323"
2021M08,África,"47,202","160,706"
2021M08,UE28 sin España,"2,838,575","12,937,221"
2021M08,UE27_2020 sin España,"2,411,917","10,562,277"
2021M08,Resto del Mundo,"111,958","330,89"
2021M08,América (sin EEUU),"159,379","402,51"
2021M08,Estados Unidos de América,"127,577","321,528"
2021M08,Japón,"3,992","11,767"
2021M08,Asia (sin Japón),,
2021M07,Alemania,"436,47","2,629,179"
2021M07,Austria,"30,473","130,987"
2021M07,Bélgica,"126,358","540,596"
2021M07,Dinamarca,"67,008","361,107"
2021M07,Finlandia,"6,857","20,493"
2021M07,Francia,"470,256","1,596,732"
2021M07,Grecia,"6,229","17,774"
2021M07,Irlanda,"30,484","111,151"
2021M07,Italia,"143,199","489,722"
2021M07,Luxemburgo,"8,925","48,274"
2021M07,Países Bajos,"151,481","622,607"
2021M07,Polonia,"85,635","498,504"
2021M07,Portugal,"103,207","280,577"
2021M07,República Checa,"32,331","164,114"
2021M07,Suecia,"53,545","222,236"
2021M07,Resto de la U.E.,"105,096","383,165"
2021M07,Noruega,"9,977","38,091"
2021M07,Reino Unido,"315,341","1,561,051"
2021M07,Rusia,"16,808","58,213"
2021M07,Suiza,"90,743","402,191"
2021M07,Otros Países Europeos,"65,772","226,648"
2021M07,África,"34,796","116,538"
2021M07,UE28 sin España,"2,172,898","9,678,268"
2021M07,UE27_2020 sin España,"1,857,556","8,117,217"
2021M07,Resto del Mundo,"97,612","293,609"
2021M07,América (sin EEUU),"144,735","359,974"
2021M07,Estados Unidos de América,"126,195","308,88"
2021M07,Japón,"2,893","7,906"
2021M07,Asia (sin Japón),,
2021M06,Alemania,"295,062","1,577,948"
2021M06,Austria,"15,426","55,829"
2021M06,Bélgica,"56,606","233,723"
2021M06,Dinamarca,"23,853","99,217"
2021M06,Finlandia,"4,007","10,08"
2021M06,Francia,"268,061","762,366"
2021M06,Grecia,"3,288","9,164"
2021M06,Irlanda,"9,926","26,561"
2021M06,Italia,"90,025","278,981"
2021M06,Luxemburgo,"5,705","31,655"
2021M06,Países Bajos,"84,936","362,215"
2021M06,Polonia,"46,922","215,034"
2021M06,Portugal,"86,436","196,279"
2021M06,República Checa,"15,051","59,339"
2021M06,Suecia,"27,169","95,14"
2021M06,Resto de la U.E.,"69,417","202,529"
2021M06,Noruega,"3,673","9,825"
2021M06,Reino Unido,"82,024","239,429"
2021M06,Rusia,"11,28","28,602"
2021M06,Suiza,"38,574","147,291"
2021M06,Otros Países Europeos,"42,745","120,374"
2021M06,África,"24,958","76,843"
2021M06,UE28 sin España,"1,183,912","4,455,490"
2021M06,UE27_2020 sin España,"1,101,889","4,216,061"
2021M06,Resto del Mundo,"57,045","137,067"
2021M06,América (sin EEUU),"78,07","186,65"
2021M06,Estados Unidos de América,"47,194","117,437"
2021M06,Japón,"1,709","4,693"
2021M06,Asia (sin Japón),,
2021M05,Alemania,"148,245","739,246"
2021M05,Austria,"6,567","22,84"
2021M05,Bélgica,"33,384","112,802"
2021M05,Dinamarca,"6,166","21,13"
2021M05,Finlandia,"2,474","8,839"
2021M05,Francia,"199,406","509,051"
2021M05,Grecia,"2,549","6,798"
2021M05,Irlanda,"5,497","15,019"
2021M05,Italia,"46,719","134,638"
2021M05,Luxemburgo,"4,309","23,173"
2021M05,Países Bajos,"36,953","116,307"
2021M05,Polonia,"18,369","81,251"
2021M05,Portugal,"37,228","75,288"
2021M05,República Checa,"8,405","36,587"
2021M05,Suecia,"10,823","36,652"
2021M05,Resto de la U.E.,"37,032","100,144"
2021M05,Noruega,"1,725","4,498"
2021M05,Reino Unido,"33,841","88,183"
2021M05,Rusia,"7,459","19,106"
2021M05,Suiza,"28,108","112,015"
2021M05,Otros Países Europeos,"25,408","64,702"
2021M05,África,"21,935","72,079"
2021M05,UE28 sin España,"637,966","2,127,949"
2021M05,UE27_2020 sin España,"604,125","2,039,766"
2021M05,Resto del Mundo,"33,048","80,171"
2021M05,América (sin EEUU),"46,383","109,657"
2021M05,Estados Unidos de América,"16,093","44,329"
2021M05,Japón,"1,159","3,92"
2021M05,Asia (sin Japón),,
2021M04,Alemania,"57,903","303,295"
2021M04,Austria,"3,75","13,92"
2021M04,Bélgica,"11,564","32,849"
2021M04,Dinamarca,"2,512","8,117"
2021M04,Finlandia,"1,868","6,069"
2021M04,Francia,"67,278","172,486"
2021M04,Grecia,"1,639","4,517"
2021M04,Irlanda,"3,077","9,034"
2021M04,Italia,"31,271","96,021"
2021M04,Luxemburgo,"4,093","22,903"
2021M04,Países Bajos,"16,104","43,351"
2021M04,Polonia,"10,263","44,949"
2021M04,Portugal,"16,58","40,859"
2021M04,República Checa,"5,686","29,853"
2021M04,Suecia,"6,758","24,367"
2021M04,Resto de la U.E.,"24,232","68,615"
2021M04,Noruega,"1,094","3,675"
2021M04,Reino Unido,"18,558","50,949"
2021M04,Rusia,"4,678","13,243"
2021M04,Suiza,"17,372","66,178"
