,periodo,provincia,viajeros_total,viajeros_esp,viajeros_ext,pernoc_total,pernoc_esp,pernoc_ext,estancia_media_total,estancia_media_esp,estancia_media_ext,year,month,iso_date,estancia_media_esp,estancia_media_ext
39,2024M07,17 Girona,593977,202418,391559,2206406,520798,1685607,3.714632048,2.572883834,4.304860826,2024,7,7/1/2024,-2.572883834,4.304860826
40,2024M07,46 Valencia/València,368825,201781,167045,964054,524939,439115,2.613852098,2.60152839,2.628722799,2024,7,7/1/2024,-2.60152839,2.628722799
41,2024M07,28 Madrid,1173350,575463,597887,2314639,999921,1314718,1.972675672,1.737593903,2.198940602,2024,7,7/1/2024,-1.737593903,2.198940602
42,2024M06,29 Málaga,632616,231637,400979,2246668,540307,1706362,3.551392946,2.332559133,4.255489689,2024,6,6/1/2024,-2.332559133,4.255489689
43,2024M06,41 Sevilla,330565,152373,178192,647282,254756,392525,1.958108088,1.671923504,2.202820553,2024,6,6/1/2024,-1.671923504,2.202820553
44,2024M06,"07 Balears, Illes",1859985,241084,1618901,9474122,857430,8616693,5.093655056,3.556561199,5.322557093,2024,6,6/1/2024,-3.556561199,5.322557093
45,2024M06,08 Barcelona,1291093,322416,968677,3505866,610476,2895390,2.715424838,1.893442013,2.989014914,2024,6,6/1/2024,-1.893442013,2.989014914
46,2024M06,17 Girona,526211,222070,304140,1595040,486792,1108248,3.031179508,2.192065565,3.643874531,2024,6,6/1/2024,-2.192065565,3.643874531
47,2024M06,46 Valencia/València,353802,204226,149576,852471,465913,386558,2.409457832,2.281359866,2.584358453,2024,6,6/1/2024,-2.281359866,2.584358453
48,2024M06,28 Madrid,1189952,598737,591215,2346598,1017104,1329495,1.972010636,1.6987492,2.248750455,2024,6,6/1/2024,-1.6987492,2.248750455
49,2024M05,29 Málaga,652057,197058,454999,2231003,432101,1798902,3.421484625,2.192760507,3.953639459,2024,5,5/1/2024,-2.192760507,3.953639459
50,2024M05,41 Sevilla,383281,156750,226530,775427,266724,508703,2.023129245,1.701588517,2.245631925,2024,5,5/1/2024,-1.701588517,2.245631925
51,2024M05,"07 Balears, Illes",1747086,189989,1557097,8199175,563225,7635950,4.693057468,2.964513735,4.90396552,2024,5,5/1/2024,-2.964513735,4.90396552
52,2024M05,08 Barcelona,1300459,292434,1008025,3434137,587277,2846860,2.640711472,2.008237756,2.824195828,2024,5,5/1/2024,-2.008237756,2.824195828
53,2024M05,17 Girona,490049,168230,321819,1359535,348416,1011118,2.774283796,2.071069369,3.141884103,2024,5,5/1/2024,-2.071069369,3.141884103
54,2024M05,46 Valencia/València,349385,186459,162926,848851,406490,442360,2.429557651,2.180050306,2.715097652,2024,5,5/1/2024,-2.180050306,2.715097652
55,2024M05,28 Madrid,1231218,582493,648725,2490212,1011509,1478703,2.022559774,1.736517005,2.279398821,2024,5,5/1/2024,-1.736517005,2.279398821
56,2024M04,29 Málaga,601631,179976,421655,1945020,386932,1558088,3.232911868,2.149908877,3.695172594,2024,4,4/1/2024,-2.149908877,3.695172594
57,2024M04,41 Sevilla,377242,162581,214661,767023,289950,477073,2.033238611,1.783418727,2.222448419,2024,4,4/1/2024,-1.783418727,2.222448419
58,2024M04,"07 Balears, Illes",761737,111851,649886,3417164,355710,3061453,4.486015515,3.180212962,4.710753886,2024,4,4/1/2024,-3.180212962,4.710753886
59,2024M04,08 Barcelona,1105260,270776,834484,2809542,543198,2266344,2.541973834,2.006078825,2.715862737,2024,4,4/1/2024,-2.006078825,2.715862737
60,2024M04,17 Girona,325500,112923,212577,879409,241003,638406,2.701717358,2.134224206,3.00317532,2024,4,4/1/2024,-2.134224206,3.00317532
61,2024M04,46 Valencia/València,316892,162069,154823,764801,333321,431480,2.413443697,2.056661052,2.786924423,2024,4,4/1/2024,-2.056661052,2.786924423
62,2024M04,28 Madrid,1126754,517185,609568,2301405,903137,1398268,2.042508835,1.746255208,2.293867132,2024,4,4/1/2024,-1.746255208,2.293867132
63,2024M03,29 Málaga,506900,207072,299828,1712594,486039,1226555,3.378563819,2.347198076,4.090862094,2024,3,3/1/2024,-2.347198076,4.090862094
64,2024M03,41 Sevilla,340136,157047,183089,711305,284466,426838,2.091237035,1.811343101,2.331314279,2024,3,3/1/2024,-1.811343101,2.331314279
65,2024M03,"07 Balears, Illes",375281,104550,270731,1677443,304250,1373193,4.469831939,2.910090866,5.072167576,2024,3,3/1/2024,-2.910090866,5.072167576
66,2024M03,08 Barcelona,1026923,290694,736229,2538561,564127,1974434,2.472007151,1.940621409,2.681820466,2024,3,3/1/2024,-1.940621409,2.681820466
67,2024M03,17 Girona,242817,132842,109975,554160,267739,286421,2.28221253,2.015469505,2.604419186,2024,3,3/1/2024,-2.015469505,2.604419186
68,2024M03,46 Valencia/València,327473,189731,137742,773143,402680,370463,2.360936627,2.122373255,2.689542768,2024,3,3/1/2024,-2.122373255,2.689542768
69,2024M03,28 Madrid,1094034,578912,515122,2262645,1042343,1220302,2.068166986,1.800520632,2.368957257,2024,3,3/1/2024,-1.800520632,2.368957257
70,2024M02,29 Málaga,373782,160198,213584,1170897,332350,838547,3.132566576,2.074620158,3.926075923,2024,2,2/1/2024,-2.074620158,3.926075923
71,2024M02,41 Sevilla,294357,144952,149405,588754,246830,341924,2.000135889,1.702839561,2.288571333,2024,2,2/1/2024,-1.702839561,2.288571333
72,2024M02,"07 Balears, Illes",148843,57019,91824,585313,170008,415305,3.932418723,2.981602624,4.522837167,2024,2,2/1/2024,-2.981602624,4.522837167
73,2024M02,08 Barcelona,842121,255670,586451,2085109,484989,1600121,2.476020667,1.896933547,2.728482004,2024,2,2/1/2024,-1.896933547,2.728482004
74,2024M02,17 Girona,146071,77554,68516,274407,125343,149064,1.878586441,1.616202904,2.175608617,2024,2,2/1/2024,-1.616202904,2.175608617
