,provincia_simp,viajeros_esp,viajeros_andalucia,viajeros_aragon,viajeros_asturias,viajeros_balears,viajeros_canarias,viajeros_cantabria,viajeros_castilla_leon,viajeros_castilla_mancha,viajeros_cataluña,viajeros_valencia,viajeros_extremadura,viajeros_galicia,viajeros_madrid,viajeros_murcia,viajeros_navarra,viajeros_pais_vasco,viajeros_rioja,viajeros_ceuta,viajeros_melilla
252,Málaga,142779,56.97,0.93,0.87,1.27,0.76,0.69,1.94,2.88,4.09,3.8,1.76,1.12,15.41,1.89,0.52,1.9,0.24,1.15,1.82
253,Sevilla,133089,43.78,1.12,0.79,1.59,1.86,0.52,4.2,3.58,6.4,5.48,4.59,1.59,18.41,1.93,0.73,2.04,0.25,0.49,0.64
254,Illes Balears,27267,4.66,0.4,0.76,40.97,0.55,0.46,0.95,0.74,22.73,5.33,0.36,1.05,17.03,0.9,0.49,2.18,0.42,0.01,0.0
255,Barcelona,233136,5.69,2.49,0.82,2.99,1.38,0.47,1.68,1.9,50.28,6.35,0.53,2.83,15.55,1.13,1.02,4.26,0.52,0.07,0.02
256,Girona,105791,0.82,0.42,0.06,0.9,0.16,0.05,0.91,0.35,85.5,4.98,0.06,0.53,4.03,0.56,0.13,0.44,0.05,0.03,0.02
257,46 Valencia/València,116542,9.53,2.35,1.02,2.52,0.98,0.68,2.34,3.68,14.08,33.25,0.74,1.61,20.51,3.28,1.11,1.89,0.28,0.06,0.07
258,Madrid,528498,13.57,2.54,2.82,2.02,2.65,1.89,5.42,4.05,12.4,9.52,2.71,4.36,25.66,2.52,1.73,4.73,0.97,0.29,0.15
259,Málaga,137552,58.39,1.28,0.86,1.15,1.41,0.51,1.48,2.73,4.97,3.48,1.09,1.18,14.77,1.45,0.44,1.86,0.22,1.26,1.49
260,Sevilla,144322,41.99,1.36,1.21,1.42,1.83,0.95,3.76,3.67,7.25,4.86,3.67,1.79,20.96,1.39,0.74,1.93,0.49,0.57,0.18
261,Illes Balears,33690,5.32,1.39,0.55,34.85,3.72,0.33,4.38,0.67,19.07,5.44,0.18,1.76,19.75,0.95,0.19,1.36,0.08,0.0,0.0
262,Barcelona,214384,7.66,2.48,0.94,3.18,1.58,0.76,1.75,1.78,45.37,7.07,0.66,2.16,17.96,1.02,1.03,3.95,0.5,0.11,0.06
263,Girona,76945,2.31,0.9,0.2,0.67,0.23,0.12,0.55,0.55,84.15,2.42,0.16,0.47,6.06,0.35,0.1,0.63,0.13,0.01,0.0
264,46 Valencia/València,124807,10.36,2.19,0.76,2.08,1.28,0.86,2.38,4.26,13.27,30.24,0.69,1.99,21.74,4.35,0.87,2.18,0.31,0.13,0.05
265,Madrid,528624,13.88,2.47,2.51,1.94,2.63,1.87,5.45,3.93,14.6,9.29,2.59,4.19,24.1,2.73,1.96,4.37,1.13,0.2,0.16
266,Málaga,186441,57.92,0.91,1.07,0.85,1.37,0.66,1.75,2.4,4.3,3.8,1.5,1.72,14.16,2.11,0.54,2.61,0.41,0.96,0.96
267,Sevilla,152279,41.57,1.47,1.61,1.38,2.26,0.97,4.04,2.61,7.58,5.51,3.94,2.48,18.23,1.61,0.75,2.57,0.55,0.57,0.29
268,Illes Balears,141008,5.21,0.97,0.96,42.57,0.8,1.19,1.67,0.67,13.2,6.63,0.37,1.57,18.06,0.5,0.52,3.61,0.23,0.08,1.18
269,Barcelona,261136,6.32,2.49,0.83,2.34,1.66,0.59,1.65,1.75,50.17,7.35,0.6,2.02,15.28,1.13,1.19,4.04,0.34,0.17,0.1
270,Girona,151193,1.19,1.09,0.08,0.5,0.25,0.09,0.56,0.37,88.51,2.3,0.22,0.52,2.85,0.35,0.16,0.79,0.16,0.01,0.0
271,46 Valencia/València,159452,10.18,2.65,0.93,1.61,0.94,0.75,2.89,4.24,12.36,29.79,1.03,1.69,22.14,5.21,0.87,2.19,0.48,0.04,0.02
272,Madrid,564761,14.29,2.24,2.8,1.92,2.49,1.89,5.05,3.82,12.47,9.67,2.85,4.94,24.31,3.08,1.63,5.13,1.03,0.28,0.11
273,Málaga,247187,59.18,0.88,0.99,0.7,0.83,1.0,2.43,2.93,3.64,2.57,3.37,1.26,13.32,2.03,0.45,2.34,0.45,0.75,0.87
274,Sevilla,133622,43.31,1.53,1.66,0.79,1.82,0.86,4.3,2.67,7.43,4.88,4.04,1.95,19.06,1.63,0.65,2.18,0.54,0.61,0.09
275,Illes Balears,181723,7.36,1.43,1.71,30.78,1.34,2.25,2.01,1.12,16.0,6.09,1.25,3.09,19.13,0.83,0.67,4.0,0.63,0.15,0.16
276,Barcelona,227239,6.92,2.32,0.81,2.53,1.5,0.63,1.67,1.43,50.86,6.57,0.6,2.41,15.69,0.99,1.08,3.46,0.43,0.08,0.01
277,Girona,187260,1.37,1.06,0.24,0.34,0.22,0.25,0.61,0.66,85.6,1.94,0.19,0.72,4.07,0.38,0.47,1.63,0.23,0.02,0.01
278,46 Valencia/València,171396,9.52,2.51,0.97,1.72,1.21,0.91,3.63,6.1,11.6,24.45,1.08,1.49,27.39,3.71,0.76,2.12,0.79,0.03,0.01
279,Madrid,452686,13.08,2.4,3.02,1.68,2.64,1.77,5.38,4.05,12.45,8.08,2.57,4.92,27.4,2.65,1.65,5.06,0.86,0.23,0.11
280,Málaga,405728,53.96,0.98,0.69,0.48,0.53,0.58,2.65,4.2,4.33,2.91,4.0,1.26,17.14,1.62,0.34,2.49,0.28,0.82,0.74
281,Sevilla,130389,42.99,1.77,1.52,0.93,1.47,0.82,3.13,2.31,11.34,4.8,3.98,2.41,14.69,1.77,0.9,4.08,0.41,0.5,0.2
282,Illes Balears,281919,7.42,1.2,1.69,24.64,0.84,1.15,1.71,1.42,18.19,8.37,1.15,2.89,20.84,1.18,0.99,5.52,0.53,0.11,0.14
283,Barcelona,254957,6.38,2.39,0.73,1.09,0.96,0.54,1.57,1.46,57.12,5.13,0.6,2.95,11.72,1.09,1.15,4.46,0.53,0.1,0.03
