,provincia_simp,viajeros_esp,viajeros_andalucia,viajeros_aragon,viajeros_asturias,viajeros_balears,viajeros_canarias,viajeros_cantabria,viajeros_castilla_leon,viajeros_castilla_mancha,viajeros_cataluña,viajeros_valencia,viajeros_extremadura,viajeros_galicia,viajeros_madrid,viajeros_murcia,viajeros_navarra,viajeros_pais_vasco,viajeros_rioja,viajeros_ceuta,viajeros_melilla
368,Girona,324492,0.65,0.84,0.04,0.11,0.06,0.14,0.35,0.13,90.87,1.56,0.17,0.34,2.33,0.21,0.31,1.84,0.05,0.01,0.0
369,46 Valencia/València,149356,5.26,4.45,0.63,0.78,0.35,0.36,3.07,6.68,12.84,22.39,1.01,1.05,35.04,2.24,0.85,2.34,0.49,0.13,0.04
370,Madrid,139064,10.85,1.74,1.83,0.98,1.79,1.08,4.94,4.16,8.46,6.05,2.27,3.94,41.82,2.22,1.37,5.59,0.61,0.27,0.03
371,Málaga,171860,64.03,0.63,0.52,0.31,0.53,0.28,1.9,3.38,2.36,2.52,2.55,0.74,15.05,1.34,0.55,1.71,0.17,0.96,0.48
372,Sevilla,64407,48.84,1.36,2.11,0.45,1.15,0.56,2.88,2.57,5.34,4.07,4.4,1.92,18.46,1.41,1.02,2.37,0.35,0.71,0.04
373,Illes Balears,105212,9.05,1.41,1.38,32.92,0.86,2.12,1.09,0.92,17.86,7.47,0.94,1.36,18.0,0.98,0.37,2.87,0.32,0.03,0.04
374,Barcelona,112921,5.13,2.81,0.55,1.31,0.7,0.36,1.45,1.18,64.48,5.68,0.4,1.06,8.69,0.64,1.84,3.42,0.28,0.03,0.02
375,Girona,197564,0.55,0.91,0.17,0.22,0.11,0.05,0.47,0.22,89.83,1.46,0.19,0.52,2.76,0.2,0.41,1.73,0.19,0.0,0.01
376,46 Valencia/València,115693,6.91,3.81,0.83,1.1,0.52,0.43,2.89,7.6,10.5,24.93,0.85,1.18,32.82,2.39,0.92,1.83,0.31,0.18,0.0
377,Madrid,161723,11.5,2.12,2.27,1.12,1.86,1.32,4.6,3.6,9.02,7.37,2.35,4.14,39.56,2.63,1.3,4.45,0.62,0.13,0.05
378,Málaga,33300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
379,Sevilla,25320,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
380,Illes Balears,17945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
381,Barcelona,38071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
382,Girona,45154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,46 Valencia/València,35476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
384,Madrid,85913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
385,Málaga,1475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
386,Sevilla,3175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
387,Illes Balears,1878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,Barcelona,3512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,Girona,1002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,46 Valencia/València,5950,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,Madrid,11479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,Málaga,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,Sevilla,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,Illes Balears,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,Barcelona,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
396,Girona,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,46 Valencia/València,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,Madrid,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,Málaga,75319,57.85,1.49,1.78,2.18,1.8,0.49,2.31,2.84,5.98,3.42,1.26,1.4,12.17,1.24,0.51,1.29,0.2,1.2,0.59
400,Sevilla,64032,46.9,1.15,1.53,1.17,2.19,0.27,2.24,2.45,7.29,4.64,4.23,2.76,15.96,1.76,0.52,2.03,0.25,2.61,0.06
401,Illes Balears,26387,5.87,1.54,0.49,31.97,1.6,0.57,2.16,2.89,24.03,6.78,0.82,2.04,16.18,1.18,0.22,1.49,0.09,0.08,0.0
402,Barcelona,107587,6.39,2.9,1.04,2.65,1.93,0.52,2.31,5.89,42.27,7.08,0.73,3.89,15.07,1.05,1.05,4.71,0.28,0.11,0.11
403,Girona,38205,1.49,0.47,0.53,0.51,0.23,0.11,1.02,0.36,88.03,1.31,0.05,0.9,3.84,0.19,0.14,0.78,0.05,0.0,0.0
404,46 Valencia/València,46360,7.11,2.59,0.98,1.98,0.74,0.59,2.79,4.05,18.82,30.25,0.96,1.82,20.41,2.94,0.52,2.71,0.57,0.15,0.02
405,Madrid,194620,12.57,2.58,3.1,2.1,3.18,1.79,5.41,4.2,14.83,7.46,3.3,4.75,25.07,2.51,1.45,4.35,0.79,0.46,0.11
406,Málaga,180952,67.67,0.73,0.65,0.78,1.74,0.26,1.49,1.56,4.25,2.64,2.07,1.1,10.47,0.95,0.26,2.25,0.1,0.63,0.4
407,Sevilla,140299,45.58,1.36,1.29,1.62,1.8,0.8,2.78,2.46,6.58,4.29,4.34,1.81,20.16,1.51,0.63,2.01,0.24,0.52,0.23
408,Illes Balears,57578,11.89,0.82,2.06,34.05,1.08,0.35,2.78,0.61,16.32,6.33,1.24,3.56,13.67,1.87,0.27,2.82,0.2,0.07,0.02
409,Barcelona,244403,7.69,2.44,0.92,2.89,1.89,0.71,2.19,2.44,44.49,6.77,0.91,2.35,17.18,1.09,1.04,4.39,0.46,0.06,0.08
410,Girona,93527,1.51,0.63,0.09,1.46,0.89,0.09,0.87,0.98,80.11,3.76,0.2,1.87,5.98,0.69,0.17,0.58,0.11,0.01,0.01
411,46 Valencia/València,137049,10.93,2.13,0.87,2.26,1.17,0.61,2.66,4.54,14.78,28.16,0.85,1.71,20.46,4.8,0.73,2.59,0.48,0.19,0.07
412,Madrid,562388,15.38,2.27,2.61,2.38,3.18,1.68,5.38,3.4,13.48,8.57,2.34,4.68,23.79,2.94,1.39,4.93,1.02,0.4,0.19
413,Málaga,118980,56.41,0.91,1.23,0.95,2.62,0.44,2.62,2.01,5.02,3.53,1.63,1.22,14.44,1.61,0.26,1.82,0.09,1.69,1.5
414,Sevilla,123932,44.07,1.21,1.4,1.68,2.24,0.51,2.52,2.6,7.36,4.45,4.41,2.51,19.84,1.35,0.6,2.27,0.29,0.41,0.28
415,Illes Balears,26331,11.21,0.62,0.62,36.31,0.64,0.61,1.55,0.82,16.93,7.91,0.38,2.0,18.14,0.56,0.2,1.32,0.11,0.05,0.04
416,Barcelona,220231,8.05,2.79,0.92,2.64,3.06,0.75,1.96,1.72,44.56,6.19,0.82,2.29,16.74,1.18,0.87,4.76,0.52,0.11,0.07
417,Girona,68163,1.72,0.54,0.2,0.82,0.35,0.09,0.5,1.1,76.64,5.8,0.25,0.45,9.11,1.39,0.2,0.64,0.15,0.01,0.04
418,46 Valencia/València,109227,9.61,3.05,0.85,2.56,1.13,0.57,2.77,3.97,15.12,27.23,0.93,2.14,20.9,4.31,0.9,3.34,0.28,0.28,0.07
419,Madrid,536968,15.93,2.6,2.9,2.52,3.04,1.62,5.6,4.08,12.95,8.34,2.73,4.45,22.85,2.88,1.46,4.79,0.86,0.24,0.17
420,Málaga,144623,60.23,0.8,0.96,1.23,0.85,0.37,1.5,3.25,3.69,3.44,1.85,1.44,15.72,1.18,0.3,1.29,0.24,0.8,0.85
421,Sevilla,143278,43.13,1.38,1.99,1.71,1.89,0.53,3.19,3.33,7.26,4.74,5.18,1.67,19.12,1.89,0.54,1.63,0.26,0.39,0.15
422,Illes Balears,28477,4.4,0.49,0.33,46.96,0.81,0.22,0.92,0.64,18.04,5.69,0.54,1.91,16.72,0.65,0.13,1.4,0.07,0.09,0.0
423,Barcelona,242449,9.03,2.99,0.82,3.57,1.43,0.78,1.81,1.39,45.0,7.11,0.59,2.44,15.56,1.01,0.98,4.94,0.42,0.1,0.05
424,Girona,95664,1.92,0.63,0.09,0.83,0.22,0.08,0.86,0.24,85.7,3.18,0.09,0.29,3.3,1.55,0.14,0.65,0.04,0.0,0.19
425,46 Valencia/València,126829,9.67,2.45,0.66,2.72,1.18,0.75,2.61,3.82,15.85,29.3,0.61,1.6,20.51,3.24,1.17,3.0,0.54,0.27,0.04
426,Madrid,569533,17.65,2.45,2.71,2.5,3.01,2.0,5.74,3.86,12.12,9.11,2.55,4.07,21.42,2.57,1.73,4.86,0.99,0.31,0.34
427,Málaga,141564,56.49,1.37,0.59,1.34,1.47,0.47,1.49,1.81,5.34,4.25,1.59,1.23,16.68,1.63,0.45,1.44,0.61,0.98,0.75
428,Sevilla,142107,41.23,1.5,1.52,1.74,2.24,0.63,2.55,2.7,8.87,4.91,3.81,2.01,20.74,1.49,1.25,2.04,0.33,0.35,0.08
429,Illes Balears,45381,7.94,0.69,0.42,40.28,0.76,0.52,0.99,0.66,15.69,9.21,0.29,1.54,17.83,0.86,0.5,1.35,0.39,0.08,0.0
430,Barcelona,246900,7.95,2.64,0.81,3.53,1.61,1.05,2.04,1.23,40.98,7.48,0.85,2.96,18.99,1.6,1.01,4.5,0.6,0.13,0.05
431,Girona,88950,2.28,1.01,0.3,1.0,0.31,0.18,0.72,0.71,84.29,2.59,0.15,0.58,4.2,0.67,0.22,0.69,0.11,0.01,0.0
432,46 Valencia/València,146636,10.16,2.41,1.03,2.34,0.91,0.9,2.63,4.4,14.84,27.18,0.86,1.81,20.49,5.13,0.96,3.26,0.54,0.06,0.08
433,Madrid,561920,14.68,2.62,2.64,2.71,3.71,1.69,5.81,3.46,14.4,9.26,2.47,5.08,19.98,3.02,1.8,5.41,0.85,0.2,0.22
434,Málaga,158911,57.53,1.14,0.86,0.88,1.6,1.24,1.97,2.17,3.91,3.22,2.75,1.74,14.95,1.33,0.23,2.42,0.22,1.24,0.6
435,Sevilla,142151,40.65,1.07,1.6,1.42,2.23,0.67,2.72,2.17,9.95,4.88,3.12,2.15,21.78,1.36,0.62,2.82,0.28,0.39,0.13
436,Illes Balears,119164,4.73,0.93,1.42,44.65,0.91,0.82,1.59,1.2,17.16,6.4,0.52,1.41,14.95,0.84,0.49,1.65,0.09,0.09,0.16
437,Barcelona,273040,7.13,1.97,1.01,2.48,1.43,0.78,1.6,1.47,47.21,6.08,0.63,2.03,19.21,0.9,0.94,4.57,0.4,0.12,0.04
438,Girona,121294,2.3,0.52,0.26,0.75,0.18,0.12,0.43,0.43,87.33,1.95,0.22,0.61,3.22,0.23,0.24,1.06,0.11,0.01,0.05
439,46 Valencia/València,147401,11.26,3.54,0.78,1.86,1.11,1.03,2.76,5.26,14.02,24.84,0.66,1.59,22.27,4.51,0.66,3.04,0.47,0.11,0.25
440,Madrid,564969,17.7,2.39,2.86,2.06,3.31,1.87,5.31,3.39,14.08,8.76,2.48,4.89,20.33,2.91,1.42,4.94,0.85,0.35,0.11
441,Málaga,187689,59.32,0.8,1.04,0.9,1.44,0.76,2.32,2.42,4.23,2.45,3.87,1.46,13.59,1.57,0.37,1.62,0.27,0.92,0.66
442,Sevilla,134919,38.83,1.51,1.49,1.61,2.38,0.74,2.92,2.03,12.67,4.23,2.84,2.51,20.51,1.44,0.87,2.56,0.37,0.43,0.08
443,Illes Balears,167143,6.62,1.15,1.61,32.14,1.36,1.42,1.93,1.2,19.41,5.77,0.95,2.0,18.32,0.86,0.66,3.23,0.57,0.15,0.66
444,Barcelona,245882,8.14,2.12,1.14,3.05,1.75,0.66,1.63,1.51,47.02,6.02,0.78,2.3,17.2,0.94,0.94,4.13,0.52,0.08,0.06
445,Girona,170976,1.66,1.14,0.3,0.4,0.23,0.16,0.45,0.43,84.78,2.28,0.18,1.35,3.28,0.41,0.6,2.18,0.14,0.02,0.02
446,46 Valencia/València,152626,10.13,2.79,0.94,1.85,1.08,0.64,3.41,6.6,13.69,22.05,1.17,1.65,24.34,3.96,1.3,3.36,0.91,0.06,0.07
447,Madrid,504841,15.37,2.42,2.9,2.21,3.22,1.99,5.46,3.31,13.99,8.88,2.8,5.0,21.09,3.08,1.92,4.83,0.98,0.31,0.24
448,Málaga,316349,52.76,0.98,0.79,0.51,0.78,0.36,2.69,3.77,4.91,2.99,4.27,1.27,18.26,1.5,0.5,2.05,0.24,0.73,0.63
449,Sevilla,126336,44.78,1.35,1.85,0.66,2.13,0.68,2.74,2.58,9.92,4.24,3.38,2.21,16.93,1.61,0.61,3.52,0.42,0.31,0.1
450,Illes Balears,218030,8.11,1.34,1.17,28.31,1.05,0.85,1.72,1.31,18.46,7.51,0.67,2.24,20.9,1.12,0.38,3.63,0.84,0.1,0.29
451,Barcelona,254028,7.58,2.84,0.73,1.88,1.34,0.42,1.83,1.2,50.73,6.64,0.82,1.6,14.61,1.45,1.24,4.33,0.44,0.08,0.24
452,Girona,263556,1.68,1.09,0.25,0.35,0.22,0.4,0.65,0.41,81.22,4.01,0.26,0.56,4.45,0.35,0.72,3.07,0.25,0.04,0.01
453,46 Valencia/València,182230,8.04,3.49,0.8,1.11,0.85,0.49,4.13,8.64,10.85,16.26,1.21,1.65,34.53,2.79,1.13,3.15,0.77,0.08,0.03
454,Madrid,470435,17.12,2.49,2.7,1.97,2.74,1.7,4.67,3.35,12.27,10.45,2.52,4.85,20.77,3.34,1.54,5.93,1.05,0.26,0.3
455,Málaga,278502,58.98,1.01,1.04,0.62,0.94,0.43,2.5,3.7,3.02,2.02,4.95,1.25,14.67,1.31,0.54,1.48,0.25,0.86,0.43
456,Sevilla,118676,45.65,1.25,1.85,0.83,2.37,0.59,2.72,2.48,7.51,4.13,4.47,2.17,17.57,1.71,1.01,2.81,0.28,0.42,0.2
457,Illes Balears,198977,9.32,1.34,2.0,26.34,1.19,0.85,2.05,1.33,18.03,7.08,0.78,2.14,19.34,1.74,1.12,4.66,0.51,0.06,0.1
458,Barcelona,297667,8.26,3.13,0.87,1.84,1.62,1.0,1.81,1.43,46.7,7.03,0.67,2.05,16.09,1.07,1.21,4.53,0.5,0.17,0.03
459,Girona,211371,1.47,1.5,0.3,0.38,0.2,0.28,0.64,0.45,81.11,2.73,0.34,0.65,5.17,0.33,0.71,3.49,0.2,0.01,0.02
460,46 Valencia/València,192539,10.32,3.56,1.0,1.2,0.75,0.62,4.66,8.67,10.93,19.03,1.1,1.54,28.65,3.0,1.24,3.1,0.46,0.06,0.11
461,Madrid,528508,15.6,2.44,2.77,1.94,2.97,1.7,4.82,4.28,12.52,9.18,2.89,4.84,22.74,3.57,1.45,4.92,0.89,0.22,0.23
462,Málaga,219471,58.23,0.82,1.44,0.6,1.41,1.03,2.83,2.54,3.7,2.55,3.29,1.27,14.83,1.17,0.45,1.85,0.24,1.1,0.65
463,Sevilla,133446,45.45,1.48,1.31,1.06,2.86,0.68,2.95,2.24,8.64,4.16,3.6,1.73,17.86,1.91,0.59,2.53,0.33,0.41,0.22
464,Illes Balears,187072,12.2,1.55,1.73,29.82,0.99,1.05,2.23,1.05,16.28,8.35,0.5,1.63,18.18,0.89,0.48,2.68,0.34,0.06,0.02
465,Barcelona,296029,7.93,2.67,0.93,2.47,1.9,0.63,1.66,1.55,44.91,7.01,0.58,2.46,17.62,1.03,1.27,4.71,0.5,0.12,0.07
466,Girona,205411,1.4,0.83,0.28,0.47,0.55,0.56,0.6,0.44,82.94,3.33,0.19,0.82,4.56,0.23,0.33,2.33,0.12,0.0,0.01
467,46 Valencia/València,202987,10.03,3.07,0.85,1.15,1.24,0.68,4.22,6.05,12.09,22.43,0.84,1.5,27.14,3.83,0.8,3.12,0.65,0.16,0.13
468,Madrid,577243,15.81,2.46,3.14,1.91,3.5,2.21,5.0,3.31,13.62,8.61,2.6,4.68,21.58,3.4,1.81,4.78,1.09,0.27,0.21
469,Málaga,184529,55.63,1.0,1.17,1.03,1.76,0.9,1.36,2.5,5.12,2.6,2.35,1.66,16.56,2.07,0.37,2.42,0.25,0.67,0.59
470,Sevilla,151571,34.64,1.24,1.16,1.04,1.87,0.59,2.97,2.62,11.91,9.35,2.38,2.08,22.69,1.61,0.59,2.39,0.4,0.41,0.08
471,Illes Balears,168744,7.93,0.98,1.27,34.56,1.71,0.98,2.26,1.65,19.1,5.91,0.36,2.17,15.99,0.8,0.85,2.84,0.26,0.36,0.01
472,Barcelona,292465,8.16,2.63,0.83,2.51,1.63,0.55,1.94,1.08,45.98,6.69,0.61,2.15,17.72,1.03,1.23,4.63,0.44,0.19,0.01
473,Girona,134497,2.05,1.56,0.15,0.49,0.73,0.06,0.46,0.38,81.3,3.33,0.29,0.44,6.6,0.5,0.08,1.47,0.11,0.01,0.0
474,46 Valencia/València,180784,9.1,3.44,1.3,1.5,1.2,0.64,2.88,5.88,13.4,23.2,0.81,2.0,26.37,3.46,1.06,2.63,0.86,0.13,0.14
475,Madrid,568723,15.27,2.71,2.65,2.13,3.29,2.22,4.75,3.19,15.05,9.11,2.57,5.46,20.47,2.61,1.68,5.41,0.99,0.26,0.18
476,Málaga,182074,51.87,0.84,1.0,0.95,1.06,0.86,1.94,3.27,5.22,3.59,2.06,1.9,18.11,1.49,0.65,3.16,0.34,0.92,0.76
477,Sevilla,138957,38.74,1.15,1.84,1.03,1.91,0.86,3.84,2.51,9.33,5.05,2.87,2.03,23.19,1.38,0.63,2.74,0.5,0.35,0.06
478,Illes Balears,112304,9.89,1.25,1.51,34.19,0.66,0.58,3.28,1.6,14.14,5.17,1.54,1.28,17.58,1.01,0.32,5.15,0.24,0.48,0.12
479,Barcelona,268024,8.15,2.97,0.87,2.82,1.62,0.79,1.73,1.29,42.21,6.77,0.87,2.36,18.62,1.24,1.04,5.76,0.73,0.09,0.07
480,Girona,149990,3.04,0.95,0.27,1.56,0.51,0.3,0.97,0.63,79.54,3.17,0.3,1.36,3.52,0.56,0.58,2.55,0.08,0.1,0.0
481,46 Valencia/València,161708,9.09,2.66,1.33,2.12,0.9,0.95,3.21,4.53,15.7,21.19,0.92,2.22,25.46,3.42,1.16,3.97,0.85,0.16,0.15
482,Madrid,544970,13.35,2.63,2.79,1.87,2.83,2.82,5.21,3.17,14.78,9.5,2.75,5.29,20.39,2.96,1.91,6.25,0.92,0.27,0.31
483,Málaga,167362,54.66,0.72,0.75,1.18,1.23,0.44,1.83,2.57,5.33,3.34,2.07,1.45,17.85,1.72,0.4,1.94,0.3,0.82,1.4
484,Sevilla,155556,39.96,1.37,1.46,1.48,2.28,0.53,3.21,3.6,8.81,5.33,3.51,2.23,21.03,1.71,0.78,2.02,0.3,0.34,0.07
485,Illes Balears,73394,10.82,2.35,2.0,35.95,0.62,1.46,1.84,0.88,14.1,4.26,0.7,2.91,19.15,0.49,0.6,1.67,0.14,0.06,0.0
486,Barcelona,274545,9.0,2.57,1.18,2.52,2.01,0.71,1.93,1.25,41.56,7.63,0.78,2.53,17.51,1.04,1.43,5.58,0.63,0.11,0.04
487,Girona,126219,3.32,0.34,0.47,0.54,0.76,0.37,0.85,0.58,80.23,3.45,0.12,1.54,4.79,0.93,0.41,1.19,0.08,0.02,0.01
488,46 Valencia/València,171480,8.65,3.4,1.21,1.95,0.89,0.93,2.75,5.11,15.86,23.22,1.28,2.13,23.02,4.05,1.05,3.69,0.62,0.08,0.1
489,Madrid,579601,14.25,2.63,2.8,2.08,3.14,1.82,5.01,3.34,15.25,9.18,2.68,4.86,21.66,2.83,1.76,5.24,1.0,0.2,0.25
490,Málaga,144639,62.99,0.86,0.62,1.18,1.13,0.68,1.38,1.83,3.85,3.42,1.59,1.3,14.55,1.13,0.45,1.55,0.27,0.66,0.55
491,Sevilla,136007,43.89,1.17,1.21,1.89,2.02,0.33,2.52,3.28,9.59,4.41,3.24,1.55,19.71,1.63,0.43,2.37,0.22,0.43,0.12
492,Illes Balears,51587,6.97,1.76,1.3,42.02,1.43,1.17,2.02,0.58,15.32,7.02,0.24,1.92,13.36,1.7,1.2,0.78,1.15,0.03,0.03
493,Barcelona,246639,7.8,2.55,1.79,2.83,1.59,0.72,1.96,1.37,42.14,8.08,0.79,2.43,18.14,1.13,0.98,5.04,0.54,0.07,0.06
494,Girona,86862,1.67,0.54,0.24,1.52,0.29,0.06,0.69,0.43,84.29,3.33,0.08,1.09,4.09,0.37,0.04,1.1,0.15,0.01,0.01
495,46 Valencia/València,130200,10.13,2.91,0.91,2.32,1.27,0.72,2.02,4.13,14.82,28.4,0.73,2.6,19.59,4.63,0.6,3.56,0.5,0.05,0.12
496,Madrid,528779,15.95,2.62,2.6,2.38,3.2,1.7,5.04,3.98,15.22,8.92,2.5,4.32,20.61,2.78,1.81,4.79,1.03,0.3,0.25
497,Málaga,101564,53.74,1.18,1.3,1.83,1.44,0.54,1.44,1.81,4.5,3.11,1.38,2.81,17.68,1.9,0.56,2.24,0.23,1.35,0.97
498,Sevilla,114308,43.69,1.51,1.51,1.73,2.12,0.52,3.39,2.69,6.93,4.63,3.89,1.76,20.7,1.46,0.44,2.14,0.28,0.52,0.09
499,Illes Balears,26306,4.18,0.9,1.34,32.84,0.75,0.78,1.41,0.76,17.56,8.4,0.32,1.77,24.82,1.48,0.53,1.65,0.19,0.08,0.23
500,Barcelona,223604,7.83,2.49,0.93,2.95,1.75,0.75,1.62,1.44,45.29,7.07,0.79,2.27,17.17,1.66,0.89,4.33,0.52,0.17,0.1
501,Girona,62597,1.04,0.88,0.12,0.62,0.34,0.1,0.34,0.66,84.03,4.31,0.24,0.74,5.19,0.54,0.33,0.36,0.15,0.01,0.02
502,46 Valencia/València,106393,10.12,3.0,1.19,2.76,0.99,0.58,2.6,4.35,15.28,27.6,0.9,2.36,18.88,3.31,1.04,3.93,0.85,0.1,0.16
503,Madrid,504310,15.57,2.76,2.49,2.5,3.45,1.82,4.97,3.65,13.4,9.42,2.66,4.59,21.63,2.98,1.37,5.22,1.09,0.25,0.17
504,Málaga,123124,54.87,1.3,1.14,1.1,1.76,0.93,1.79,1.83,5.36,3.56,1.37,2.39,15.38,1.52,0.58,2.18,0.21,1.22,1.53
505,Sevilla,129038,42.24,0.97,1.11,1.54,1.9,0.99,3.18,3.59,6.57,6.03,4.55,1.41,20.53,1.78,0.63,2.04,0.35,0.46,0.16
506,Illes Balears,30396,5.52,1.03,0.49,46.96,0.84,1.14,1.9,1.32,11.37,5.62,0.52,1.59,18.02,1.12,0.53,1.52,0.31,0.22,0.0
507,Barcelona,252354,7.23,2.78,0.8,2.74,1.41,0.53,1.62,1.43,45.44,7.11,0.69,2.01,16.76,1.16,1.11,6.1,0.73,0.1,0.22
508,Girona,89725,1.14,0.47,0.06,0.78,0.51,0.18,1.35,1.39,87.03,2.89,0.06,0.3,2.64,0.18,0.18,0.74,0.05,0.04,0.0
509,46 Valencia/València,124990,9.31,2.78,1.96,2.19,1.16,0.52,2.12,3.81,13.53,31.25,0.59,1.6,20.83,3.96,0.68,3.27,0.35,0.07,0.02
510,Madrid,598334,15.38,2.67,2.91,2.36,2.94,1.81,5.4,3.92,11.16,9.75,2.84,4.03,22.96,3.29,1.71,5.19,1.1,0.33,0.27
511,Málaga,119888,54.14,1.15,1.22,1.43,2.19,0.43,1.83,2.23,6.79,3.18,2.0,2.37,15.02,1.6,0.42,2.09,0.17,0.93,0.82
512,Sevilla,147208,40.5,1.38,1.38,1.57,2.19,0.71,3.57,3.3,7.79,5.45,3.15,1.82,21.53,2.03,0.69,2.12,0.31,0.32,0.2
513,Illes Balears,45450,5.18,1.42,0.82,35.81,1.15,0.93,1.08,1.23,17.64,7.04,0.53,3.03,19.3,1.61,0.82,2.11,0.14,0.08,0.1
514,Barcelona,251166,6.87,2.89,0.9,3.43,1.79,0.77,2.42,1.74,37.14,7.41,0.69,2.83,21.23,1.55,1.13,5.99,0.74,0.05,0.46
515,Girona,80166,3.44,0.49,0.43,1.19,0.4,0.13,0.64,0.33,82.07,3.58,0.3,0.96,3.33,0.47,0.73,1.38,0.08,0.05,0.0
516,46 Valencia/València,133540,9.36,2.33,0.9,2.48,1.01,0.65,2.87,3.93,15.29,26.69,0.73,2.93,21.43,3.97,1.17,3.51,0.55,0.13,0.07
517,Madrid,581438,14.7,2.95,2.67,2.47,3.47,1.88,5.39,3.67,13.0,9.11,2.67,4.73,20.47,3.57,1.88,5.6,1.09,0.32,0.36
518,Málaga,146921,54.61,1.19,1.45,1.12,1.49,1.26,2.52,2.14,4.99,3.52,2.04,2.09,15.08,1.75,0.44,2.14,0.27,1.18,0.73
519,Sevilla,143828,39.61,1.63,1.31,1.41,2.82,0.87,3.82,2.39,8.45,6.35,2.98,1.97,20.82,1.9,0.52,2.28,0.31,0.39,0.19
520,Illes Balears,142964,12.32,3.75,0.93,37.07,0.67,0.47,1.61,0.71,14.44,5.7,0.36,1.81,14.48,1.12,0.82,3.4,0.18,0.02,0.12
521,Barcelona,279446,7.68,2.29,1.08,2.5,1.87,0.79,1.94,1.37,42.16,6.68,0.78,1.94,19.02,1.09,1.48,6.39,0.49,0.08,0.37
522,Girona,126091,2.78,0.88,0.21,0.46,0.57,0.59,0.9,0.57,79.83,4.93,0.16,1.36,3.9,0.59,0.42,1.68,0.1,0.01,0.05
523,46 Valencia/València,147256,9.23,2.44,1.0,2.09,0.94,1.04,3.95,3.81,12.93,28.5,0.93,2.02,22.3,3.26,1.06,3.93,0.39,0.13,0.04
524,Madrid,559826,15.19,2.4,3.0,2.32,3.27,1.93,4.98,3.52,12.46,9.46,2.62,5.21,20.82,3.67,1.9,5.71,0.99,0.33,0.22
525,Málaga,158873,57.72,0.98,1.05,1.12,2.24,0.8,2.39,2.16,4.3,2.44,2.41,2.76,12.9,1.68,0.55,2.13,0.36,0.81,1.2
