Total Nacional;Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Total Nacional;01 Andalucía;Total;Total;20.291.494
Total Nacional;01 Andalucía;Total;Enero;1.041.007
Total Nacional;01 Andalucía;Total;Febrero;1.258.294
Total Nacional;01 Andalucía;Total;Marzo;1.595.826
Total Nacional;01 Andalucía;Total;Abril;1.853.668
Total Nacional;01 Andalucía;Total;Mayo;2.085.222
Total Nacional;01 Andalucía;Total;Junio;2.011.395
Total Nacional;01 Andalucía;Total;Julio;2.010.321
Total Nacional;01 Andalucía;Total;Agosto;2.208.915
Total Nacional;01 Andalucía;Total;Septiembre;2.013.198
Total Nacional;01 Andalucía;Total;Octubre;1.835.740
Total Nacional;01 Andalucía;Total;Noviembre;1.269.391
Total Nacional;01 Andalucía;Total;Diciembre;1.108.517
Total Nacional;01 Andalucía;Residentes en España;Total;10.620.544
Total Nacional;01 Andalucía;Residentes en España;Enero;569.160
Total Nacional;01 Andalucía;Residentes en España;Febrero;705.236
Total Nacional;01 Andalucía;Residentes en España;Marzo;860.283
Total Nacional;01 Andalucía;Residentes en España;Abril;874.510
Total Nacional;01 Andalucía;Residentes en España;Mayo;1.011.206
Total Nacional;01 Andalucía;Residentes en España;Junio;1.103.063
Total Nacional;01 Andalucía;Residentes en España;Julio;1.135.161
Total Nacional;01 Andalucía;Residentes en España;Agosto;1.260.924
Total Nacional;01 Andalucía;Residentes en España;Septiembre;987.854
Total Nacional;01 Andalucía;Residentes en España;Octubre;795.523
Total Nacional;01 Andalucía;Residentes en España;Noviembre;673.668
Total Nacional;01 Andalucía;Residentes en España;Diciembre;643.956
Total Nacional;01 Andalucía;No residentes en España;Total;9.670.950
Total Nacional;01 Andalucía;No residentes en España;Enero;471.847
Total Nacional;01 Andalucía;No residentes en España;Febrero;553.058
Total Nacional;01 Andalucía;No residentes en España;Marzo;735.543
Total Nacional;01 Andalucía;No residentes en España;Abril;979.158
Total Nacional;01 Andalucía;No residentes en España;Mayo;1.074.016
Total Nacional;01 Andalucía;No residentes en España;Junio;908.332
Total Nacional;01 Andalucía;No residentes en España;Julio;875.160
Total Nacional;01 Andalucía;No residentes en España;Agosto;947.991
Total Nacional;01 Andalucía;No residentes en España;Septiembre;1.025.343
Total Nacional;01 Andalucía;No residentes en España;Octubre;1.040.217
Total Nacional;01 Andalucía;No residentes en España;Noviembre;595.723
