apartment_id,room_type,price,has_availability,availability_30,availability_60,availability_90,availability_365,review_scores_rating,number_of_reviews,reviews_per_month,city,insert_date,reviews 80+
342557,Private room,700.0,True,30,60,90,365,97,55,64,Madrid,2020-11-06,True
343864,Entire home/apt,1390.0,True,0,5,35,307,94,7,13,Barcelona,2018-11-07,True
352772,Entire home/apt,850.0,True,0,0,0,219,94,103,126,Barcelona,2020-11-06,True
353713,Private room,370.0,True,4,11,11,11,95,247,518,Madrid,2018-08-14,True
354838,Entire home/apt,700.0,True,0,0,0,0,95,38,44,Madrid,2019-06-07,True
363601,Entire home/apt,600.0,True,0,0,0,134,84,26,26,Barcelona,2020-10-12,True
365911,Entire home/apt,1130.0,True,15,37,52,305,94,40,57,Barcelona,2018-05-14,True
374558,Entire home/apt,540.0,False,0,0,2,2,87,91,19,Madrid,2017-04-08,True
376232,Entire home/apt,800.0,False,4,15,29,278,97,8,14,Madrid,2017-04-08,True
377455,Entire home/apt,460.0,True,0,20,50,325,85,6,6,Valencia,2020-11-10,True
378998,Private room,200.0,False,0,0,0,0,,0,,Barcelona,2017-06-05,
384063,Entire home/apt,400.0,True,30,55,85,347,71,9,9,Barcelona,2021-02-09,False
384727,Private room,450.0,True,0,0,0,0,97,588,681,Sevilla,2019-06-29,True
398377,Private room,550.0,True,0,0,0,272,94,207,199,Girona,2020-11-28,True
402588,Entire home/apt,920.0,True,30,60,90,352,91,139,163,Madrid,2020-03-17,True
403446,Entire home/apt,700.0,True,17,35,60,296,98,199,211,Mallorca,2020-01-29,True
403669,Entire home/apt,1150.0,True,7,31,61,152,93,128,187,Sevilla,2018-09-22,True
417814,Private room,270.0,True,27,57,87,362,97,53,91,Barcelona,2020-06-13,True
417879,Entire home/apt,1290.0,True,30,49,79,294,97,45,56,Mallorca,2019-02-17,True
422454,Entire home/apt,600.0,True,14,25,43,103,93,53,76,Valencia,2019-03-31,True
424026,Entire home/apt,520.0,True,30,60,90,312,89,16,28,Girona,2019-02-19,True
425639,Entire home/apt,3980.0,True,20,50,80,300,94,20,18,Barcelona,2018-02-07,True
426401,Entire home/apt,550.0,True,29,59,61,273,92,71,76,Sevilla,2020-05-30,True
434195,Private room,360.0,True,26,56,86,361,92,168,647,Madrid,2018-01-17,True
435010,Private room,250.0,True,6,20,20,288,92,196,218,Madrid,2019-11-09,True
443909,Private room,600.0,False,10,28,51,152,92,150,279,Barcelona,2017-02-09,True
449218,Entire home/apt,450.0,True,10,29,29,119,97,286,279,Madrid,2020-10-17,True
459265,Entire home/apt,990.0,True,0,0,0,146,98,10,19,Menorca,2019-11-30,True
461943,Private room,490.0,False,19,49,79,79,100,1,10,Barcelona,2017-06-05,True
468202,Entire home/apt,590.0,True,12,32,32,200,92,256,279,Madrid,2019-12-10,True
468902,Entire home/apt,1200.0,True,0,0,0,73,91,16,26,Barcelona,2017-09-12,True
468912,Private room,350.0,True,24,42,54,317,94,18,218,Barcelona,2018-02-07,True
471669,Private room,800.0,True,25,55,81,338,89,58,82,Barcelona,2019-03-08,True
472062,Entire home/apt,1750.0,True,7,25,55,330,94,20,64,Barcelona,2018-08-14,True
478923,Entire home/apt,2080.0,True,25,41,71,324,96,11,12,Mallorca,2020-04-23,True
487818,Entire home/apt,2000.0,True,22,35,65,251,99,16,41,Mallorca,2018-11-20,True
494480,Entire home/apt,550.0,True,25,55,85,360,95,30,486,Menorca,2020-06-30,True
503253,Entire home/apt,2100.0,True,23,53,83,322,87,3,4,Mallorca,2019-01-28,True
504653,Private room,350.0,True,16,30,44,270,92,388,417,Barcelona,2020-02-16,True
507972,Entire home/apt,5000.0,True,28,58,88,363,94,36,71,Barcelona,2017-10-07,True
512737,Entire home/apt,1400.0,True,13,37,67,340,97,7,13,Barcelona,2018-01-17,True
514572,Entire home/apt,1400.0,False,10,17,24,243,96,15,82,Barcelona,2017-03-06,True
517407,Entire home/apt,2340.0,True,0,4,17,282,90,31,42,Barcelona,2018-07-10,True
519393,Private room,280.0,True,0,0,0,0,86,372,443,Sevilla,2019-06-29,True
519631,Entire home/apt,1980.0,True,2,4,9,242,96,285,479,Barcelona,2018-05-14,True
526513,Entire home/apt,360.0,True,7,30,53,143,95,513,491,Madrid,2021-01-12,True
533450,Private room,240.0,True,22,52,82,172,90,389,431,Madrid,2019-12-10,True
538938,Private room,600.0,True,15,36,63,295,94,179,223,Mallorca,2019-02-17,True
