Totales Territoriales;Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Total nacional;;Total;Total;340.582.713
Total nacional;;Total;Enero;15.200.690
Total nacional;;Total;Febrero;16.346.534
Total nacional;;Total;Marzo;20.508.641
Total nacional;;Total;Abril;27.549.426
Total nacional;;Total;Mayo;31.439.920
Total nacional;;Total;Junio;36.646.402
Total nacional;;Total;Julio;43.624.461
Total nacional;;Total;Agosto;46.657.187
Total nacional;;Total;Septiembre;37.961.599
Total nacional;;Total;Octubre;30.898.617
Total nacional;;Total;Noviembre;17.537.436
Total nacional;;Total;Diciembre;16.211.799
Total nacional;;Residentes en España;Total;115.834.589
Total nacional;;Residentes en España;Enero;5.316.890
Total nacional;;Residentes en España;Febrero;6.225.212
Total nacional;;Residentes en España;Marzo;7.938.883
Total nacional;;Residentes en España;Abril;10.757.733
Total nacional;;Residentes en España;Mayo;9.023.683
Total nacional;;Residentes en España;Junio;10.850.740
Total nacional;;Residentes en España;Julio;14.336.386
Total nacional;;Residentes en España;Agosto;17.063.116
Total nacional;;Residentes en España;Septiembre;11.355.257
Total nacional;;Residentes en España;Octubre;9.259.019
Total nacional;;Residentes en España;Noviembre;6.723.998
Total nacional;;Residentes en España;Diciembre;6.983.672
Total nacional;;No residentes en España;Total;224.748.124
Total nacional;;No residentes en España;Enero;9.883.800
Total nacional;;No residentes en España;Febrero;10.121.322
Total nacional;;No residentes en España;Marzo;12.569.758
Total nacional;;No residentes en España;Abril;16.791.693
Total nacional;;No residentes en España;Mayo;22.416.238
Total nacional;;No residentes en España;Junio;25.795.662
Total nacional;;No residentes en España;Julio;29.288.076
Total nacional;;No residentes en España;Agosto;29.594.071
Total nacional;;No residentes en España;Septiembre;26.606.342
Total nacional;;No residentes en España;Octubre;21.639.598
Total nacional;;No residentes en España;Noviembre;10.813.437
Total nacional;;No residentes en España;Diciembre;9.228.127
Total nacional;;Unión Europea (sin España);Total;181.764.373
Total nacional;;Unión Europea (sin España);Enero;7.733.429
Total nacional;;Unión Europea (sin España);Febrero;7.999.434
Total nacional;;Unión Europea (sin España);Marzo;9.925.871
Total nacional;;Unión Europea (sin España);Abril;13.451.248
Total nacional;;Unión Europea (sin España);Mayo;18.478.398
Total nacional;;Unión Europea (sin España);Junio;21.059.182
Total nacional;;Unión Europea (sin España);Julio;23.548.571
Total nacional;;Unión Europea (sin España);Agosto;24.626.851
Total nacional;;Unión Europea (sin España);Septiembre;21.702.360
Total nacional;;Unión Europea (sin España);Octubre;17.652.497
Total nacional;;Unión Europea (sin España);Noviembre;8.417.250
Total nacional;;Unión Europea (sin España);Diciembre;7.169.283
Total nacional;;Alemania;Total;50.026.441
Total nacional;;Alemania;Enero;1.970.630
Total nacional;;Alemania;Febrero;1.942.855
Total nacional;;Alemania;Marzo;2.698.891
Total nacional;;Alemania;Abril;3.568.521
Total nacional;;Alemania;Mayo;5.262.110
Total nacional;;Alemania;Junio;6.259.885
Total nacional;;Alemania;Julio;6.405.671
Total nacional;;Alemania;Agosto;5.911.906
Total nacional;;Alemania;Septiembre;6.223.773
Total nacional;;Alemania;Octubre;5.776.139
Total nacional;;Alemania;Noviembre;2.283.855
Total nacional;;Alemania;Diciembre;1.722.206
Total nacional;;Austria;Total;2.069.961
Total nacional;;Austria;Enero;88.061
Total nacional;;Austria;Febrero;98.587
Total nacional;;Austria;Marzo;107.835
Total nacional;;Austria;Abril;162.106
Total nacional;;Austria;Mayo;226.136
Total nacional;;Austria;Junio;224.717
Total nacional;;Austria;Julio;287.883
Total nacional;;Austria;Agosto;262.429
Total nacional;;Austria;Septiembre;244.436
Total nacional;;Austria;Octubre;181.543
Total nacional;;Austria;Noviembre;108.554
Total nacional;;Austria;Diciembre;77.673
Total nacional;;Bélgica;Total;6.587.737
Total nacional;;Bélgica;Enero;314.421
Total nacional;;Bélgica;Febrero;315.493
Total nacional;;Bélgica;Marzo;372.467
Total nacional;;Bélgica;Abril;532.579
Total nacional;;Bélgica;Mayo;602.995
Total nacional;;Bélgica;Junio;617.834
Total nacional;;Bélgica;Julio;1.061.047
Total nacional;;Bélgica;Agosto;788.011
Total nacional;;Bélgica;Septiembre;774.437
Total nacional;;Bélgica;Octubre;562.132
Total nacional;;Bélgica;Noviembre;350.029
Total nacional;;Bélgica;Diciembre;296.293
Total nacional;;Dinamarca;Total;3.303.802
Total nacional;;Dinamarca;Enero;210.569
Total nacional;;Dinamarca;Febrero;255.853
Total nacional;;Dinamarca;Marzo;287.363
Total nacional;;Dinamarca;Abril;259.703
Total nacional;;Dinamarca;Mayo;246.603
Total nacional;;Dinamarca;Junio;269.528
Total nacional;;Dinamarca;Julio;482.933
Total nacional;;Dinamarca;Agosto;283.158
Total nacional;;Dinamarca;Septiembre;296.210
Total nacional;;Dinamarca;Octubre;330.676
Total nacional;;Dinamarca;Noviembre;211.547
Total nacional;;Dinamarca;Diciembre;169.659
Total nacional;;Finlandia;Total;1.972.551
Total nacional;;Finlandia;Enero;175.705
Total nacional;;Finlandia;Febrero;193.576
Total nacional;;Finlandia;Marzo;223.071
Total nacional;;Finlandia;Abril;175.169
Total nacional;;Finlandia;Mayo;111.179
Total nacional;;Finlandia;Junio;115.755
Total nacional;;Finlandia;Julio;110.639
Total nacional;;Finlandia;Agosto;79.155
Total nacional;;Finlandia;Septiembre;109.753
Total nacional;;Finlandia;Octubre;223.679
Total nacional;;Finlandia;Noviembre;243.722
Total nacional;;Finlandia;Diciembre;211.147
Total nacional;;Francia;Total;17.220.163
Total nacional;;Francia;Enero;571.545
Total nacional;;Francia;Febrero;761.271
Total nacional;;Francia;Marzo;837.391
Total nacional;;Francia;Abril;1.775.276
Total nacional;;Francia;Mayo;1.907.221
Total nacional;;Francia;Junio;1.541.498
Total nacional;;Francia;Julio;2.169.004
Total nacional;;Francia;Agosto;3.073.400
Total nacional;;Francia;Septiembre;1.798.954
Total nacional;;Francia;Octubre;1.590.921
Total nacional;;Francia;Noviembre;624.255
Total nacional;;Francia;Diciembre;569.426
Total nacional;;Grecia;Total;320.889
Total nacional;;Grecia;Enero;17.493
Total nacional;;Grecia;Febrero;18.902
Total nacional;;Grecia;Marzo;24.770
Total nacional;;Grecia;Abril;29.678
Total nacional;;Grecia;Mayo;28.930
Total nacional;;Grecia;Junio;28.835
Total nacional;;Grecia;Julio;37.013
Total nacional;;Grecia;Agosto;40.606
Total nacional;;Grecia;Septiembre;24.369
Total nacional;;Grecia;Octubre;30.404
Total nacional;;Grecia;Noviembre;20.962
Total nacional;;Grecia;Diciembre;18.927
Total nacional;;Irlanda;Total;3.973.713
Total nacional;;Irlanda;Enero;164.690
Total nacional;;Irlanda;Febrero;157.952
Total nacional;;Irlanda;Marzo;197.288
Total nacional;;Irlanda;Abril;286.247
Total nacional;;Irlanda;Mayo;406.111
Total nacional;;Irlanda;Junio;552.089
Total nacional;;Irlanda;Julio;549.141
Total nacional;;Irlanda;Agosto;492.633
Total nacional;;Irlanda;Septiembre;480.620
Total nacional;;Irlanda;Octubre;378.870
Total nacional;;Irlanda;Noviembre;172.727
Total nacional;;Irlanda;Diciembre;135.346
Total nacional;;Italia;Total;9.308.671
Total nacional;;Italia;Enero;535.878
Total nacional;;Italia;Febrero;455.655
Total nacional;;Italia;Marzo;540.418
Total nacional;;Italia;Abril;642.878
Total nacional;;Italia;Mayo;695.557
Total nacional;;Italia;Junio;970.749
Total nacional;;Italia;Julio;1.221.738
Total nacional;;Italia;Agosto;1.764.110
Total nacional;;Italia;Septiembre;954.969
Total nacional;;Italia;Octubre;629.574
Total nacional;;Italia;Noviembre;454.534
Total nacional;;Italia;Diciembre;442.611
