Totales Territoriales	Comunidades y Ciudades Autónomas	País de residencia	Meses	Total
Total Nacional	01 Andalucía	Francia	Agosto	120.419
Total Nacional	01 Andalucía	Francia	Septiembre	107.927
Total Nacional	01 Andalucía	Francia	Octubre	102.753
Total Nacional	01 Andalucía	Francia	Noviembre	33.373
Total Nacional	01 Andalucía	Francia	Diciembre	33.135
Total Nacional	01 Andalucía	Grecia	Enero	717
Total Nacional	01 Andalucía	Grecia	Febrero	804
Total Nacional	01 Andalucía	Grecia	Marzo	1.698
Total Nacional	01 Andalucía	Grecia	Abril	2.328
Total Nacional	01 Andalucía	Grecia	Mayo	2.060
Total Nacional	01 Andalucía	Grecia	Junio	2.912
Total Nacional	01 Andalucía	Grecia	Julio	1.760
Total Nacional	01 Andalucía	Grecia	Agosto	2.726
Total Nacional	01 Andalucía	Grecia	Septiembre	1.157
Total Nacional	01 Andalucía	Grecia	Octubre	1.398
Total Nacional	01 Andalucía	Grecia	Noviembre	3.607
Total Nacional	01 Andalucía	Grecia	Diciembre	1.493
Total Nacional	01 Andalucía	Irlanda	Enero	7.889
Total Nacional	01 Andalucía	Irlanda	Febrero	8.590
Total Nacional	01 Andalucía	Irlanda	Marzo	12.092
Total Nacional	01 Andalucía	Irlanda	Abril	17.597
Total Nacional	01 Andalucía	Irlanda	Mayo	28.105
Total Nacional	01 Andalucía	Irlanda	Junio	26.357
Total Nacional	01 Andalucía	Irlanda	Julio	20.232
Total Nacional	01 Andalucía	Irlanda	Agosto	18.817
Total Nacional	01 Andalucía	Irlanda	Septiembre	27.909
Total Nacional	01 Andalucía	Irlanda	Octubre	24.332
Total Nacional	01 Andalucía	Irlanda	Noviembre	8.369
Total Nacional	01 Andalucía	Irlanda	Diciembre	6.203
Total Nacional	01 Andalucía	Italia	Enero	26.973
Total Nacional	01 Andalucía	Italia	Febrero	23.783
Total Nacional	01 Andalucía	Italia	Marzo	33.666
Total Nacional	01 Andalucía	Italia	Abril	50.297
Total Nacional	01 Andalucía	Italia	Mayo	45.816
Total Nacional	01 Andalucía	Italia	Junio	44.044
Total Nacional	01 Andalucía	Italia	Julio	42.321
Total Nacional	01 Andalucía	Italia	Agosto	80.925
Total Nacional	01 Andalucía	Italia	Septiembre	50.434
Total Nacional	01 Andalucía	Italia	Octubre	40.043
Total Nacional	01 Andalucía	Italia	Noviembre	33.375
Total Nacional	01 Andalucía	Italia	Diciembre	36.289
Total Nacional	01 Andalucía	Luxemburgo	Enero	573
Total Nacional	01 Andalucía	Luxemburgo	Febrero	744
Total Nacional	01 Andalucía	Luxemburgo	Marzo	1.126
Total Nacional	01 Andalucía	Luxemburgo	Abril	1.684
Total Nacional	01 Andalucía	Luxemburgo	Mayo	1.739
Total Nacional	01 Andalucía	Luxemburgo	Junio	1.438
Total Nacional	01 Andalucía	Luxemburgo	Julio	1.215
Total Nacional	01 Andalucía	Luxemburgo	Agosto	2.199
Total Nacional	01 Andalucía	Luxemburgo	Septiembre	1.662
Total Nacional	01 Andalucía	Luxemburgo	Octubre	1.485
Total Nacional	01 Andalucía	Luxemburgo	Noviembre	918
Total Nacional	01 Andalucía	Luxemburgo	Diciembre	834
Total Nacional	01 Andalucía	Países Bajos	Enero	18.846
Total Nacional	01 Andalucía	Países Bajos	Febrero	20.274
Total Nacional	01 Andalucía	Países Bajos	Marzo	27.142
Total Nacional	01 Andalucía	Países Bajos	Abril	41.574
Total Nacional	01 Andalucía	Países Bajos	Mayo	52.422
Total Nacional	01 Andalucía	Países Bajos	Junio	41.569
Total Nacional	01 Andalucía	Países Bajos	Julio	38.842
Total Nacional	01 Andalucía	Países Bajos	Agosto	42.197
Total Nacional	01 Andalucía	Países Bajos	Septiembre	49.642
Total Nacional	01 Andalucía	Países Bajos	Octubre	45.575
Total Nacional	01 Andalucía	Países Bajos	Noviembre	21.613
Total Nacional	01 Andalucía	Países Bajos	Diciembre	14.049
Total Nacional	01 Andalucía	Polonia	Enero	6.074
