Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
01 Andalucía;Residentes en España;Enero;522.098
01 Andalucía;Residentes en España;Febrero;695.868
01 Andalucía;Residentes en España;Marzo;807.372
01 Andalucía;Residentes en España;Abril;863.405
01 Andalucía;Residentes en España;Mayo;940.680
01 Andalucía;Residentes en España;Junio;1.051.680
01 Andalucía;Residentes en España;Julio;1.198.072
01 Andalucía;Residentes en España;Agosto;1.346.828
01 Andalucía;Residentes en España;Septiembre;969.409
01 Andalucía;Residentes en España;Octubre;790.448
01 Andalucía;Residentes en España;Noviembre;660.806
01 Andalucía;Residentes en España;Diciembre;685.364
01 Andalucía;Alemania;Enero;25.281
01 Andalucía;Alemania;Febrero;33.541
01 Andalucía;Alemania;Marzo;68.777
01 Andalucía;Alemania;Abril;96.626
01 Andalucía;Alemania;Mayo;109.476
01 Andalucía;Alemania;Junio;89.426
01 Andalucía;Alemania;Julio;62.510
01 Andalucía;Alemania;Agosto;61.503
01 Andalucía;Alemania;Septiembre;111.574
01 Andalucía;Alemania;Octubre;107.475
01 Andalucía;Alemania;Noviembre;35.186
01 Andalucía;Alemania;Diciembre;23.593
01 Andalucía;Austria;Enero;2.117
01 Andalucía;Austria;Febrero;3.782
01 Andalucía;Austria;Marzo;5.503
01 Andalucía;Austria;Abril;8.694
01 Andalucía;Austria;Mayo;9.283
01 Andalucía;Austria;Junio;6.274
01 Andalucía;Austria;Julio;6.859
01 Andalucía;Austria;Agosto;5.140
01 Andalucía;Austria;Septiembre;7.074
01 Andalucía;Austria;Octubre;9.019
01 Andalucía;Austria;Noviembre;3.470
01 Andalucía;Austria;Diciembre;2.264
01 Andalucía;Bélgica;Enero;10.984
01 Andalucía;Bélgica;Febrero;13.577
01 Andalucía;Bélgica;Marzo;18.736
01 Andalucía;Bélgica;Abril;27.195
01 Andalucía;Bélgica;Mayo;26.814
01 Andalucía;Bélgica;Junio;25.507
01 Andalucía;Bélgica;Julio;33.745
01 Andalucía;Bélgica;Agosto;28.611
01 Andalucía;Bélgica;Septiembre;31.237
01 Andalucía;Bélgica;Octubre;25.576
01 Andalucía;Bélgica;Noviembre;13.894
01 Andalucía;Bélgica;Diciembre;12.546
01 Andalucía;Dinamarca;Enero;5.318
01 Andalucía;Dinamarca;Febrero;7.371
01 Andalucía;Dinamarca;Marzo;11.620
01 Andalucía;Dinamarca;Abril;12.055
01 Andalucía;Dinamarca;Mayo;11.220
01 Andalucía;Dinamarca;Junio;9.867
01 Andalucía;Dinamarca;Julio;14.627
01 Andalucía;Dinamarca;Agosto;9.479
01 Andalucía;Dinamarca;Septiembre;14.618
01 Andalucía;Dinamarca;Octubre;14.203
01 Andalucía;Dinamarca;Noviembre;7.175
01 Andalucía;Dinamarca;Diciembre;4.299
01 Andalucía;Finlandia;Enero;4.871
01 Andalucía;Finlandia;Febrero;6.333
01 Andalucía;Finlandia;Marzo;9.745
01 Andalucía;Finlandia;Abril;10.515
01 Andalucía;Finlandia;Mayo;8.213
01 Andalucía;Finlandia;Junio;7.250
01 Andalucía;Finlandia;Julio;7.197
01 Andalucía;Finlandia;Agosto;4.922
01 Andalucía;Finlandia;Septiembre;7.919
01 Andalucía;Finlandia;Octubre;11.472
01 Andalucía;Finlandia;Noviembre;7.796
01 Andalucía;Finlandia;Diciembre;5.678
01 Andalucía;Francia;Enero;30.376
01 Andalucía;Francia;Febrero;40.947
01 Andalucía;Francia;Marzo;50.024
01 Andalucía;Francia;Abril;98.936
01 Andalucía;Francia;Mayo;116.873
01 Andalucía;Francia;Junio;84.834
01 Andalucía;Francia;Julio;81.032
01 Andalucía;Francia;Agosto;117.570
01 Andalucía;Francia;Septiembre;94.666
01 Andalucía;Francia;Octubre;99.136
01 Andalucía;Francia;Noviembre;38.303
01 Andalucía;Francia;Diciembre;35.296
01 Andalucía;Grecia;Enero;672
01 Andalucía;Grecia;Febrero;975
01 Andalucía;Grecia;Marzo;1.595
01 Andalucía;Grecia;Abril;2.084
01 Andalucía;Grecia;Mayo;2.251
01 Andalucía;Grecia;Junio;2.121
01 Andalucía;Grecia;Julio;1.891
