Sexo;Provincias;Periodo;Total
Total;44 Teruel;2028;46,930041
Total;44 Teruel;2027;46,845575
Total;44 Teruel;2026;46,781665
Total;44 Teruel;2025;46,734807
Total;44 Teruel;2024;46,696501
Total;45 Toledo;2039;45,926161
Total;45 Toledo;2038;45,763012
Total;45 Toledo;2037;45,588421
Total;45 Toledo;2036;45,402649
Total;45 Toledo;2035;45,20664
Total;45 Toledo;2034;45,002154
Total;45 Toledo;2033;44,791207
Total;45 Toledo;2032;44,576301
Total;45 Toledo;2031;44,360401
Total;45 Toledo;2030;44,146629
Total;45 Toledo;2029;43,938046
Total;45 Toledo;2028;43,73733
Total;45 Toledo;2027;43,546632
Total;45 Toledo;2026;43,366623
Total;45 Toledo;2025;43,195628
Total;45 Toledo;2024;43,028641
Total;46 Valencia/València;2039;46,356975
Total;46 Valencia/València;2038;46,211835
Total;46 Valencia/València;2037;46,05732
Total;46 Valencia/València;2036;45,893897
Total;46 Valencia/València;2035;45,722696
Total;46 Valencia/València;2034;45,545466
Total;46 Valencia/València;2033;45,364368
Total;46 Valencia/València;2032;45,1821
Total;46 Valencia/València;2031;45,001874
Total;46 Valencia/València;2030;44,826957
Total;46 Valencia/València;2029;44,660673
Total;46 Valencia/València;2028;44,505967
Total;46 Valencia/València;2027;44,365044
Total;46 Valencia/València;2026;44,238152
Total;46 Valencia/València;2025;44,122399
Total;46 Valencia/València;2024;44,010241
Total;47 Valladolid;2039;49,978469
Total;47 Valladolid;2038;49,833945
Total;47 Valladolid;2037;49,675708
Total;47 Valladolid;2036;49,504342
Total;47 Valladolid;2035;49,320536
Total;47 Valladolid;2034;49,126098
Total;47 Valladolid;2033;48,922945
Total;47 Valladolid;2032;48,71338
Total;47 Valladolid;2031;48,499902
Total;47 Valladolid;2030;48,285012
Total;47 Valladolid;2029;48,071006
Total;47 Valladolid;2028;47,860232
Total;47 Valladolid;2027;47,654205
Total;47 Valladolid;2026;47,452858
Total;47 Valladolid;2025;47,253995
Total;47 Valladolid;2024;47,05285
Total;49 Zamora;2039;55,15185
Total;49 Zamora;2038;54,942775
Total;49 Zamora;2037;54,72435
Total;49 Zamora;2036;54,497555
Total;49 Zamora;2035;54,262936
Total;49 Zamora;2034;54,023201
Total;49 Zamora;2033;53,780917
Total;49 Zamora;2032;53,538656
Total;49 Zamora;2031;53,298978
Total;49 Zamora;2030;53,06458
Total;49 Zamora;2029;52,83801
Total;49 Zamora;2028;52,621867
Total;49 Zamora;2027;52,416941
Total;49 Zamora;2026;52,22161
Total;49 Zamora;2025;52,033486
Total;49 Zamora;2024;51,846649
Total;50 Zaragoza;2039;47,536355
Total;50 Zaragoza;2038;47,398319
Total;50 Zaragoza;2037;47,249626
Total;50 Zaragoza;2036;47,091026
Total;50 Zaragoza;2035;46,923644
Total;50 Zaragoza;2034;46,749552
Total;50 Zaragoza;2033;46,571185
Total;50 Zaragoza;2032;46,391433
Total;50 Zaragoza;2031;46,21347
Total;50 Zaragoza;2030;46,040688
Total;50 Zaragoza;2029;45,876342
Total;50 Zaragoza;2028;45,723051
Total;50 Zaragoza;2027;45,582786
Total;50 Zaragoza;2026;45,455234
Total;50 Zaragoza;2025;45,33732
Total;50 Zaragoza;2024;45,221192
Total;51 Ceuta;2039;43,455148
Total;51 Ceuta;2038;43,213294
Total;51 Ceuta;2037;42,963317
Total;51 Ceuta;2036;42,705074
Total;51 Ceuta;2035;42,438596
Total;51 Ceuta;2034;42,164045
Total;51 Ceuta;2033;41,881397
Total;51 Ceuta;2032;41,59078
Total;51 Ceuta;2031;41,292472
Total;51 Ceuta;2030;40,98642
Total;51 Ceuta;2029;40,672413
Total;51 Ceuta;2028;40,350028
Total;51 Ceuta;2027;40,018841
Total;51 Ceuta;2026;39,678049
Total;51 Ceuta;2025;39,326525
Total;51 Ceuta;2024;38,963638
Total;52 Melilla;2039;42,858607
Total;52 Melilla;2038;42,542872
Total;52 Melilla;2037;42,218321
Total;52 Melilla;2036;41,885069
Total;52 Melilla;2035;41,543326
Total;52 Melilla;2034;41,193383
Total;52 Melilla;2033;40,83566
Total;52 Melilla;2032;40,470472
Total;52 Melilla;2031;40,098162
Total;52 Melilla;2030;39,719031
Total;52 Melilla;2029;39,333051
Total;52 Melilla;2028;38,939973
Total;52 Melilla;2027;38,539525
Total;52 Melilla;2026;38,130951
Total;52 Melilla;2025;37,713574
Total;52 Melilla;2024;37,287244
Hombres;Total Nacional;2039;45,899161
Hombres;Total Nacional;2038;45,736935
Hombres;Total Nacional;2037;45,563817
Hombres;Total Nacional;2036;45,38025
Hombres;Total Nacional;2035;45,187173
Hombres;Total Nacional;2034;44,986202
Hombres;Total Nacional;2033;44,779318
Hombres;Total Nacional;2032;44,568981
Hombres;Total Nacional;2031;44,358026
Hombres;Total Nacional;2030;44,149432
Hombres;Total Nacional;2029;43,946097
Hombres;Total Nacional;2028;43,750522
Hombres;Total Nacional;2027;43,564519
Hombres;Total Nacional;2026;43,388107
Hombres;Total Nacional;2025;43,218789
Hombres;Total Nacional;2024;43,050191
Hombres;02 Albacete;2039;46,762017
Hombres;02 Albacete;2038;46,571847
Hombres;02 Albacete;2037;46,368494
Hombres;02 Albacete;2036;46,152937
Hombres;02 Albacete;2035;45,926523
Hombres;02 Albacete;2034;45,691328
Hombres;02 Albacete;2033;45,449571
Hombres;02 Albacete;2032;45,203854
Hombres;02 Albacete;2031;44,957045
Hombres;02 Albacete;2030;44,711958
Hombres;02 Albacete;2029;44,471323
Hombres;02 Albacete;2028;44,237359
Hombres;02 Albacete;2027;44,011791
Hombres;02 Albacete;2026;43,79436
Hombres;02 Albacete;2025;43,582993
Hombres;02 Albacete;2024;43,372061
Hombres;03 Alicante/Alacant;2039;46,564565
Hombres;03 Alicante/Alacant;2038;46,392781
Hombres;03 Alicante/Alacant;2037;46,209231
Hombres;03 Alicante/Alacant;2036;46,014116
Hombres;03 Alicante/Alacant;2035;45,808152
Hombres;03 Alicante/Alacant;2034;45,592511
Hombres;03 Alicante/Alacant;2033;45,368641
Hombres;03 Alicante/Alacant;2032;45,138374
Hombres;03 Alicante/Alacant;2031;44,903759
Hombres;03 Alicante/Alacant;2030;44,666785
Hombres;03 Alicante/Alacant;2029;44,429287
Hombres;03 Alicante/Alacant;2028;44,192657
Hombres;03 Alicante/Alacant;2027;43,957826
Hombres;03 Alicante/Alacant;2026;43,724412
Hombres;03 Alicante/Alacant;2025;43,4902
Hombres;03 Alicante/Alacant;2024;43,250827
Hombres;04 Almería;2039;42,733533
Hombres;04 Almería;2038;42,596825
Hombres;04 Almería;2037;42,44866
Hombres;04 Almería;2036;42,289188
Hombres;04 Almería;2035;42,119139
Hombres;04 Almería;2034;41,940001
Hombres;04 Almería;2033;41,753721
Hombres;04 Almería;2032;41,562783
Hombres;04 Almería;2031;41,370238
Hombres;04 Almería;2030;41,179333
Hombres;04 Almería;2029;40,993339
Hombres;04 Almería;2028;40,815314
Hombres;04 Almería;2027;40,648047
Hombres;04 Almería;2026;40,492908
Hombres;04 Almería;2025;40,34904
Hombres;04 Almería;2024;40,212227
Hombres;01 Araba/Álava;2039;46,819573
Hombres;01 Araba/Álava;2038;46,673257
Hombres;01 Araba/Álava;2037;46,51559
Hombres;01 Araba/Álava;2036;46,347259
Hombres;01 Araba/Álava;2035;46,169223
Hombres;01 Araba/Álava;2034;45,982921
Hombres;01 Araba/Álava;2033;45,790272
Hombres;01 Araba/Álava;2032;45,593585
Hombres;01 Araba/Álava;2031;45,395588
Hombres;01 Araba/Álava;2030;45,198909
Hombres;01 Araba/Álava;2029;45,006203
Hombres;01 Araba/Álava;2028;44,81968
Hombres;01 Araba/Álava;2027;44,640364
Hombres;01 Araba/Álava;2026;44,46745
Hombres;01 Araba/Álava;2025;44,297523
Hombres;01 Araba/Álava;2024;44,123549
Hombres;33 Asturias;2039;51,015505
Hombres;33 Asturias;2038;50,849003
Hombres;33 Asturias;2037;50,66702
Hombres;33 Asturias;2036;50,470343
Hombres;33 Asturias;2035;50,260261
Hombres;33 Asturias;2034;50,03868
Hombres;33 Asturias;2033;49,807881
Hombres;33 Asturias;2032;49,570638
Hombres;33 Asturias;2031;49,329803
Hombres;33 Asturias;2030;49,088421
Hombres;33 Asturias;2029;48,849232
Hombres;33 Asturias;2028;48,61481
Hombres;33 Asturias;2027;48,386865
Hombres;33 Asturias;2026;48,165408
Hombres;33 Asturias;2025;47,948729
Hombres;33 Asturias;2024;47,731692
Hombres;05 Ávila;2039;50,789348
Hombres;05 Ávila;2038;50,59507
Hombres;05 Ávila;2037;50,386494
Hombres;05 Ávila;2036;50,164543
Hombres;05 Ávila;2035;49,930544
Hombres;05 Ávila;2034;49,687081
Hombres;05 Ávila;2033;49,43657
Hombres;05 Ávila;2032;49,182237
Hombres;05 Ávila;2031;48,927837
Hombres;05 Ávila;2030;48,677163
Hombres;05 Ávila;2029;48,433536
Hombres;05 Ávila;2028;48,20039
Hombres;05 Ávila;2027;47,97976
Hombres;05 Ávila;2026;47,772346
Hombres;05 Ávila;2025;47,574569
Hombres;05 Ávila;2024;47,379216
Hombres;06 Badajoz;2039;47,869524
Hombres;06 Badajoz;2038;47,649423
Hombres;06 Badajoz;2037;47,415316
Hombres;06 Badajoz;2036;47,167767
Hombres;06 Badajoz;2035;46,907663
Hombres;06 Badajoz;2034;46,63645
Hombres;06 Badajoz;2033;46,355826
Hombres;06 Badajoz;2032;46,067568
Hombres;06 Badajoz;2031;45,773599
Hombres;06 Badajoz;2030;45,47604
Hombres;06 Badajoz;2029;45,176852
Hombres;06 Badajoz;2028;44,877431
Hombres;06 Badajoz;2027;44,579037
Hombres;06 Badajoz;2026;44,281719
Hombres;06 Badajoz;2025;43,984597
Hombres;06 Badajoz;2024;43,685169
Hombres;07 Balears, Illes;2039;44,465106
Hombres;07 Balears, Illes;2038;44,297812
Hombres;07 Balears, Illes;2037;44,122195
Hombres;07 Balears, Illes;2036;43,938302
Hombres;07 Balears, Illes;2035;43,74659
Hombres;07 Balears, Illes;2034;43,547928
Hombres;07 Balears, Illes;2033;43,343404
Hombres;07 Balears, Illes;2032;43,134448
Hombres;07 Balears, Illes;2031;42,922789
Hombres;07 Balears, Illes;2030;42,710138
Hombres;07 Balears, Illes;2029;42,498075
Hombres;07 Balears, Illes;2028;42,287886
Hombres;07 Balears, Illes;2027;42,080136
Hombres;07 Balears, Illes;2026;41,873907
Hombres;07 Balears, Illes;2025;41,666276
Hombres;07 Balears, Illes;2024;41,451083
Hombres;08 Barcelona;2039;44,376699
Hombres;08 Barcelona;2038;44,224442
Hombres;08 Barcelona;2037;44,064099
Hombres;08 Barcelona;2036;43,896088
Hombres;08 Barcelona;2035;43,72149
Hombres;08 Barcelona;2034;43,542052
Hombres;08 Barcelona;2033;43,36002
Hombres;08 Barcelona;2032;43,178181
Hombres;08 Barcelona;2031;42,999858
Hombres;08 Barcelona;2030;42,828601
Hombres;08 Barcelona;2029;42,667934
Hombres;08 Barcelona;2028;42,521014
Hombres;08 Barcelona;2027;42,390146
Hombres;08 Barcelona;2026;42,275326
Hombres;08 Barcelona;2025;42,172976
Hombres;08 Barcelona;2024;42,07373
Hombres;48 Bizkaia;2039;47,637589
Hombres;48 Bizkaia;2038;47,499347
Hombres;48 Bizkaia;2037;47,348983
Hombres;48 Bizkaia;2036;47,187373
Hombres;48 Bizkaia;2035;47,015821
Hombres;48 Bizkaia;2034;46,836136
Hombres;48 Bizkaia;2033;46,650561
Hombres;48 Bizkaia;2032;46,461824
Hombres;48 Bizkaia;2031;46,272959
Hombres;48 Bizkaia;2030;46,087169
Hombres;48 Bizkaia;2029;45,907566
Hombres;48 Bizkaia;2028;45,736845
Hombres;48 Bizkaia;2027;45,576732
Hombres;48 Bizkaia;2026;45,427169
Hombres;48 Bizkaia;2025;45,285467
Hombres;48 Bizkaia;2024;45,144834
Hombres;09 Burgos;2039;48,703612
Hombres;09 Burgos;2038;48,563022
Hombres;09 Burgos;2037;48,407265
Hombres;09 Burgos;2036;48,237216
Hombres;09 Burgos;2035;48,054189
Hombres;09 Burgos;2034;47,860253
Hombres;09 Burgos;2033;47,657917
Hombres;09 Burgos;2032;47,450155
Hombres;09 Burgos;2031;47,240389
Hombres;09 Burgos;2030;47,031897
Hombres;09 Burgos;2029;46,828045
Hombres;09 Burgos;2028;46,631442
Hombres;09 Burgos;2027;46,443615
Hombres;09 Burgos;2026;46,263773
Hombres;09 Burgos;2025;46,088564
Hombres;09 Burgos;2024;45,910362
Hombres;10 Cáceres;2039;50,003395
Hombres;10 Cáceres;2038;49,794876
Hombres;10 Cáceres;2037;49,571956
Hombres;10 Cáceres;2036;49,335785
Hombres;10 Cáceres;2035;49,087456
Hombres;10 Cáceres;2034;48,829046
Hombres;10 Cáceres;2033;48,562863
Hombres;10 Cáceres;2032;48,291501
Hombres;10 Cáceres;2031;48,017729
Hombres;10 Cáceres;2030;47,744321
Hombres;10 Cáceres;2029;47,473903
Hombres;10 Cáceres;2028;47,208927
Hombres;10 Cáceres;2027;46,950741
Hombres;10 Cáceres;2026;46,699612
Hombres;10 Cáceres;2025;46,454612
Hombres;10 Cáceres;2024;46,213051
Hombres;11 Cádiz;2039;46,705321
Hombres;11 Cádiz;2038;46,487926
Hombres;11 Cádiz;2037;46,255526
Hombres;11 Cádiz;2036;46,00794
Hombres;11 Cádiz;2035;45,745418
Hombres;11 Cádiz;2034;45,468823
Hombres;11 Cádiz;2033;45,179294
Hombres;11 Cádiz;2032;44,878465
Hombres;11 Cádiz;2031;44,568297
Hombres;11 Cádiz;2030;44,250913
Hombres;11 Cádiz;2029;43,928367
Hombres;11 Cádiz;2028;43,602423
Hombres;11 Cádiz;2027;43,274615
Hombres;11 Cádiz;2026;42,945509
Hombres;11 Cádiz;2025;42,614621
Hombres;11 Cádiz;2024;42,279807
Hombres;39 Cantabria;2039;48,730198
Hombres;39 Cantabria;2038;48,554505
Hombres;39 Cantabria;2037;48,363086
Hombres;39 Cantabria;2036;48,156569
Hombres;39 Cantabria;2035;47,936188
Hombres;39 Cantabria;2034;47,703845
Hombres;39 Cantabria;2033;47,461841
Hombres;39 Cantabria;2032;47,213237
Hombres;39 Cantabria;2031;46,961343
Hombres;39 Cantabria;2030;46,70963
Hombres;39 Cantabria;2029;46,461503
Hombres;39 Cantabria;2028;46,220081
Hombres;39 Cantabria;2027;45,987491
Hombres;39 Cantabria;2026;45,764338
Hombres;39 Cantabria;2025;45,54908
Hombres;39 Cantabria;2024;45,33692
Hombres;12 Castellón/Castelló;2039;45,236363
Hombres;12 Castellón/Castelló;2038;45,106079
Hombres;12 Castellón/Castelló;2037;44,966265
Hombres;12 Castellón/Castelló;2036;44,817194
Hombres;12 Castellón/Castelló;2035;44,659781
Hombres;12 Castellón/Castelló;2034;44,495663
Hombres;12 Castellón/Castelló;2033;44,326867
Hombres;12 Castellón/Castelló;2032;44,155883
Hombres;12 Castellón/Castelló;2031;43,985727
Hombres;12 Castellón/Castelló;2030;43,819631
Hombres;12 Castellón/Castelló;2029;43,66074
Hombres;12 Castellón/Castelló;2028;43,511885
Hombres;12 Castellón/Castelló;2027;43,375314
Hombres;12 Castellón/Castelló;2026;43,251529
Hombres;12 Castellón/Castelló;2025;43,138227
Hombres;12 Castellón/Castelló;2024;43,029184
Hombres;13 Ciudad Real;2039;47,215049
Hombres;13 Ciudad Real;2038;47,018717
Hombres;13 Ciudad Real;2037;46,807247
Hombres;13 Ciudad Real;2036;46,581635
Hombres;13 Ciudad Real;2035;46,343441
Hombres;13 Ciudad Real;2034;46,094866
Hombres;13 Ciudad Real;2033;45,838324
Hombres;13 Ciudad Real;2032;45,576623
Hombres;13 Ciudad Real;2031;45,312936
Hombres;13 Ciudad Real;2030;45,050484
Hombres;13 Ciudad Real;2029;44,792393
Hombres;13 Ciudad Real;2028;44,541193
Hombres;13 Ciudad Real;2027;44,299206
Hombres;13 Ciudad Real;2026;44,067033
Hombres;13 Ciudad Real;2025;43,842999
Hombres;13 Ciudad Real;2024;43,622651
Hombres;14 Córdoba;2039;47,07984
Hombres;14 Córdoba;2038;46,885276
Hombres;14 Córdoba;2037;46,676295
Hombres;14 Córdoba;2036;46,453385
Hombres;14 Córdoba;2035;46,217444
Hombres;14 Córdoba;2034;45,969953
Hombres;14 Córdoba;2033;45,712546
Hombres;14 Córdoba;2032;45,447144
Hombres;14 Córdoba;2031;45,176175
Hombres;14 Córdoba;2030;44,901795
Hombres;14 Córdoba;2029;44,626077
Hombres;14 Córdoba;2028;44,350824
Hombres;14 Córdoba;2027;44,077433
Hombres;14 Córdoba;2026;43,80637
Hombres;14 Córdoba;2025;43,536772
Hombres;14 Córdoba;2024;43,26649
Hombres;15 Coruña, A;2039;49,065537
Hombres;15 Coruña, A;2038;48,917308
Hombres;15 Coruña, A;2037;48,75814
Hombres;15 Coruña, A;2036;48,588604
Hombres;15 Coruña, A;2035;48,409659
Hombres;15 Coruña, A;2034;48,222913
Hombres;15 Coruña, A;2033;48,030268
Hombres;15 Coruña, A;2032;47,833919
Hombres;15 Coruña, A;2031;47,636357
Hombres;15 Coruña, A;2030;47,440126
Hombres;15 Coruña, A;2029;47,247631
Hombres;15 Coruña, A;2028;47,060921
Hombres;15 Coruña, A;2027;46,881235
Hombres;15 Coruña, A;2026;46,708478
Hombres;15 Coruña, A;2025;46,540794
Hombres;15 Coruña, A;2024;46,3732
Hombres;16 Cuenca;2039;47,485326
Hombres;16 Cuenca;2038;47,333937
Hombres;16 Cuenca;2037;47,172006
Hombres;16 Cuenca;2036;47,001001
Hombres;16 Cuenca;2035;46,823196
Hombres;16 Cuenca;2034;46,641673
Hombres;16 Cuenca;2033;46,459741
Hombres;16 Cuenca;2032;46,281353
Hombres;16 Cuenca;2031;46,111618
Hombres;16 Cuenca;2030;45,955348
Hombres;16 Cuenca;2029;45,817209
Hombres;16 Cuenca;2028;45,701922
Hombres;16 Cuenca;2027;45,613131
Hombres;16 Cuenca;2026;45,551555
Hombres;16 Cuenca;2025;45,514668
Hombres;16 Cuenca;2024;45,493918
Hombres;20 Gipuzkoa;2039;46,813411
Hombres;20 Gipuzkoa;2038;46,701637
Hombres;20 Gipuzkoa;2037;46,577402
Hombres;20 Gipuzkoa;2036;46,441037
Hombres;20 Gipuzkoa;2035;46,293396
Hombres;20 Gipuzkoa;2034;46,13584
Hombres;20 Gipuzkoa;2033;45,970101
Hombres;20 Gipuzkoa;2032;45,798499
Hombres;20 Gipuzkoa;2031;45,623529
Hombres;20 Gipuzkoa;2030;45,447884
Hombres;20 Gipuzkoa;2029;45,274218
Hombres;20 Gipuzkoa;2028;45,104779
Hombres;20 Gipuzkoa;2027;44,940792
Hombres;20 Gipuzkoa;2026;44,781835
Hombres;20 Gipuzkoa;2025;44,625352
Hombres;20 Gipuzkoa;2024;44,464607
Hombres;17 Girona;2039;44,453969
Hombres;17 Girona;2038;44,295099
Hombres;17 Girona;2037;44,127031
Hombres;17 Girona;2036;43,950076
Hombres;17 Girona;2035;43,765256
Hombres;17 Girona;2034;43,574326
Hombres;17 Girona;2033;43,379324
Hombres;17 Girona;2032;43,182972
Hombres;17 Girona;2031;42,988423
Hombres;17 Girona;2030;42,798864
Hombres;17 Girona;2029;42,617531
Hombres;17 Girona;2028;42,447262
Hombres;17 Girona;2027;42,290372
Hombres;17 Girona;2026;42,146719
Hombres;17 Girona;2025;42,013402
Hombres;17 Girona;2024;41,882628
Hombres;18 Granada;2039;45,769478
Hombres;18 Granada;2038;45,596427
Hombres;18 Granada;2037;45,411104
Hombres;18 Granada;2036;45,21374
Hombres;18 Granada;2035;45,004979
Hombres;18 Granada;2034;44,786029
Hombres;18 Granada;2033;44,55852
Hombres;18 Granada;2032;44,324491
Hombres;18 Granada;2031;44,086272
Hombres;18 Granada;2030;43,846331
Hombres;18 Granada;2029;43,607082
Hombres;18 Granada;2028;43,370623
Hombres;18 Granada;2027;43,138346
Hombres;18 Granada;2026;42,9107
Hombres;18 Granada;2025;42,68599
Hombres;18 Granada;2024;42,45974
Hombres;19 Guadalajara;2039;44,963758
Hombres;19 Guadalajara;2038;44,779153
Hombres;19 Guadalajara;2037;44,582593
Hombres;19 Guadalajara;2036;44,374529
Hombres;19 Guadalajara;2035;44,156195
Hombres;19 Guadalajara;2034;43,929413
Hombres;19 Guadalajara;2033;43,696621
Hombres;19 Guadalajara;2032;43,460665
Hombres;19 Guadalajara;2031;43,224693
Hombres;19 Guadalajara;2030;42,992169
Hombres;19 Guadalajara;2029;42,766518
Hombres;19 Guadalajara;2028;42,550537
Hombres;19 Guadalajara;2027;42,34676
Hombres;19 Guadalajara;2026;42,155575
Hombres;19 Guadalajara;2025;41,975197
Hombres;19 Guadalajara;2024;41,799929
Hombres;21 Huelva;2039;45,399917
Hombres;21 Huelva;2038;45,20883
Hombres;21 Huelva;2037;45,005875
Hombres;21 Huelva;2036;44,791572
Hombres;21 Huelva;2035;44,566815
Hombres;21 Huelva;2034;44,333243
Hombres;21 Huelva;2033;44,09274
Hombres;21 Huelva;2032;43,847527
Hombres;21 Huelva;2031;43,600232
Hombres;21 Huelva;2030;43,353586
Hombres;21 Huelva;2029;43,11018
Hombres;21 Huelva;2028;42,872212
Hombres;21 Huelva;2027;42,641441
Hombres;21 Huelva;2026;42,417945
Hombres;21 Huelva;2025;42,199742
Hombres;21 Huelva;2024;41,981662
Hombres;22 Huesca;2039;47,133747
Hombres;22 Huesca;2038;46,978661
Hombres;22 Huesca;2037;46,813627
Hombres;22 Huesca;2036;46,639367
Hombres;22 Huesca;2035;46,457451
Hombres;22 Huesca;2034;46,270087
Hombres;22 Huesca;2033;46,080099
Hombres;22 Huesca;2032;45,890828
Hombres;22 Huesca;2031;45,705757
Hombres;22 Huesca;2030;45,528834
Hombres;22 Huesca;2029;45,363526
Hombres;22 Huesca;2028;45,213088
Hombres;22 Huesca;2027;45,07988
Hombres;22 Huesca;2026;44,963272
Hombres;22 Huesca;2025;44,859066
Hombres;22 Huesca;2024;44,758509
Hombres;23 Jaén;2039;47,7111
Hombres;23 Jaén;2038;47,482597
Hombres;23 Jaén;2037;47,239465
Hombres;23 Jaén;2036;46,982471
Hombres;23 Jaén;2035;46,713018
Hombres;23 Jaén;2034;46,432966
Hombres;23 Jaén;2033;46,1443
Hombres;23 Jaén;2032;45,849315
Hombres;23 Jaén;2031;45,550618
Hombres;23 Jaén;2030;45,250551
Hombres;23 Jaén;2029;44,951166
Hombres;23 Jaén;2028;44,654233
Hombres;23 Jaén;2027;44,360939
Hombres;23 Jaén;2026;44,071115
Hombres;23 Jaén;2025;43,783637
Hombres;23 Jaén;2024;43,495843
Hombres;24 León;2039;51,324562
Hombres;24 León;2038;51,167203
Hombres;24 León;2037;50,996172
Hombres;24 León;2036;50,812466
Hombres;24 León;2035;50,617254
Hombres;24 León;2034;50,412632
Hombres;24 León;2033;50,200843
Hombres;24 León;2032;49,984678
Hombres;24 León;2031;49,76698
Hombres;24 León;2030;49,551122
Hombres;24 León;2029;49,34043
Hombres;24 León;2028;49,137812
Hombres;24 León;2027;48,945051
Hombres;24 León;2026;48,762771
Hombres;24 León;2025;48,589148
Hombres;24 León;2024;48,419092
Hombres;25 Lleida;2039;44,716228
Hombres;25 Lleida;2038;44,590839
Hombres;25 Lleida;2037;44,455964
Hombres;25 Lleida;2036;44,312272
Hombres;25 Lleida;2035;44,160993
Hombres;25 Lleida;2034;44,004274
Hombres;25 Lleida;2033;43,844664
Hombres;25 Lleida;2032;43,685364
Hombres;25 Lleida;2031;43,529942
Hombres;25 Lleida;2030;43,382465
Hombres;25 Lleida;2029;43,24683
Hombres;25 Lleida;2028;43,126739
Hombres;25 Lleida;2027;43,02513
Hombres;25 Lleida;2026;42,942392
Hombres;25 Lleida;2025;42,876187
Hombres;25 Lleida;2024;42,817642
Hombres;27 Lugo;2039;50,951572
Hombres;27 Lugo;2038;50,8136
Hombres;27 Lugo;2037;50,665781
Hombres;27 Lugo;2036;50,509783
Hombres;27 Lugo;2035;50,347525
Hombres;27 Lugo;2034;50,181903
Hombres;27 Lugo;2033;50,016278
Hombres;27 Lugo;2032;49,854313
Hombres;27 Lugo;2031;49,700126
Hombres;27 Lugo;2030;49,557857
Hombres;27 Lugo;2029;49,431524
Hombres;27 Lugo;2028;49,324032
Hombres;27 Lugo;2027;49,237304
Hombres;27 Lugo;2026;49,171059
Hombres;27 Lugo;2025;49,122352
Hombres;27 Lugo;2024;49,082995
Hombres;28 Madrid;2039;44,456027
Hombres;28 Madrid;2038;44,283929
Hombres;28 Madrid;2037;44,102796
Hombres;28 Madrid;2036;43,913131
Hombres;28 Madrid;2035;43,715959
Hombres;28 Madrid;2034;43,513064
Hombres;28 Madrid;2033;43,306621
Hombres;28 Madrid;2032;43,099328
Hombres;28 Madrid;2031;42,894308
Hombres;28 Madrid;2030;42,694915
Hombres;28 Madrid;2029;42,504526
Hombres;28 Madrid;2028;42,326075
Hombres;28 Madrid;2027;42,161865
Hombres;28 Madrid;2026;42,012198
Hombres;28 Madrid;2025;41,874461
Hombres;28 Madrid;2024;41,741197
Hombres;29 Málaga;2039;45,982407
Hombres;29 Málaga;2038;45,772964
Hombres;29 Málaga;2037;45,552392
Hombres;29 Málaga;2036;45,320955
Hombres;29 Málaga;2035;45,079335
Hombres;29 Málaga;2034;44,828745
Hombres;29 Málaga;2033;44,57068
Hombres;29 Málaga;2032;44,306886
Hombres;29 Málaga;2031;44,039369
Hombres;29 Málaga;2030;43,77011
Hombres;29 Málaga;2029;43,500914
Hombres;29 Málaga;2028;43,233214
Hombres;29 Málaga;2027;42,967962
Hombres;29 Málaga;2026;42,705012
Hombres;29 Málaga;2025;42,442802
Hombres;29 Málaga;2024;42,178386
Hombres;30 Murcia;2039;43,305706
Hombres;30 Murcia;2038;43,155055
Hombres;30 Murcia;2037;42,992808
Hombres;30 Murcia;2036;42,819199
Hombres;30 Murcia;2035;42,634931
Hombres;30 Murcia;2034;42,441482
Hombres;30 Murcia;2033;42,240646
Hombres;30 Murcia;2032;42,034816
Hombres;30 Murcia;2031;41,826721
Hombres;30 Murcia;2030;41,619215
Hombres;30 Murcia;2029;41,415149
Hombres;30 Murcia;2028;41,217048
Hombres;30 Murcia;2027;41,026991
Hombres;30 Murcia;2026;40,8454
Hombres;30 Murcia;2025;40,670646
Hombres;30 Murcia;2024;40,497871
Hombres;31 Navarra;2039;45,283242
Hombres;31 Navarra;2038;45,151512
Hombres;31 Navarra;2037;45,008781
Hombres;31 Navarra;2036;44,855703
Hombres;31 Navarra;2035;44,693153
Hombres;31 Navarra;2034;44,522742
Hombres;31 Navarra;2033;44,346582
Hombres;31 Navarra;2032;44,16718
Hombres;31 Navarra;2031;43,987303
Hombres;31 Navarra;2030;43,810079
Hombres;31 Navarra;2029;43,638128
Hombres;31 Navarra;2028;43,473941
Hombres;31 Navarra;2027;43,318904
Hombres;31 Navarra;2026;43,17299
Hombres;31 Navarra;2025;43,032817
Hombres;31 Navarra;2024;42,891281
Hombres;32 Ourense;2039;51,692653
Hombres;32 Ourense;2038;51,542232
Hombres;32 Ourense;2037;51,385226
Hombres;32 Ourense;2036;51,222566
Hombres;32 Ourense;2035;51,055408
Hombres;32 Ourense;2034;50,885819
Hombres;32 Ourense;2033;50,716229
Hombres;32 Ourense;2032;50,549718
Hombres;32 Ourense;2031;50,389223
Hombres;32 Ourense;2030;50,238429
Hombres;32 Ourense;2029;50,100327
Hombres;32 Ourense;2028;49,977687
Hombres;32 Ourense;2027;49,871688
Hombres;32 Ourense;2026;49,782271
Hombres;32 Ourense;2025;49,706017
Hombres;32 Ourense;2024;49,635068
Hombres;34 Palencia;2039;51,344369
Hombres;34 Palencia;2038;51,155892
Hombres;34 Palencia;2037;50,950479
Hombres;34 Palencia;2036;50,729204
Hombres;34 Palencia;2035;50,493431
