Sexo;Provincias;Periodo;Total
Total;48 Bizkaia;2034;48,546277
Total;48 Bizkaia;2033;48,357152
Total;48 Bizkaia;2032;48,166024
Total;48 Bizkaia;2031;47,975776
Total;48 Bizkaia;2030;47,789548
Total;48 Bizkaia;2029;47,610197
Total;48 Bizkaia;2028;47,440252
Total;48 Bizkaia;2027;47,281257
Total;48 Bizkaia;2026;47,132797
Total;48 Bizkaia;2025;46,992114
Total;48 Bizkaia;2024;46,85213
Total;09 Burgos;2039;50,322224
Total;09 Burgos;2038;50,148744
Total;09 Burgos;2037;49,962106
Total;09 Burgos;2036;49,763577
Total;09 Burgos;2035;49,554603
Total;09 Burgos;2034;49,337965
Total;09 Burgos;2033;49,116599
Total;09 Burgos;2032;48,893736
Total;09 Burgos;2031;48,672941
Total;09 Burgos;2030;48,458008
Total;09 Burgos;2029;48,25231
Total;09 Burgos;2028;48,058898
Total;09 Burgos;2027;47,879578
Total;09 Burgos;2026;47,713993
Total;09 Burgos;2025;47,559182
Total;09 Burgos;2024;47,407447
Total;10 Cáceres;2039;51,213095
Total;10 Cáceres;2038;50,992644
Total;10 Cáceres;2037;50,760299
Total;10 Cáceres;2036;50,517213
Total;10 Cáceres;2035;50,264394
Total;10 Cáceres;2034;50,00379
Total;10 Cáceres;2033;49,737656
Total;10 Cáceres;2032;49,468327
Total;10 Cáceres;2031;49,198317
Total;10 Cáceres;2030;48,930216
Total;10 Cáceres;2029;48,666345
Total;10 Cáceres;2028;48,408582
Total;10 Cáceres;2027;48,157778
Total;10 Cáceres;2026;47,913762
Total;10 Cáceres;2025;47,674955
Total;10 Cáceres;2024;47,437189
Total;11 Cádiz;2039;47,934322
Total;11 Cádiz;2038;47,703159
Total;11 Cádiz;2037;47,457692
Total;11 Cádiz;2036;47,197782
Total;11 Cádiz;2035;46,9237
Total;11 Cádiz;2034;46,636327
Total;11 Cádiz;2033;46,336895
Total;11 Cádiz;2032;46,027081
Total;11 Cádiz;2031;45,70882
Total;11 Cádiz;2030;45,384291
Total;11 Cádiz;2029;45,055561
Total;11 Cádiz;2028;44,724457
Total;11 Cádiz;2027;44,392438
Total;11 Cádiz;2026;44,060032
Total;11 Cádiz;2025;43,726705
Total;11 Cádiz;2024;43,390123
Total;39 Cantabria;2039;50,38546
Total;39 Cantabria;2038;50,188601
Total;39 Cantabria;2037;49,976843
Total;39 Cantabria;2036;49,75096
Total;39 Cantabria;2035;49,512373
Total;39 Cantabria;2034;49,26325
Total;39 Cantabria;2033;49,006129
Total;39 Cantabria;2032;48,744166
Total;39 Cantabria;2031;48,480677
Total;39 Cantabria;2030;48,219278
Total;39 Cantabria;2029;47,963354
Total;39 Cantabria;2028;47,715987
Total;39 Cantabria;2027;47,479138
Total;39 Cantabria;2026;47,253377
Total;39 Cantabria;2025;47,036885
Total;39 Cantabria;2024;46,824637
Total;12 Castellón/Castelló;2039;46,549177
Total;12 Castellón/Castelló;2038;46,407031
Total;12 Castellón/Castelló;2037;46,25561
Total;12 Castellón/Castelló;2036;46,095061
Total;12 Castellón/Castelló;2035;45,926357
Total;12 Castellón/Castelló;2034;45,751124
Total;12 Castellón/Castelló;2033;45,571358
Total;12 Castellón/Castelló;2032;45,389468
Total;12 Castellón/Castelló;2031;45,208402
Total;12 Castellón/Castelló;2030;45,031302
Total;12 Castellón/Castelló;2029;44,861003
Total;12 Castellón/Castelló;2028;44,700193
Total;12 Castellón/Castelló;2027;44,550869
Total;12 Castellón/Castelló;2026;44,413346
Total;12 Castellón/Castelló;2025;44,285158
Total;12 Castellón/Castelló;2024;44,159934
Total;13 Ciudad Real;2039;48,709242
Total;13 Ciudad Real;2038;48,499628
Total;13 Ciudad Real;2037;48,276126
Total;13 Ciudad Real;2036;48,039767
Total;13 Ciudad Real;2035;47,792096
Total;13 Ciudad Real;2034;47,535297
Total;13 Ciudad Real;2033;47,271725
Total;13 Ciudad Real;2032;47,003958
Total;13 Ciudad Real;2031;46,734958
Total;13 Ciudad Real;2030;46,467475
Total;13 Ciudad Real;2029;46,204124
Total;13 Ciudad Real;2028;45,946955
Total;13 Ciudad Real;2027;45,697425
Total;13 Ciudad Real;2026;45,455206
Total;13 Ciudad Real;2025;45,218153
Total;13 Ciudad Real;2024;44,980919
Total;14 Córdoba;2039;48,483364
Total;14 Córdoba;2038;48,279998
Total;14 Córdoba;2037;48,063555
Total;14 Córdoba;2036;47,834647
Total;14 Córdoba;2035;47,594163
Total;14 Córdoba;2034;47,343557
Total;14 Córdoba;2033;47,084517
Total;14 Córdoba;2032;46,818912
Total;14 Córdoba;2031;46,549007
Total;14 Córdoba;2030;46,276875
Total;14 Córdoba;2029;46,004478
Total;14 Córdoba;2028;45,733363
Total;14 Córdoba;2027;45,464556
Total;14 Córdoba;2026;45,198265
Total;14 Córdoba;2025;44,933358
Total;14 Córdoba;2024;44,66729
Total;15 Coruña, A;2039;50,798031
Total;15 Coruña, A;2038;50,639426
Total;15 Coruña, A;2037;50,470521
Total;15 Coruña, A;2036;50,291918
Total;15 Coruña, A;2035;50,104514
Total;15 Coruña, A;2034;49,910088
Total;15 Coruña, A;2033;49,710565
Total;15 Coruña, A;2032;49,508256
Total;15 Coruña, A;2031;49,30561
Total;15 Coruña, A;2030;49,105309
Total;15 Coruña, A;2029;48,909676
Total;15 Coruña, A;2028;48,720611
Total;15 Coruña, A;2027;48,539282
Total;15 Coruña, A;2026;48,365476
Total;15 Coruña, A;2025;48,196981
Total;15 Coruña, A;2024;48,028462
Total;16 Cuenca;2039;48,660775
Total;16 Cuenca;2038;48,502998
Total;16 Cuenca;2037;48,336077
Total;16 Cuenca;2036;48,16109
Total;16 Cuenca;2035;47,980198
Total;16 Cuenca;2034;47,796274
Total;16 Cuenca;2033;47,612375
Total;16 Cuenca;2032;47,432022
Total;16 Cuenca;2031;47,259648
Total;16 Cuenca;2030;47,099545
Total;16 Cuenca;2029;46,955558
Total;16 Cuenca;2028;46,8315
Total;16 Cuenca;2027;46,730202
Total;16 Cuenca;2026;46,651584
Total;16 Cuenca;2025;46,592305
Total;16 Cuenca;2024;46,543511
Total;20 Gipuzkoa;2039;48,357151
Total;20 Gipuzkoa;2038;48,235794
Total;20 Gipuzkoa;2037;48,102249
Total;20 Gipuzkoa;2036;47,956944
Total;20 Gipuzkoa;2035;47,800779
Total;20 Gipuzkoa;2034;47,635318
Total;20 Gipuzkoa;2033;47,462468
Total;20 Gipuzkoa;2032;47,284717
Total;20 Gipuzkoa;2031;47,104599
Total;20 Gipuzkoa;2030;46,924918
Total;20 Gipuzkoa;2029;46,748253
Total;20 Gipuzkoa;2028;46,576948
Total;20 Gipuzkoa;2027;46,412165
Total;20 Gipuzkoa;2026;46,253564
Total;20 Gipuzkoa;2025;46,098165
Total;20 Gipuzkoa;2024;45,93951
Total;17 Girona;2039;45,774094
Total;17 Girona;2038;45,5996
Total;17 Girona;2037;45,415747
Total;17 Girona;2036;45,222829
Total;17 Girona;2035;45,021944
Total;17 Girona;2034;44,814894
Total;17 Girona;2033;44,603859
Total;17 Girona;2032;44,391561
Total;17 Girona;2031;44,181046
Total;17 Girona;2030;43,9754
Total;17 Girona;2029;43,777649
Total;17 Girona;2028;43,590614
Total;17 Girona;2027;43,416284
Total;17 Girona;2026;43,254419
Total;17 Girona;2025;43,102107
Total;17 Girona;2024;42,951798
Total;18 Granada;2039;47,070486
Total;18 Granada;2038;46,888108
Total;18 Granada;2037;46,694128
Total;18 Granada;2036;46,488717
Total;18 Granada;2035;46,272509
Total;18 Granada;2034;46,04672
Total;18 Granada;2033;45,812906
Total;18 Granada;2032;45,573008
Total;18 Granada;2031;45,329238
Total;18 Granada;2030;45,083892
Total;18 Granada;2029;44,839079
Total;18 Granada;2028;44,596681
Total;18 Granada;2027;44,3579
Total;18 Granada;2026;44,122768
Total;18 Granada;2025;43,889424
Total;18 Granada;2024;43,653245
Total;19 Guadalajara;2039;45,852756
Total;19 Guadalajara;2038;45,658808
Total;19 Guadalajara;2037;45,453077
Total;19 Guadalajara;2036;45,235988
Total;19 Guadalajara;2035;45,008784
Total;19 Guadalajara;2034;44,773322
Total;19 Guadalajara;2033;44,531971
Total;19 Guadalajara;2032;44,287415
Total;19 Guadalajara;2031;44,042496
Total;19 Guadalajara;2030;43,800354
Total;19 Guadalajara;2029;43,564037
Total;19 Guadalajara;2028;43,336008
Total;19 Guadalajara;2027;43,118143
Total;19 Guadalajara;2026;42,910847
Total;19 Guadalajara;2025;42,712511
Total;19 Guadalajara;2024;42,51773
Total;21 Huelva;2039;46,830794
Total;21 Huelva;2038;46,622814
Total;21 Huelva;2037;46,403207
Total;21 Huelva;2036;46,172469
Total;21 Huelva;2035;45,931386
Total;21 Huelva;2034;45,68153
Total;21 Huelva;2033;45,424706
Total;21 Huelva;2032;45,162966
Total;21 Huelva;2031;44,898783
Total;21 Huelva;2030;44,634617
Total;21 Huelva;2029;44,372735
Total;21 Huelva;2028;44,115107
Total;21 Huelva;2027;43,863176
Total;21 Huelva;2026;43,616802
Total;21 Huelva;2025;43,374037
Total;21 Huelva;2024;43,130158
Total;22 Huesca;2039;48,39633
Total;22 Huesca;2038;48,227387
Total;22 Huesca;2037;48,048965
Total;22 Huesca;2036;47,861889
Total;22 Huesca;2035;47,667841
Total;22 Huesca;2034;47,469432
Total;22 Huesca;2033;47,269685
Total;22 Huesca;2032;47,071832
Total;22 Huesca;2031;46,879334
Total;22 Huesca;2030;46,695962
Total;22 Huesca;2029;46,525079
Total;22 Huesca;2028;46,370082
Total;22 Huesca;2027;46,232635
Total;22 Huesca;2026;46,112169
Total;22 Huesca;2025;46,004964
Total;22 Huesca;2024;45,902087
Total;23 Jaén;2039;49,049914
Total;23 Jaén;2038;48,812358
Total;23 Jaén;2037;48,561875
Total;23 Jaén;2036;48,299201
Total;23 Jaén;2035;48,025723
Total;23 Jaén;2034;47,743247
Total;23 Jaén;2033;47,453629
Total;23 Jaén;2032;47,158976
Total;23 Jaén;2031;46,861625
Total;23 Jaén;2030;46,563591
Total;23 Jaén;2029;46,266717
Total;23 Jaén;2028;45,972289
Total;23 Jaén;2027;45,681128
Total;23 Jaén;2026;45,392739
Total;23 Jaén;2025;45,105383
Total;23 Jaén;2024;44,81596
Total;24 León;2039;52,937331
Total;24 León;2038;52,767158
Total;24 León;2037;52,585755
Total;24 León;2036;52,394244
Total;24 León;2035;52,193504
Total;24 León;2034;51,985689
Total;24 León;2033;51,773242
Total;24 León;2032;51,558773
Total;24 León;2031;51,344634
Total;24 León;2030;51,134055
Total;24 León;2029;50,929753
Total;24 León;2028;50,733967
Total;24 León;2027;50,5479
Total;24 León;2026;50,37138
Total;24 León;2025;50,201786
Total;24 León;2024;50,033719
Total;25 Lleida;2039;45,796792
Total;25 Lleida;2038;45,675043
Total;25 Lleida;2037;45,544097
Total;25 Lleida;2036;45,404661
Total;25 Lleida;2035;45,258003
Total;25 Lleida;2034;45,106304
Total;25 Lleida;2033;44,952106
Total;25 Lleida;2032;44,798594
Total;25 Lleida;2031;44,649252
Total;25 Lleida;2030;44,50787
Total;25 Lleida;2029;44,378042
Total;25 Lleida;2028;44,263135
Total;25 Lleida;2027;44,165317
Total;25 Lleida;2026;44,084564
Total;25 Lleida;2025;44,017853
Total;25 Lleida;2024;43,956162
Total;27 Lugo;2039;52,547404
Total;27 Lugo;2038;52,391761
Total;27 Lugo;2037;52,22793
Total;27 Lugo;2036;52,057546
Total;27 Lugo;2035;51,882592
Total;27 Lugo;2034;51,7059
Total;27 Lugo;2033;51,53078
Total;27 Lugo;2032;51,360633
Total;27 Lugo;2031;51,199142
Total;27 Lugo;2030;51,049877
Total;27 Lugo;2029;50,916302
Total;27 Lugo;2028;50,800888
Total;27 Lugo;2027;50,705067
Total;27 Lugo;2026;50,628137
Total;27 Lugo;2025;50,566536
Total;27 Lugo;2024;50,512458
Total;28 Madrid;2039;45,993147
Total;28 Madrid;2038;45,813187
Total;28 Madrid;2037;45,624513
Total;28 Madrid;2036;45,4277
Total;28 Madrid;2035;45,223886
Total;28 Madrid;2034;45,015025
Total;28 Madrid;2033;44,803504
Total;28 Madrid;2032;44,592182
Total;28 Madrid;2031;44,384383
Total;28 Madrid;2030;44,183643
Total;28 Madrid;2029;43,993529
Total;28 Madrid;2028;43,817194
Total;28 Madrid;2027;43,656994
Total;28 Madrid;2026;43,513276
Total;28 Madrid;2025;43,383211
Total;28 Madrid;2024;43,258774
Total;29 Málaga;2039;47,183045
Total;29 Málaga;2038;46,956202
Total;29 Málaga;2037;46,718583
Total;29 Málaga;2036;46,470549
Total;29 Málaga;2035;46,212936
Total;29 Málaga;2034;45,947126
Total;29 Málaga;2033;45,67481
Total;29 Málaga;2032;45,397987
Total;29 Málaga;2031;45,118906
Total;29 Málaga;2030;44,839874
Total;29 Málaga;2029;44,563008
Total;29 Málaga;2028;44,290137
