Viajeros y pernoctaciones;Residencia: Nivel 1;Residencia: Nivel 2;Totales Territoriales;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M08;191.128
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M09;123.596
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M10;112.180
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M11;33.896
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2015M12;22.473
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M01;24.905
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M02;44.401
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M03;81.822
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M04;98.946
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M05;113.396
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M06;163.743
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M07;173.446
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M08;173.893
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M09;132.777
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M10;128.255
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M11;38.552
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2016M12;26.521
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2017M01;23.268
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2017M02;54.662
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2017M03;81.237
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2017M04;107.073
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2017M05;143.630
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2017M06;178.385
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2017M07;190.036
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2017M08;201.011
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2017M09;151.182
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2017M10;134.237
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2017M11;46.724
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2017M12;33.277
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2018M01;27.144
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2018M02;64.600
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2018M03;89.468
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2018M04;94.236
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2018M05;159.954
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2018M06;172.865
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2018M07;176.438
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2018M08;188.843
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2018M09;151.240
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2018M10;142.964
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2018M11;45.450
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2018M12;30.396
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2019M01;26.306
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2019M02;51.587
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2019M03;73.394
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2019M04;112.304
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2019M05;168.744
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2019M06;187.072
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2019M07;198.977
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2019M08;218.030
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2019M09;167.143
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2019M10;119.164
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2019M11;45.381
Viajero;Total;Residentes en España;Total Nacional;04 Balears, Illes;;2019M12;28.477
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2015M01;348.649
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2015M02;399.946
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2015M03;494.062
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2015M04;561.953
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2015M05;647.363
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2015M06;718.555
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2015M07;780.266
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2015M08;893.678
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2015M09;638.760
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2015M10;609.229
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2015M11;386.764
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2015M12;455.845
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2016M01;379.367
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2016M02;443.152
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2016M03;624.785
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2016M04;542.786
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2016M05;668.899
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2016M06;779.106
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2016M07;874.641
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2016M08;910.431
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2016M09;698.637
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2016M10;628.144
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2016M11;413.129
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2016M12;476.090
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2017M01;378.975
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2017M02;435.363
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2017M03;545.304
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2017M04;719.618
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2017M05;626.583
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2017M06;817.555
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2017M07;860.492
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2017M08;879.521
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2017M09;709.537
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2017M10;593.069
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2017M11;415.361
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2017M12;472.410
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2018M01;382.568
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2018M02;421.878
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2018M03;586.368
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2018M04;614.901
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2018M05;627.770
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2018M06;764.069
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2018M07;828.278
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2018M08;894.527
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2018M09;705.950
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2018M10;590.105
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2018M11;428.103
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2018M12;485.083
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2019M01;368.764
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2019M02;441.263
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2019M03;534.207
Viajero;Total;Residentes en España;Total Nacional;09 Cataluña;;2019M04;650.899
