Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
01 Andalucía;Países Bajos;Septiembre;49.642
01 Andalucía;Países Bajos;Octubre;45.575
01 Andalucía;Países Bajos;Noviembre;21.613
01 Andalucía;Países Bajos;Diciembre;14.049
01 Andalucía;Polonia;Enero;6.074
01 Andalucía;Polonia;Febrero;5.024
01 Andalucía;Polonia;Marzo;6.755
01 Andalucía;Polonia;Abril;12.712
01 Andalucía;Polonia;Mayo;15.963
01 Andalucía;Polonia;Junio;18.543
01 Andalucía;Polonia;Julio;17.222
01 Andalucía;Polonia;Agosto;19.108
01 Andalucía;Polonia;Septiembre;20.330
01 Andalucía;Polonia;Octubre;12.399
01 Andalucía;Polonia;Noviembre;5.962
01 Andalucía;Polonia;Diciembre;4.223
01 Andalucía;Portugal;Enero;8.528
01 Andalucía;Portugal;Febrero;14.231
01 Andalucía;Portugal;Marzo;15.209
01 Andalucía;Portugal;Abril;25.334
01 Andalucía;Portugal;Mayo;17.450
01 Andalucía;Portugal;Junio;27.444
01 Andalucía;Portugal;Julio;29.959
01 Andalucía;Portugal;Agosto;51.003
01 Andalucía;Portugal;Septiembre;26.562
01 Andalucía;Portugal;Octubre;21.014
01 Andalucía;Portugal;Noviembre;11.699
01 Andalucía;Portugal;Diciembre;13.791
01 Andalucía;Reino Unido;Enero;55.414
01 Andalucía;Reino Unido;Febrero;70.810
01 Andalucía;Reino Unido;Marzo;101.933
01 Andalucía;Reino Unido;Abril;134.501
01 Andalucía;Reino Unido;Mayo;184.074
01 Andalucía;Reino Unido;Junio;186.636
01 Andalucía;Reino Unido;Julio;157.420
01 Andalucía;Reino Unido;Agosto;140.388
01 Andalucía;Reino Unido;Septiembre;191.701
01 Andalucía;Reino Unido;Octubre;153.804
01 Andalucía;Reino Unido;Noviembre;71.877
01 Andalucía;Reino Unido;Diciembre;56.985
01 Andalucía;República Checa;Enero;924
01 Andalucía;República Checa;Febrero;1.369
01 Andalucía;República Checa;Marzo;2.032
01 Andalucía;República Checa;Abril;2.309
01 Andalucía;República Checa;Mayo;3.652
01 Andalucía;República Checa;Junio;7.166
01 Andalucía;República Checa;Julio;7.796
01 Andalucía;República Checa;Agosto;6.216
01 Andalucía;República Checa;Septiembre;6.637
01 Andalucía;República Checa;Octubre;3.718
01 Andalucía;República Checa;Noviembre;2.040
01 Andalucía;República Checa;Diciembre;1.483
01 Andalucía;Suecia;Enero;8.897
01 Andalucía;Suecia;Febrero;10.386
01 Andalucía;Suecia;Marzo;16.566
01 Andalucía;Suecia;Abril;19.264
01 Andalucía;Suecia;Mayo;15.421
01 Andalucía;Suecia;Junio;15.751
01 Andalucía;Suecia;Julio;15.604
01 Andalucía;Suecia;Agosto;9.948
01 Andalucía;Suecia;Septiembre;15.515
01 Andalucía;Suecia;Octubre;21.052
01 Andalucía;Suecia;Noviembre;12.694
01 Andalucía;Suecia;Diciembre;8.355
01 Andalucía;Noruega;Enero;3.918
01 Andalucía;Noruega;Febrero;7.249
01 Andalucía;Noruega;Marzo;7.371
01 Andalucía;Noruega;Abril;9.716
01 Andalucía;Noruega;Mayo;8.545
01 Andalucía;Noruega;Junio;7.714
01 Andalucía;Noruega;Julio;12.464
01 Andalucía;Noruega;Agosto;5.540
01 Andalucía;Noruega;Septiembre;11.371
01 Andalucía;Noruega;Octubre;10.076
01 Andalucía;Noruega;Noviembre;5.744
01 Andalucía;Noruega;Diciembre;3.623
01 Andalucía;Rusia;Enero;7.878
01 Andalucía;Rusia;Febrero;4.304
01 Andalucía;Rusia;Marzo;6.611
01 Andalucía;Rusia;Abril;8.052
01 Andalucía;Rusia;Mayo;9.071
01 Andalucía;Rusia;Junio;8.435
01 Andalucía;Rusia;Julio;8.247
01 Andalucía;Rusia;Agosto;8.554
01 Andalucía;Rusia;Septiembre;8.841
01 Andalucía;Rusia;Octubre;7.670
01 Andalucía;Rusia;Noviembre;5.102
01 Andalucía;Rusia;Diciembre;5.289
01 Andalucía;Suiza;Enero;4.772
01 Andalucía;Suiza;Febrero;7.407
01 Andalucía;Suiza;Marzo;10.487
01 Andalucía;Suiza;Abril;18.450
01 Andalucía;Suiza;Mayo;18.080
01 Andalucía;Suiza;Junio;12.506
01 Andalucía;Suiza;Julio;13.457
01 Andalucía;Suiza;Agosto;9.538
01 Andalucía;Suiza;Septiembre;18.277
01 Andalucía;Suiza;Octubre;20.871
01 Andalucía;Suiza;Noviembre;7.062
01 Andalucía;Suiza;Diciembre;5.654
01 Andalucía;Japón;Enero;9.506
01 Andalucía;Japón;Febrero;10.212
01 Andalucía;Japón;Marzo;10.536
01 Andalucía;Japón;Abril;10.375
01 Andalucía;Japón;Mayo;12.281
01 Andalucía;Japón;Junio;12.200
01 Andalucía;Japón;Julio;8.652
01 Andalucía;Japón;Agosto;11.158
01 Andalucía;Japón;Septiembre;12.061
01 Andalucía;Japón;Octubre;13.825
01 Andalucía;Japón;Noviembre;12.494
01 Andalucía;Japón;Diciembre;10.644
01 Andalucía;Estados Unidos;Enero;21.648
01 Andalucía;Estados Unidos;Febrero;20.863
01 Andalucía;Estados Unidos;Marzo;45.151
01 Andalucía;Estados Unidos;Abril;47.226
01 Andalucía;Estados Unidos;Mayo;60.025
01 Andalucía;Estados Unidos;Junio;75.502
01 Andalucía;Estados Unidos;Julio;54.165
01 Andalucía;Estados Unidos;Agosto;40.383
01 Andalucía;Estados Unidos;Septiembre;60.585
01 Andalucía;Estados Unidos;Octubre;65.509
01 Andalucía;Estados Unidos;Noviembre;37.541
01 Andalucía;Estados Unidos;Diciembre;27.758
01 Andalucía;Países africanos;Enero;18.872
01 Andalucía;Países africanos;Febrero;12.834
01 Andalucía;Países africanos;Marzo;11.977
01 Andalucía;Países africanos;Abril;18.768
01 Andalucía;Países africanos;Mayo;13.594
01 Andalucía;Países africanos;Junio;13.938
01 Andalucía;Países africanos;Julio;31.851
01 Andalucía;Países africanos;Agosto;45.255
01 Andalucía;Países africanos;Septiembre;20.746
01 Andalucía;Países africanos;Octubre;15.051
01 Andalucía;Países africanos;Noviembre;17.154
01 Andalucía;Países africanos;Diciembre;15.393
04 Balears, Illes;Residentes en España;Enero;27.144
04 Balears, Illes;Residentes en España;Febrero;64.600
04 Balears, Illes;Residentes en España;Marzo;89.468
04 Balears, Illes;Residentes en España;Abril;94.236
04 Balears, Illes;Residentes en España;Mayo;159.954
04 Balears, Illes;Residentes en España;Junio;172.865
04 Balears, Illes;Residentes en España;Julio;176.438
04 Balears, Illes;Residentes en España;Agosto;188.843
04 Balears, Illes;Residentes en España;Septiembre;151.240
04 Balears, Illes;Residentes en España;Octubre;142.964
04 Balears, Illes;Residentes en España;Noviembre;45.450
04 Balears, Illes;Residentes en España;Diciembre;30.396
04 Balears, Illes;Alemania;Enero;12.681
04 Balears, Illes;Alemania;Febrero;51.183
04 Balears, Illes;Alemania;Marzo;98.834
04 Balears, Illes;Alemania;Abril;192.755
04 Balears, Illes;Alemania;Mayo;420.558
04 Balears, Illes;Alemania;Junio;462.952
04 Balears, Illes;Alemania;Julio;453.346
04 Balears, Illes;Alemania;Agosto;433.084
04 Balears, Illes;Alemania;Septiembre;471.605
04 Balears, Illes;Alemania;Octubre;368.776
04 Balears, Illes;Alemania;Noviembre;28.712
04 Balears, Illes;Alemania;Diciembre;33.486
04 Balears, Illes;Austria;Enero;503
04 Balears, Illes;Austria;Febrero;1.490
04 Balears, Illes;Austria;Marzo;3.775
04 Balears, Illes;Austria;Abril;7.244
04 Balears, Illes;Austria;Mayo;14.536
04 Balears, Illes;Austria;Junio;22.707
04 Balears, Illes;Austria;Julio;29.449
04 Balears, Illes;Austria;Agosto;28.428
04 Balears, Illes;Austria;Septiembre;20.975
04 Balears, Illes;Austria;Octubre;15.324
04 Balears, Illes;Austria;Noviembre;1.592
04 Balears, Illes;Austria;Diciembre;1.963
04 Balears, Illes;Bélgica;Enero;691
04 Balears, Illes;Bélgica;Febrero;1.351
04 Balears, Illes;Bélgica;Marzo;1.535
04 Balears, Illes;Bélgica;Abril;7.394
04 Balears, Illes;Bélgica;Mayo;18.205
04 Balears, Illes;Bélgica;Junio;16.609
04 Balears, Illes;Bélgica;Julio;24.064
04 Balears, Illes;Bélgica;Agosto;20.149
04 Balears, Illes;Bélgica;Septiembre;19.128
04 Balears, Illes;Bélgica;Octubre;7.750
04 Balears, Illes;Bélgica;Noviembre;460
04 Balears, Illes;Bélgica;Diciembre;469
04 Balears, Illes;Dinamarca;Enero;411
04 Balears, Illes;Dinamarca;Febrero;865
04 Balears, Illes;Dinamarca;Marzo;4.084
04 Balears, Illes;Dinamarca;Abril;8.816
04 Balears, Illes;Dinamarca;Mayo;19.465
04 Balears, Illes;Dinamarca;Junio;19.803
04 Balears, Illes;Dinamarca;Julio;40.519
04 Balears, Illes;Dinamarca;Agosto;22.243
04 Balears, Illes;Dinamarca;Septiembre;17.675
04 Balears, Illes;Dinamarca;Octubre;18.622
04 Balears, Illes;Dinamarca;Noviembre;597
04 Balears, Illes;Dinamarca;Diciembre;629
04 Balears, Illes;Finlandia;Enero;525
04 Balears, Illes;Finlandia;Febrero;458
04 Balears, Illes;Finlandia;Marzo;1.301
04 Balears, Illes;Finlandia;Abril;4.608
04 Balears, Illes;Finlandia;Mayo;6.164
04 Balears, Illes;Finlandia;Junio;8.121
04 Balears, Illes;Finlandia;Julio;9.622
04 Balears, Illes;Finlandia;Agosto;6.359
04 Balears, Illes;Finlandia;Septiembre;6.114
04 Balears, Illes;Finlandia;Octubre;7.127
04 Balears, Illes;Finlandia;Noviembre;476
04 Balears, Illes;Finlandia;Diciembre;597
04 Balears, Illes;Francia;Enero;1.915
04 Balears, Illes;Francia;Febrero;2.287
04 Balears, Illes;Francia;Marzo;3.817
04 Balears, Illes;Francia;Abril;29.552
04 Balears, Illes;Francia;Mayo;70.043
04 Balears, Illes;Francia;Junio;66.851
04 Balears, Illes;Francia;Julio;77.710
04 Balears, Illes;Francia;Agosto;96.282
04 Balears, Illes;Francia;Septiembre;67.224
04 Balears, Illes;Francia;Octubre;44.127
04 Balears, Illes;Francia;Noviembre;2.244
