Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Andalucía;Residentes en España;Enero;1.015.322
Andalucía;Residentes en España;Febrero;1.457.855
Andalucía;Residentes en España;Marzo;1.966.951
Andalucía;Residentes en España;Abril;1.661.288
Andalucía;Residentes en España;Mayo;1.862.914
Andalucía;Residentes en España;Junio;2.219.754
Andalucía;Residentes en España;Julio;3.425.284
Andalucía;Residentes en España;Agosto;3.850.822
Andalucía;Residentes en España;Septiembre;2.351.963
Andalucía;Residentes en España;Octubre;1.774.823
Andalucía;Residentes en España;Noviembre;1.165.512
Andalucía;Residentes en España;Diciembre;1.231.488
Andalucía;Alemania;Enero;97.218
Andalucía;Alemania;Febrero;132.941
Andalucía;Alemania;Marzo;294.098
Andalucía;Alemania;Abril;367.027
Andalucía;Alemania;Mayo;492.750
Andalucía;Alemania;Junio;498.437
Andalucía;Alemania;Julio;389.110
Andalucía;Alemania;Agosto;416.225
Andalucía;Alemania;Septiembre;603.287
Andalucía;Alemania;Octubre;605.530
Andalucía;Alemania;Noviembre;155.915
Andalucía;Alemania;Diciembre;78.169
Andalucía;Austria;Enero;5.414
Andalucía;Austria;Febrero;9.932
Andalucía;Austria;Marzo;16.667
Andalucía;Austria;Abril;17.898
Andalucía;Austria;Mayo;20.556
Andalucía;Austria;Junio;18.918
Andalucía;Austria;Julio;26.130
Andalucía;Austria;Agosto;22.499
Andalucía;Austria;Septiembre;25.953
Andalucía;Austria;Octubre;18.083
Andalucía;Austria;Noviembre;10.081
Andalucía;Austria;Diciembre;5.269
Andalucía;Bélgica;Enero;47.472
Andalucía;Bélgica;Febrero;58.735
Andalucía;Bélgica;Marzo;71.122
Andalucía;Bélgica;Abril;84.848
Andalucía;Bélgica;Mayo;120.247
Andalucía;Bélgica;Junio;111.051
Andalucía;Bélgica;Julio;164.533
Andalucía;Bélgica;Agosto;141.985
Andalucía;Bélgica;Septiembre;144.613
Andalucía;Bélgica;Octubre;120.148
Andalucía;Bélgica;Noviembre;67.051
Andalucía;Bélgica;Diciembre;39.015
Andalucía;Dinamarca;Enero;19.276
Andalucía;Dinamarca;Febrero;43.718
Andalucía;Dinamarca;Marzo;53.362
Andalucía;Dinamarca;Abril;42.788
Andalucía;Dinamarca;Mayo;38.150
Andalucía;Dinamarca;Junio;33.295
Andalucía;Dinamarca;Julio;70.519
Andalucía;Dinamarca;Agosto;41.913
Andalucía;Dinamarca;Septiembre;46.486
Andalucía;Dinamarca;Octubre;64.924
Andalucía;Dinamarca;Noviembre;31.763
Andalucía;Dinamarca;Diciembre;13.518
Andalucía;Finlandia;Enero;13.756
Andalucía;Finlandia;Febrero;18.226
Andalucía;Finlandia;Marzo;26.951
Andalucía;Finlandia;Abril;28.520
Andalucía;Finlandia;Mayo;21.102
Andalucía;Finlandia;Junio;20.230
Andalucía;Finlandia;Julio;17.191
Andalucía;Finlandia;Agosto;11.812
Andalucía;Finlandia;Septiembre;17.221
Andalucía;Finlandia;Octubre;29.439
Andalucía;Finlandia;Noviembre;30.269
Andalucía;Finlandia;Diciembre;16.592
Andalucía;Francia;Enero;56.508
Andalucía;Francia;Febrero;82.426
Andalucía;Francia;Marzo;104.610
Andalucía;Francia;Abril;305.915
Andalucía;Francia;Mayo;346.093
Andalucía;Francia;Junio;276.200
Andalucía;Francia;Julio;322.015
Andalucía;Francia;Agosto;469.253
Andalucía;Francia;Septiembre;350.000
Andalucía;Francia;Octubre;278.012
Andalucía;Francia;Noviembre;77.912
Andalucía;Francia;Diciembre;73.933
Andalucía;Grecia;Enero;1.576
Andalucía;Grecia;Febrero;1.941
Andalucía;Grecia;Marzo;2.410
Andalucía;Grecia;Abril;3.041
Andalucía;Grecia;Mayo;3.253
Andalucía;Grecia;Junio;4.601
Andalucía;Grecia;Julio;3.628
Andalucía;Grecia;Agosto;2.990
Andalucía;Grecia;Septiembre;8.786
Andalucía;Grecia;Octubre;6.448
Andalucía;Grecia;Noviembre;2.981
Andalucía;Grecia;Diciembre;2.321
Andalucía;Irlanda;Enero;17.954
Andalucía;Irlanda;Febrero;19.883
Andalucía;Irlanda;Marzo;31.186
Andalucía;Irlanda;Abril;71.504
Andalucía;Irlanda;Mayo;109.030
Andalucía;Irlanda;Junio;108.157
Andalucía;Irlanda;Julio;98.657
Andalucía;Irlanda;Agosto;79.206
Andalucía;Irlanda;Septiembre;104.645
Andalucía;Irlanda;Octubre;111.014
Andalucía;Irlanda;Noviembre;31.728
Andalucía;Irlanda;Diciembre;15.528
Andalucía;Italia;Enero;56.371
Andalucía;Italia;Febrero;44.993
Andalucía;Italia;Marzo;79.187
Andalucía;Italia;Abril;93.949
Andalucía;Italia;Mayo;89.328
Andalucía;Italia;Junio;95.378
Andalucía;Italia;Julio;97.159
Andalucía;Italia;Agosto;178.998
Andalucía;Italia;Septiembre;106.350
Andalucía;Italia;Octubre;107.336
Andalucía;Italia;Noviembre;55.751
Andalucía;Italia;Diciembre;61.680
Andalucía;Luxemburgo;Enero;3.283
Andalucía;Luxemburgo;Febrero;3.427
Andalucía;Luxemburgo;Marzo;3.479
Andalucía;Luxemburgo;Abril;4.860
Andalucía;Luxemburgo;Mayo;7.566
Andalucía;Luxemburgo;Junio;9.463
Andalucía;Luxemburgo;Julio;7.531
Andalucía;Luxemburgo;Agosto;12.715
Andalucía;Luxemburgo;Septiembre;12.204
Andalucía;Luxemburgo;Octubre;7.300
Andalucía;Luxemburgo;Noviembre;3.452
Andalucía;Luxemburgo;Diciembre;3.808
Andalucía;Países Bajos;Enero;44.908
Andalucía;Países Bajos;Febrero;60.042
Andalucía;Países Bajos;Marzo;78.986
Andalucía;Países Bajos;Abril;138.912
Andalucía;Países Bajos;Mayo;176.150
Andalucía;Países Bajos;Junio;159.618
Andalucía;Países Bajos;Julio;155.028
Andalucía;Países Bajos;Agosto;173.508
Andalucía;Países Bajos;Septiembre;183.850
Andalucía;Países Bajos;Octubre;159.028
Andalucía;Países Bajos;Noviembre;62.234
Andalucía;Países Bajos;Diciembre;39.756
Andalucía;Polonia;Enero;10.248
Andalucía;Polonia;Febrero;15.301
Andalucía;Polonia;Marzo;18.564
Andalucía;Polonia;Abril;26.926
Andalucía;Polonia;Mayo;35.874
Andalucía;Polonia;Junio;81.640
Andalucía;Polonia;Julio;94.902
Andalucía;Polonia;Agosto;82.424
Andalucía;Polonia;Septiembre;78.915
Andalucía;Polonia;Octubre;35.354
Andalucía;Polonia;Noviembre;15.232
Andalucía;Polonia;Diciembre;8.598
Andalucía;Portugal;Enero;17.235
Andalucía;Portugal;Febrero;23.681
Andalucía;Portugal;Marzo;101.248
Andalucía;Portugal;Abril;52.375
Andalucía;Portugal;Mayo;30.556
Andalucía;Portugal;Junio;94.334
Andalucía;Portugal;Julio;84.825
Andalucía;Portugal;Agosto;136.334
Andalucía;Portugal;Septiembre;82.039
Andalucía;Portugal;Octubre;31.509
Andalucía;Portugal;Noviembre;16.226
Andalucía;Portugal;Diciembre;20.818
Andalucía;Reino Unido;Enero;252.520
Andalucía;Reino Unido;Febrero;280.914
Andalucía;Reino Unido;Marzo;421.427
Andalucía;Reino Unido;Abril;597.723
Andalucía;Reino Unido;Mayo;791.433
Andalucía;Reino Unido;Junio;890.985
Andalucía;Reino Unido;Julio;855.485
Andalucía;Reino Unido;Agosto;818.770
Andalucía;Reino Unido;Septiembre;929.822
Andalucía;Reino Unido;Octubre;788.612
Andalucía;Reino Unido;Noviembre;323.224
Andalucía;Reino Unido;Diciembre;234.691
Andalucía;República Checa;Enero;2.350
Andalucía;República Checa;Febrero;1.670
Andalucía;República Checa;Marzo;3.430
Andalucía;República Checa;Abril;5.235
Andalucía;República Checa;Mayo;13.977
Andalucía;República Checa;Junio;33.474
Andalucía;República Checa;Julio;35.619
Andalucía;República Checa;Agosto;34.430
Andalucía;República Checa;Septiembre;36.620
Andalucía;República Checa;Octubre;10.374
Andalucía;República Checa;Noviembre;3.956
Andalucía;República Checa;Diciembre;1.677
Andalucía;Suecia;Enero;26.101
Andalucía;Suecia;Febrero;44.326
Andalucía;Suecia;Marzo;60.578
Andalucía;Suecia;Abril;54.308
Andalucía;Suecia;Mayo;57.412
Andalucía;Suecia;Junio;53.119
Andalucía;Suecia;Julio;58.453
Andalucía;Suecia;Agosto;29.702
Andalucía;Suecia;Septiembre;48.785
Andalucía;Suecia;Octubre;75.175
Andalucía;Suecia;Noviembre;75.268
Andalucía;Suecia;Diciembre;29.088
Andalucía;Noruega;Enero;9.273
Andalucía;Noruega;Febrero;25.846
Andalucía;Noruega;Marzo;41.547
Andalucía;Noruega;Abril;28.268
Andalucía;Noruega;Mayo;24.483
Andalucía;Noruega;Junio;26.833
Andalucía;Noruega;Julio;43.911
Andalucía;Noruega;Agosto;20.481
Andalucía;Noruega;Septiembre;30.589
Andalucía;Noruega;Octubre;44.699
Andalucía;Noruega;Noviembre;34.310
Andalucía;Noruega;Diciembre;9.254
Andalucía;Rusia;Enero;15.627
Andalucía;Rusia;Febrero;12.631
Andalucía;Rusia;Marzo;10.132
Andalucía;Rusia;Abril;13.615
Andalucía;Rusia;Mayo;21.256
Andalucía;Rusia;Junio;27.019
Andalucía;Rusia;Julio;32.153
Andalucía;Rusia;Agosto;31.922
Andalucía;Rusia;Septiembre;31.092
Andalucía;Rusia;Octubre;22.360
Andalucía;Rusia;Noviembre;10.915
Andalucía;Rusia;Diciembre;9.169
Andalucía;Suiza;Enero;11.857
Andalucía;Suiza;Febrero;17.301
Andalucía;Suiza;Marzo;33.165
Andalucía;Suiza;Abril;45.033
Andalucía;Suiza;Mayo;46.427
Andalucía;Suiza;Junio;38.207
Andalucía;Suiza;Julio;52.141
Andalucía;Suiza;Agosto;35.768
Andalucía;Suiza;Septiembre;50.095
Andalucía;Suiza;Octubre;70.508
Andalucía;Suiza;Noviembre;19.233
Andalucía;Suiza;Diciembre;14.734
Andalucía;Japón;Enero;18.822
Andalucía;Japón;Febrero;14.633
Andalucía;Japón;Marzo;24.328
Andalucía;Japón;Abril;17.816
Andalucía;Japón;Mayo;23.007
Andalucía;Japón;Junio;20.829
Andalucía;Japón;Julio;13.797
Andalucía;Japón;Agosto;21.170
Andalucía;Japón;Septiembre;18.804
Andalucía;Japón;Octubre;19.113
Andalucía;Japón;Noviembre;18.678
Andalucía;Japón;Diciembre;16.360
Andalucía;Estados Unidos;Enero;39.646
Andalucía;Estados Unidos;Febrero;45.002
Andalucía;Estados Unidos;Marzo;75.192
Andalucía;Estados Unidos;Abril;96.657
Andalucía;Estados Unidos;Mayo;127.530
Andalucía;Estados Unidos;Junio;135.204
Andalucía;Estados Unidos;Julio;106.421
Andalucía;Estados Unidos;Agosto;67.631
Andalucía;Estados Unidos;Septiembre;102.083
Andalucía;Estados Unidos;Octubre;111.490
Andalucía;Estados Unidos;Noviembre;56.877
Andalucía;Estados Unidos;Diciembre;49.815
Andalucía;Países africanos;Enero;21.178
Andalucía;Países africanos;Febrero;22.095
Andalucía;Países africanos;Marzo;19.748
Andalucía;Países africanos;Abril;35.217
Andalucía;Países africanos;Mayo;27.131
Andalucía;Países africanos;Junio;14.443
Andalucía;Países africanos;Julio;63.286
Andalucía;Países africanos;Agosto;117.836
Andalucía;Países africanos;Septiembre;39.947
Andalucía;Países africanos;Octubre;26.136
Andalucía;Países africanos;Noviembre;29.597
Andalucía;Países africanos;Diciembre;32.711
Balears, Illes;Residentes en España;Enero;60.159
Balears, Illes;Residentes en España;Febrero;138.866
Balears, Illes;Residentes en España;Marzo;318.946
Balears, Illes;Residentes en España;Abril;358.636
Balears, Illes;Residentes en España;Mayo;437.315
Balears, Illes;Residentes en España;Junio;608.546
Balears, Illes;Residentes en España;Julio;741.548
Balears, Illes;Residentes en España;Agosto;818.549
Balears, Illes;Residentes en España;Septiembre;521.822
Balears, Illes;Residentes en España;Octubre;453.456
Balears, Illes;Residentes en España;Noviembre;118.733
Balears, Illes;Residentes en España;Diciembre;59.824
Balears, Illes;Alemania;Enero;110.740
Balears, Illes;Alemania;Febrero;297.231
Balears, Illes;Alemania;Marzo;769.297
Balears, Illes;Alemania;Abril;1.155.324
Balears, Illes;Alemania;Mayo;2.793.569
Balears, Illes;Alemania;Junio;3.280.199
Balears, Illes;Alemania;Julio;3.320.087
Balears, Illes;Alemania;Agosto;3.378.658
Balears, Illes;Alemania;Septiembre;3.407.006
Balears, Illes;Alemania;Octubre;2.754.782
Balears, Illes;Alemania;Noviembre;213.100
Balears, Illes;Alemania;Diciembre;117.715
Balears, Illes;Austria;Enero;4.233
Balears, Illes;Austria;Febrero;9.872
Balears, Illes;Austria;Marzo;29.113
Balears, Illes;Austria;Abril;37.205
Balears, Illes;Austria;Mayo;65.972
Balears, Illes;Austria;Junio;119.300
Balears, Illes;Austria;Julio;148.159
Balears, Illes;Austria;Agosto;140.517
Balears, Illes;Austria;Septiembre;120.153
Balears, Illes;Austria;Octubre;58.930
Balears, Illes;Austria;Noviembre;5.909
Balears, Illes;Austria;Diciembre;4.530
Balears, Illes;Bélgica;Enero;1.792
Balears, Illes;Bélgica;Febrero;5.576
Balears, Illes;Bélgica;Marzo;14.869
Balears, Illes;Bélgica;Abril;41.172
Balears, Illes;Bélgica;Mayo;98.981
Balears, Illes;Bélgica;Junio;94.374
Balears, Illes;Bélgica;Julio;170.701
Balears, Illes;Bélgica;Agosto;128.716
Balears, Illes;Bélgica;Septiembre;123.684
Balears, Illes;Bélgica;Octubre;62.088
Balears, Illes;Bélgica;Noviembre;2.867
Balears, Illes;Bélgica;Diciembre;1.201
Balears, Illes;Dinamarca;Enero;911
Balears, Illes;Dinamarca;Febrero;3.253
Balears, Illes;Dinamarca;Marzo;11.884
Balears, Illes;Dinamarca;Abril;38.712
Balears, Illes;Dinamarca;Mayo;78.605
Balears, Illes;Dinamarca;Junio;101.674
Balears, Illes;Dinamarca;Julio;201.219
Balears, Illes;Dinamarca;Agosto;127.974
Balears, Illes;Dinamarca;Septiembre;100.791
Balears, Illes;Dinamarca;Octubre;75.363
Balears, Illes;Dinamarca;Noviembre;1.907
Balears, Illes;Dinamarca;Diciembre;1.645
Balears, Illes;Finlandia;Enero;233
Balears, Illes;Finlandia;Febrero;355
Balears, Illes;Finlandia;Marzo;1.742
Balears, Illes;Finlandia;Abril;19.292
Balears, Illes;Finlandia;Mayo;14.939
Balears, Illes;Finlandia;Junio;23.178
Balears, Illes;Finlandia;Julio;24.141
