Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
01 Andalucía;Residentes en España;Enero;1.013.139
01 Andalucía;Residentes en España;Febrero;1.329.316
01 Andalucía;Residentes en España;Marzo;1.842.272
01 Andalucía;Residentes en España;Abril;2.125.055
01 Andalucía;Residentes en España;Mayo;2.028.654
01 Andalucía;Residentes en España;Junio;2.473.358
01 Andalucía;Residentes en España;Julio;3.621.961
01 Andalucía;Residentes en España;Agosto;4.374.388
01 Andalucía;Residentes en España;Septiembre;2.526.242
01 Andalucía;Residentes en España;Octubre;1.583.316
01 Andalucía;Residentes en España;Noviembre;1.307.808
01 Andalucía;Residentes en España;Diciembre;1.334.777
01 Andalucía;Alemania;Enero;104.491
01 Andalucía;Alemania;Febrero;139.281
01 Andalucía;Alemania;Marzo;255.166
01 Andalucía;Alemania;Abril;370.332
01 Andalucía;Alemania;Mayo;472.504
01 Andalucía;Alemania;Junio;488.431
01 Andalucía;Alemania;Julio;350.771
01 Andalucía;Alemania;Agosto;300.405
01 Andalucía;Alemania;Septiembre;552.539
01 Andalucía;Alemania;Octubre;497.403
01 Andalucía;Alemania;Noviembre;140.407
01 Andalucía;Alemania;Diciembre;78.323
01 Andalucía;Austria;Enero;7.353
01 Andalucía;Austria;Febrero;12.241
01 Andalucía;Austria;Marzo;15.782
01 Andalucía;Austria;Abril;21.266
01 Andalucía;Austria;Mayo;24.926
01 Andalucía;Austria;Junio;21.449
01 Andalucía;Austria;Julio;24.006
01 Andalucía;Austria;Agosto;18.685
01 Andalucía;Austria;Septiembre;24.259
01 Andalucía;Austria;Octubre;23.178
01 Andalucía;Austria;Noviembre;9.010
01 Andalucía;Austria;Diciembre;6.012
01 Andalucía;Bélgica;Enero;47.965
01 Andalucía;Bélgica;Febrero;59.144
01 Andalucía;Bélgica;Marzo;78.135
01 Andalucía;Bélgica;Abril;103.127
01 Andalucía;Bélgica;Mayo;111.194
01 Andalucía;Bélgica;Junio;115.622
01 Andalucía;Bélgica;Julio;139.731
01 Andalucía;Bélgica;Agosto;109.094
01 Andalucía;Bélgica;Septiembre;137.170
01 Andalucía;Bélgica;Octubre;102.786
01 Andalucía;Bélgica;Noviembre;58.704
01 Andalucía;Bélgica;Diciembre;45.884
01 Andalucía;Dinamarca;Enero;18.965
01 Andalucía;Dinamarca;Febrero;34.645
01 Andalucía;Dinamarca;Marzo;57.209
01 Andalucía;Dinamarca;Abril;50.533
01 Andalucía;Dinamarca;Mayo;43.901
01 Andalucía;Dinamarca;Junio;39.776
01 Andalucía;Dinamarca;Julio;60.447
01 Andalucía;Dinamarca;Agosto;39.401
01 Andalucía;Dinamarca;Septiembre;56.602
01 Andalucía;Dinamarca;Octubre;70.583
01 Andalucía;Dinamarca;Noviembre;33.962
01 Andalucía;Dinamarca;Diciembre;18.309
01 Andalucía;Finlandia;Enero;15.381
01 Andalucía;Finlandia;Febrero;26.456
