Comunidades y Ciudades Autónomas;País de residencia;Meses;Total
Andalucía;Residentes en España;Enero;435.583
Andalucía;Residentes en España;Febrero;592.854
Andalucía;Residentes en España;Marzo;671.180
Andalucía;Residentes en España;Abril;769.073
Andalucía;Residentes en España;Mayo;812.986
Andalucía;Residentes en España;Junio;962.824
Andalucía;Residentes en España;Julio;1.067.848
Andalucía;Residentes en España;Agosto;1.191.856
Andalucía;Residentes en España;Septiembre;890.234
Andalucía;Residentes en España;Octubre;752.123
Andalucía;Residentes en España;Noviembre;572.878
Andalucía;Residentes en España;Diciembre;612.938
Andalucía;Alemania;Enero;19.258
Andalucía;Alemania;Febrero;31.973
Andalucía;Alemania;Marzo;63.329
Andalucía;Alemania;Abril;88.672
Andalucía;Alemania;Mayo;109.948
Andalucía;Alemania;Junio;78.104
Andalucía;Alemania;Julio;60.558
Andalucía;Alemania;Agosto;72.954
Andalucía;Alemania;Septiembre;116.219
Andalucía;Alemania;Octubre;108.714
Andalucía;Alemania;Noviembre;35.120
Andalucía;Alemania;Diciembre;19.087
Andalucía;Austria;Enero;1.706
Andalucía;Austria;Febrero;3.064
Andalucía;Austria;Marzo;4.783
Andalucía;Austria;Abril;6.328
Andalucía;Austria;Mayo;9.177
Andalucía;Austria;Junio;5.076
Andalucía;Austria;Julio;5.822
Andalucía;Austria;Agosto;5.678
Andalucía;Austria;Septiembre;7.942
Andalucía;Austria;Octubre;5.717
Andalucía;Austria;Noviembre;2.944
Andalucía;Austria;Diciembre;1.800
Andalucía;Bélgica;Enero;7.841
Andalucía;Bélgica;Febrero;11.355
Andalucía;Bélgica;Marzo;14.185
Andalucía;Bélgica;Abril;24.543
Andalucía;Bélgica;Mayo;26.362
Andalucía;Bélgica;Junio;22.973
Andalucía;Bélgica;Julio;30.320
Andalucía;Bélgica;Agosto;24.737
Andalucía;Bélgica;Septiembre;29.765
Andalucía;Bélgica;Octubre;21.120
Andalucía;Bélgica;Noviembre;14.303
Andalucía;Bélgica;Diciembre;9.649
Andalucía;Dinamarca;Enero;3.780
Andalucía;Dinamarca;Febrero;5.822
Andalucía;Dinamarca;Marzo;11.267
Andalucía;Dinamarca;Abril;8.694
Andalucía;Dinamarca;Mayo;6.580
Andalucía;Dinamarca;Junio;5.785
Andalucía;Dinamarca;Julio;9.798
Andalucía;Dinamarca;Agosto;4.692
Andalucía;Dinamarca;Septiembre;8.556
Andalucía;Dinamarca;Octubre;10.658
Andalucía;Dinamarca;Noviembre;4.815
Andalucía;Dinamarca;Diciembre;3.172
Andalucía;Finlandia;Enero;3.261
Andalucía;Finlandia;Febrero;4.138
Andalucía;Finlandia;Marzo;6.146
Andalucía;Finlandia;Abril;6.956
Andalucía;Finlandia;Mayo;6.536
Andalucía;Finlandia;Junio;4.860
Andalucía;Finlandia;Julio;5.083
Andalucía;Finlandia;Agosto;3.777
Andalucía;Finlandia;Septiembre;5.149
Andalucía;Finlandia;Octubre;6.802
Andalucía;Finlandia;Noviembre;4.163
Andalucía;Finlandia;Diciembre;3.908
Andalucía;Francia;Enero;20.077
Andalucía;Francia;Febrero;32.739
Andalucía;Francia;Marzo;34.601
Andalucía;Francia;Abril;93.212
Andalucía;Francia;Mayo;117.945
Andalucía;Francia;Junio;78.451
Andalucía;Francia;Julio;76.933
Andalucía;Francia;Agosto;119.915
Andalucía;Francia;Septiembre;92.815
Andalucía;Francia;Octubre;86.148
Andalucía;Francia;Noviembre;29.394
Andalucía;Francia;Diciembre;26.320
Andalucía;Grecia;Enero;481
Andalucía;Grecia;Febrero;704
Andalucía;Grecia;Marzo;759
Andalucía;Grecia;Abril;1.620
Andalucía;Grecia;Mayo;1.592
Andalucía;Grecia;Junio;1.750
Andalucía;Grecia;Julio;876
Andalucía;Grecia;Agosto;1.906
Andalucía;Grecia;Septiembre;883
Andalucía;Grecia;Octubre;1.070
Andalucía;Grecia;Noviembre;1.214
Andalucía;Grecia;Diciembre;1.168
Andalucía;Irlanda;Enero;3.809
Andalucía;Irlanda;Febrero;5.850
Andalucía;Irlanda;Marzo;6.716
Andalucía;Irlanda;Abril;12.772
Andalucía;Irlanda;Mayo;19.532
Andalucía;Irlanda;Junio;18.431
Andalucía;Irlanda;Julio;14.217
Andalucía;Irlanda;Agosto;13.801
Andalucía;Irlanda;Septiembre;19.657
Andalucía;Irlanda;Octubre;18.262
Andalucía;Irlanda;Noviembre;5.875
Andalucía;Irlanda;Diciembre;4.319
Andalucía;Italia;Enero;17.612
Andalucía;Italia;Febrero;16.331
Andalucía;Italia;Marzo;21.437
Andalucía;Italia;Abril;37.950
Andalucía;Italia;Mayo;44.191
Andalucía;Italia;Junio;38.981
Andalucía;Italia;Julio;38.765
Andalucía;Italia;Agosto;80.409
Andalucía;Italia;Septiembre;46.612
Andalucía;Italia;Octubre;38.989
Andalucía;Italia;Noviembre;21.063
Andalucía;Italia;Diciembre;25.550
Andalucía;Luxemburgo;Enero;337
Andalucía;Luxemburgo;Febrero;382
Andalucía;Luxemburgo;Marzo;952
Andalucía;Luxemburgo;Abril;1.507
Andalucía;Luxemburgo;Mayo;869
Andalucía;Luxemburgo;Junio;953
Andalucía;Luxemburgo;Julio;1.098
Andalucía;Luxemburgo;Agosto;1.441
Andalucía;Luxemburgo;Septiembre;1.248
Andalucía;Luxemburgo;Octubre;1.212
Andalucía;Luxemburgo;Noviembre;639
Andalucía;Luxemburgo;Diciembre;450
Andalucía;Países Bajos;Enero;11.842
Andalucía;Países Bajos;Febrero;14.599
Andalucía;Países Bajos;Marzo;20.828
Andalucía;Países Bajos;Abril;30.147
Andalucía;Países Bajos;Mayo;43.777
Andalucía;Países Bajos;Junio;32.705
Andalucía;Países Bajos;Julio;28.990
Andalucía;Países Bajos;Agosto;27.334
Andalucía;Países Bajos;Septiembre;40.277
Andalucía;Países Bajos;Octubre;39.149
Andalucía;Países Bajos;Noviembre;16.251
Andalucía;Países Bajos;Diciembre;11.005
Andalucía;Polonia;Enero;3.203
Andalucía;Polonia;Febrero;3.133
Andalucía;Polonia;Marzo;4.238
Andalucía;Polonia;Abril;8.038
Andalucía;Polonia;Mayo;9.173
Andalucía;Polonia;Junio;14.401
