cat_educacion,estado_laboral,familia,riq_inmob,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_form,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok,weight
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,21,1449,2022,1.0,1.0,1.0,3984.177
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,0,0,0,0,1,0,0,0,1,0,41,1450,2022,0.0,1.0,0.0,2676.4705
Educación Primaria,Asalariado,Vive solo,Solo residencia principal,0.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,58,1451,2021,1.0,0.0,1.0,5391.0386
Universidad,Asalariado,Otros adultos,Residencia principal y otras,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,50,1452,2022,1.0,0.0,1.0,2571.9299
Universidad,Asalariado,Otros adultos,Solo residencia principal,0.0,1.0,0.0,0.0,1.0,0,0,0,1,0,0,0,0,0,0,57,1453,2021,,0.0,,7960.6694
Educación Primaria,Asalariado,Vive solo,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,42,1454,2022,0.0,0.0,1.0,4224.8242
Educación Primaria,Jubilado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,70,1455,2021,0.0,0.0,0.0,15358.692
Educación Primaria,Autónomo,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,50,1456,2022,1.0,0.0,,5494.5396
Educación Primaria,Desempleado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,57,1457,2022,1.0,0.0,1.0,3486.0332
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,63,1458,2022,1.0,1.0,1.0,2817.2576
Educación Primaria,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,44,1459,2021,1.0,1.0,1.0,10308.308
Educación Primaria,Otros inactivos,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,19,1460,2022,0.0,1.0,1.0,4580.6616
Educación Primaria,Otros inactivos,Otros adultos,Residencia principal y otras,0.0,1.0,0.0,1.0,1.0,0,1,1,0,0,0,0,0,0,0,64,1461,2021,0.0,0.0,,8266.0889
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,19,1462,2021,0.0,0.0,0.0,4928.2144
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,48,1463,2022,1.0,0.0,,11766.511
Educación Primaria,Otros inactivos,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,29,1464,2022,1.0,,1.0,2703.3479
Educación Primaria,Jubilado,Vive solo,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,79,1465,2022,,,1.0,14107.971
Educación Primaria,Desempleado,Otros adultos,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,56,1466,2022,0.0,,0.0,6505.8516
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,1.0,0,0,1,0,0,0,0,0,0,0,30,1467,2021,1.0,1.0,,7486.627
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,67,1468,2022,1.0,0.0,1.0,3554.5449
Educación Secundaria,Desempleado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,28,1469,2022,0.0,1.0,0.0,8001.4844
Educación Secundaria,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,59,1470,2021,1.0,0.0,1.0,3254.1372
Educación Secundaria,Asalariado,Vive solo,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,24,1471,2022,1.0,1.0,1.0,4276.6157
Educación Primaria,Jubilado,Vive solo,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,78,1472,2022,1.0,,1.0,5146.6523
Educación Secundaria,Jubilado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,66,1473,2021,1.0,0.0,1.0,3712.7551
Educación Secundaria,Desempleado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,0,0,1,1,1,0,0,0,0,0,45,1474,2021,1.0,1.0,1.0,7901.7017
Universidad,Asalariado,Otros adultos,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,25,1475,2021,0.0,0.0,1.0,2776.8987
Educación Secundaria,Jubilado,Otros adultos,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,60,1476,2022,1.0,1.0,1.0,6019.2803
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,19,1477,2022,0.0,0.0,1.0,7895.9609
Educación Primaria,Desempleado,,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,51,1478,2022,,,,3996.2432
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,1,0,0,0,49,1479,2022,0.0,1.0,1.0,7245.7915
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,25,1480,2022,1.0,1.0,0.0,3098.5088
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,61,1481,2022,1.0,0.0,1.0,5784.2651
Educación Secundaria,Jubilado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,65,1482,2022,,1.0,1.0,1766.8701
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,43,1483,2022,1.0,1.0,1.0,3451.9097
Universidad,Asalariado,Vive solo,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,56,1484,2021,1.0,1.0,0.0,3493.937
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,65,1485,2021,0.0,1.0,1.0,1646.0823
Universidad,Otros inactivos,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,57,1486,2022,1.0,0.0,0.0,3486.946
Universidad,Asalariado,Vive con pareja,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,36,1487,2021,1.0,1.0,1.0,5228.0957
Universidad,Desempleado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,54,1488,2022,0.0,0.0,1.0,2345.7126
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,31,1489,2022,1.0,0.0,1.0,8253.8467
Universidad,Asalariado,Vive solo,Solo residencia principal,0.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,33,1490,2022,1.0,0.0,1.0,9437.749
Universidad,Asalariado,Otros adultos,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,64,1491,2022,1.0,0.0,1.0,3370.0347
Educación Secundaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,1,0,0,0,0,0,1,0,0,23,1492,2021,1.0,0.0,1.0,2803.4253
Universidad,Desempleado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,62,1493,2021,1.0,1.0,1.0,2311.9683
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,21,1494,2022,1.0,0.0,1.0,3572.6868
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,54,1495,2021,1.0,0.0,1.0,3073.8535
Educación Primaria,Asalariado,Otros adultos,Residencia principal y otras,0.0,1.0,0.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,22,1496,2022,0.0,0.0,1.0,2045.2977
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,40,1497,2021,1.0,1.0,1.0,3432.9719
Educación Primaria,Desempleado,Otros adultos,No posee residencia principal,0.0,0.0,0.0,1.0,1.0,0,0,0,0,0,0,0,1,0,0,45,1498,2022,,0.0,0.0,10316.132
Educación Secundaria,Desempleado,Vive con pareja,No posee residencia principal,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,58,1499,2022,0.0,0.0,,9584.4434
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,42,1500,2022,1.0,0.0,1.0,7667.2617
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,37,1501,2022,0.0,0.0,,1903.201
Universidad,Asalariado,Otros adultos,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,56,1502,2022,1.0,1.0,1.0,5207.1353
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,34,1503,2022,1.0,,0.0,1120.2523
Universidad,Autónomo,Vive solo,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,1,30,1504,2022,1.0,1.0,1.0,728.28278
Educación Secundaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,55,1505,2022,1.0,0.0,1.0,1727.9513
Universidad,Autónomo,Otros adultos,Solo residencia principal,1.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,60,1506,2022,1.0,0.0,0.0,656.17523
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,53,1507,2022,0.0,0.0,1.0,5024.0884
Universidad,Jubilado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,72,1508,2022,1.0,1.0,1.0,5450.5098
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,57,1509,2022,,0.0,,2198.0681
Universidad,Asalariado,Vive solo,No posee residencia principal,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,38,1510,2021,1.0,0.0,1.0,5378.9585
Educación Secundaria,Asalariado,Otros adultos,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,51,1511,2022,1.0,0.0,0.0,4336.7969
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,65,1512,2022,1.0,1.0,1.0,3402.2649
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,49,1513,2021,1.0,0.0,1.0,5797.4243
Universidad,Otros inactivos,Otros adultos,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,24,1514,2022,1.0,0.0,1.0,4268.4565
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,48,1515,2022,1.0,0.0,1.0,3024.6306
Universidad,Desempleado,,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,45,1516,2022,1.0,0.0,1.0,1782.9039
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,47,1517,2022,1.0,0.0,1.0,2233.3196
Educación Primaria,Jubilado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,69,1518,2022,0.0,1.0,,10173.523
Universidad,Jubilado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,0,0,0,1,1,0,0,0,0,0,65,1519,2021,1.0,,0.0,3742.8735
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,1,49,1520,2022,1.0,0.0,0.0,1399.3269
Educación Primaria,Asalariado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,53,1521,2021,1.0,0.0,1.0,1969.969
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,49,1522,2022,1.0,0.0,0.0,2233.3196
Educación Secundaria,Jubilado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,76,1523,2021,1.0,1.0,1.0,2698.5505
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,47,1524,2022,1.0,1.0,1.0,1002.8745
Educación Secundaria,Asalariado,Vive solo,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,58,1525,2022,1.0,0.0,1.0,7178.5884
Educación Primaria,Autónomo,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,47,1526,2022,0.0,1.0,1.0,4355.6772
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,73,1527,2022,0.0,0.0,1.0,7418.4033
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,44,1528,2022,1.0,0.0,1.0,2960.3625
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,40,1529,2022,1.0,0.0,0.0,2712.5208
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,52,1530,2022,1.0,1.0,1.0,2571.9299
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,20,1531,2022,1.0,,,4928.2144
Educación Primaria,Desempleado,Vive solo,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,20,1532,2021,1.0,1.0,1.0,3600.2041
Universidad,Asalariado,Otros adultos,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,26,1533,2022,0.0,1.0,,4905.1001
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,37,1534,2022,0.0,0.0,,3442.6936
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,25,1535,2022,0.0,1.0,0.0,2598.2417
Universidad,Desempleado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,1,27,1536,2022,,1.0,,1814.438
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,21,1537,2021,0.0,1.0,0.0,1801.12
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,47,1538,2022,1.0,0.0,1.0,6294.4971
Educación Primaria,Otros inactivos,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,62,1539,2022,0.0,0.0,1.0,10735.241
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,47,1540,2022,1.0,1.0,1.0,613.16241
Universidad,Jubilado,Vive con pareja,Solo residencia principal,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,72,1541,2022,1.0,1.0,1.0,3265.8367
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,49,1542,2022,1.0,1.0,1.0,1399.3269
Educación Secundaria,Autónomo,Vive con pareja,Residencia principal y otras,0.0,0.0,1.0,0.0,1.0,0,1,0,0,0,0,0,0,0,0,41,1543,2022,1.0,0.0,0.0,3904.0886
Educación Primaria,Otros inactivos,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,56,1544,2022,1.0,0.0,,3441.0325
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,0,0,0,45,1545,2022,0.0,0.0,1.0,2811.2014
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,35,1546,2022,1.0,1.0,1.0,3473.0354
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,69,1547,2022,0.0,1.0,,4154.0249
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,52,1548,2022,1.0,0.0,0.0,2221.2324
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,43,1549,2022,,0.0,0.0,2094.7771
Educación Primaria,Otros inactivos,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,1.0,1.0,1,0,0,0,0,0,0,1,0,0,28,1550,2022,1.0,1.0,0.0,1130.7034
Universidad,Jubilado,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,68,1551,2022,1.0,1.0,1.0,3246.0586
Educación Primaria,Asalariado,Otros adultos,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,25,1552,2022,0.0,0.0,1.0,4609.5688
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,27,1553,2021,1.0,1.0,1.0,4209.5913
Educación Secundaria,Asalariado,,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,36,1554,2022,1.0,0.0,0.0,3162.7271
Universidad,Asalariado,Vive solo,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,56,1555,2022,1.0,1.0,1.0,4075.4712
Educación Primaria,Asalariado,Vive solo,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,36,1556,2022,0.0,1.0,,12901.365
Universidad,Asalariado,Otros adultos,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,44,1557,2022,1.0,1.0,1.0,2192.8604
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,41,1558,2022,1.0,1.0,0.0,2756.4214
Universidad,Asalariado,Vive solo,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,48,1559,2021,1.0,0.0,1.0,5921.2363
Universidad,Autónomo,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,50,1560,2022,1.0,1.0,1.0,5779.9355
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,67,1561,2022,,,,5103.8926
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,37,1562,2021,1.0,1.0,1.0,3056.7937
Universidad,Asalariado,Otros adultos,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,1,0,0,0,0,0,0,0,0,26,1563,2021,1.0,0.0,1.0,2606.2605
Universidad,Asalariado,Vive con pareja,No posee residencia principal,0.0,1.0,0.0,1.0,1.0,1,1,0,0,0,0,0,0,1,0,30,1564,2021,0.0,0.0,0.0,7249.6519
Educación Secundaria,Otros inactivos,Vive con pareja,No posee residencia principal,1.0,1.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,46,1565,2022,1.0,0.0,,2844.7029
Educación Secundaria,Autónomo,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,36,1566,2022,0.0,0.0,0.0,3207.1128
Educación Primaria,Asalariado,Otros adultos,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,62,1567,2021,1.0,0.0,1.0,9066.2705
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,62,1568,2022,1.0,1.0,0.0,6594.7412
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0,52,1569,2022,1.0,0.0,1.0,1368.3347
Universidad,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,34,1570,2022,1.0,1.0,0.0,1933.8716
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,42,1571,2022,1.0,0.0,0.0,1543.3199
Universidad,Asalariado,Otros adultos,No posee residencia principal,0.0,1.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,42,1572,2022,1.0,1.0,,9011.416
Educación Primaria,Desempleado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,46,1573,2022,,,,1072.7111
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,67,1574,2022,,,,1695.9076
Universidad,Asalariado,Otros adultos,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,24,1575,2021,1.0,1.0,1.0,6122.4868
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,58,1576,2022,1.0,1.0,0.0,3983.0781
Universidad,Asalariado,Otros adultos,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,39,1577,2021,0.0,0.0,1.0,3219.5227
Educación Primaria,Autónomo,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,56,1578,2022,0.0,,1.0,4502.7231
Educación Primaria,Asalariado,Vive con pareja,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,1,0,52,1579,2022,0.0,0.0,,2270.0276
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,46,1580,2022,1.0,1.0,,5731.002
Universidad,Asalariado,Otros adultos,Solo residencia principal,0.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,35,1581,2021,0.0,0.0,0.0,6738.8394
Educación Secundaria,Otros inactivos,Otros adultos,Solo residencia principal,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,19,1582,2022,0.0,0.0,1.0,3851.8464
Universidad,Asalariado,Vive con pareja,No posee residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,40,1583,2022,1.0,1.0,1.0,3432.9719
Universidad,Otros inactivos,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,23,1584,2021,0.0,0.0,1.0,4564.0557
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,1,1,1,1,0,1,0,0,0,0,28,1585,2022,0.0,1.0,1.0,6596.6167
Educación Secundaria,Asalariado,Otros adultos,Residencia principal y otras,0.0,1.0,0.0,0.0,0.0,1,1,1,0,0,0,0,0,0,0,37,1586,2022,0.0,1.0,0.0,2073.103
Educación Secundaria,Asalariado,Vive solo,No posee residencia principal,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,18,1587,2021,1.0,0.0,1.0,2803.4253
Universidad,Asalariado,Vive con pareja,Solo residencia principal,0.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,45,1588,2022,1.0,0.0,1.0,6377.9165
Educación Primaria,Asalariado,Vive con pareja,No posee residencia principal,1.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,37,1589,2021,0.0,1.0,1.0,9992.5996
Educación Secundaria,Autónomo,Vive con pareja,,0.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,51,1590,2022,1.0,1.0,,4948.3657
Educación Secundaria,Otros inactivos,Otros adultos,No posee residencia principal,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,1,0,0,0,0,24,1591,2021,0.0,0.0,,3970.8975
Universidad,Desempleado,Otros adultos,Solo residencia principal,0.0,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,23,1592,2021,,1.0,1.0,7597.6108
Educación Primaria,Asalariado,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,64,1593,2021,,1.0,0.0,8765.3135
Universidad,Autónomo,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,60,1594,2022,0.0,0.0,1.0,1205.519
