cat_educacion,estado_laboral,familia,riq_inmob,ahorro,deuda,adq_ahorro2,adq_deuda2,adq_otro,ahorra_12m,consumo_ahorros,cred_inf,cred_form,cred_add,impago,ayudas,rechazo,semirechazo,nopiden,age,ID,year,inflacion_ok,interes_comp_ok,diversificacion_ok,weight
Universidad,Autónomo,Vive con pareja,Solo residencia principal,0.0,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,39,33,2021,0.0,0.0,0.0,2216.0696
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,48,34,2022,1.0,1.0,1.0,2722.5627
Educación Primaria,Otros inactivos,Vive con pareja,Residencia principal y otras,1.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,73,35,2022,1.0,1.0,1.0,4881.1382
Educación Secundaria,Asalariado,Vive con pareja,Solo residencia principal,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,44,36,2022,1.0,1.0,0.0,2896.4443
Universidad,Asalariado,Otros adultos,Solo residencia principal,1.0,1.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,61,37,2022,1.0,0.0,1.0,2076.2737
Universidad,Asalariado,Otros adultos,Residencia principal y otras,1.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,0,0,0,46,38,2022,1.0,1.0,1.0,2623.333
Educación Secundaria,Otros inactivos,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,20,39,2022,0.0,1.0,1.0,3824.4146
Universidad,Otros inactivos,Otros adultos,Residencia principal y otras,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,23,40,2022,1.0,1.0,1.0,1967.3148
Universidad,Asalariado,Vive con pareja,Solo residencia principal,1.0,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,29,41,2022,0.0,1.0,1.0,3290.9302
Educación Primaria,Autónomo,Otros adultos,Residencia principal y otras,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,60,42,2021,1.0,0.0,0.0,4076.2532
Universidad,Asalariado,Vive con pareja,Residencia principal y otras,1.0,1.0,0.0,0.0,1.0,1,0,0,0,0,0,0,0,0,0,48,43,2022,1.0,0.0,,2356.6753
Educación Primaria,Autónomo,Otros adultos,Solo residencia principal,1.0,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,53,44,2021,1.0,1.0,,4242.9326
