ENCUESTA ANUAL LABORAL,,,,,EAL
,,,,,Volver al índice
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,16.941,11.319,52.032,19.708
Dificultad para evaluar la necesidades de formación de la empresa,100,26.112,52.53,19.191,2.168
La falta de cursos de formación adecuados en el mercado,100,23.776,50.058,20.322,5.844
El alto coste de los cursos de formación,100,20.247,36.115,29.964,13.675
La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,100,70.427,20.917,6.996,1.66
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,29.389,37.574,26.263,6.773
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,17.491,27.204,41.626,13.679
Dificultad para acceder a ayudas o subvenciones públicas,100,21.993,32.694,31.555,13.758
Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,100,46.617,40.257,10.354,2.773
Otras razones,100,56.966,27.115,11.636,4.283
"EAL-25e. EMPRESAS DEL SECTOR SERVICIOS QUE NO PROPORCIONARON FORMACIÓN A SUS TRABAJADORES, SEGÚN GRADO DE INFLUENCIA QUE SUPUSIERON CIERTOS MOTIVOS PARA NO PROPORCIONAR FORMACIÓN ",,,,,
Año 2022. Porcentaje sobre el total de empresas en el sector servicios que no proporcionaron formación a sus trabajadores.,,,,,
,TOTAL,NADA,POCO,BASTANTE,MUCHO
El nivel de formación de los empleados era el apropiado para las necesidades de la empresa,100,7.837,14.853,52.362,24.948
"La estrategia preferida de la empresa fue contratar personal con la cualificación, habilidades o competencias requeridas",100,19.19,16.486,43.774,20.55
Dificultad para evaluar la necesidades de formación de la empresa,100,28.51,47.281,19.494,4.715
La falta de cursos de formación adecuados en el mercado,100,28.239,42.411,19.655,9.696
El alto coste de los cursos de formación,100,26.342,37.952,24.879,10.828
La empresa prefirió tener personal con contrato de formación y aprendizaje o formación por convenio de formación profesional dual,100,68.732,20.668,7.343,3.257
El mayor esfuerzo realizado en años anteriores para ofrecer formación a sus trabajadores,100,32.694,38.222,22.816,6.268
La elevada carga de trabajo y el escaso tiempo disponible de los empleados de su empresa,100,20.286,31.058,31.794,16.862
Dificultad para acceder a ayudas o subvenciones públicas,100,28.034,34.617,26.627,10.722
Cancelación o aplazamiento de las actividades de formación debido a las restricciones por COVID,100,48.071,39.079,7.358,5.492
Otras razones,100,55.692,30.218,7.483,6.608
