Variable,Importancia
carga_trabajo_diaria,0.3627839438833991
edad,0.17266270896099628
tiempo_servicio,0.17149071734020777
hijos,0.10053475898859228
fumador_social,0.09109955986557804
entrega_a_tiempo,0.06350351636365928
bebedor_social,0.037924794597567396
