Variable,Importancia
carga_trabajo_diaria,0.48040346136514356
distancia_casa_trabajo,0.15638588528238173
indice_masa_corporal,0.1553507378818159
tiempo_servicio,0.06313651413554996
edad,0.05959457000151331
hijos,0.037772256527672195
falta_disciplinaria,0.02108027744431608
educacion,0.013828948368832103
bebedor_social,0.009424132577678533
fumador_social,0.0030232164150967482
