categoria,TOTAL (2),Cursos de formación  diseñados y gestionados por su empresa,Cursos de formación diseñados y gestionados por otra organización,"Formación planificada en el puesto de trabajo, utilizando los medios habituales de trabajo","Aprendizaje planificado a partir de rotación de puestos de trabajo, intercambios, etc.","Participación en conferencias, seminarios, grupos de trabajo, talleres o ferias de muestras",TOTAL
COMUNIDAD AUTÓNOMA,,,,,,,
Andalucía ,,23.902570247731774,76.82375094764129,47.9274167909809,26.16223618889242,27.75671908243868,73.32472609249197
Aragón ,,36.26283367556468,73.53867214236824,54.97604380561259,25.530458590006845,38.64476386036961,73.58718646116651
Asturias (Principado de),,32.340241796200345,74.39550949913644,57.96632124352332,21.20034542314335,32.10276338514681,73.01387137452711
Balears (Illes),,30.39426523297491,72.68817204301075,55.6415770609319,23.412186379928315,36.07168458781362,61.53506837229819
Canarias ,,29.797178866538687,71.32125865954428,59.961605875970285,24.021367164677407,28.42834487939237,69.62459321245932
Cantabria ,,36.70081243376899,78.20558106676086,53.973860826563055,27.446132108795478,31.75556340515719,71.5802781289507
Castilla-La Mancha,,29.233176838810643,76.30672926447575,55.33646322378717,27.47000521648409,36.76577986437141,73.92981102969533
Castilla y León,,35.078630897317296,70.76780758556892,50.712303422756705,26.938020351526365,36.95652173913044,70.56596383575952
Cataluña ,,37.30127186009539,75.36565977742448,58.31677265500795,30.78100158982512,41.25,76.295599963611
Comunitat Valenciana ,,38.074398249452955,71.11934017842114,55.53610503282276,26.032654435280257,32.28076081467766,74.3200980760089
Extremadura ,,32.381782523425585,69.07823055131837,58.00828067117019,33.994334277620396,33.55850947918937,75.34066655721557
Galicia ,,26.729871232489035,74.47997735955852,62.97580302815905,27.12607895853969,34.49129758030281,75.14487745228348
Madrid (Comunidad de),,41.842742449343696,71.67579966866319,58.771505033770865,26.178157257550655,38.46820440932841,72.99127490558666
Murcia (Región de),,28.46067415730337,77.69662921348315,53.69662921348315,26.651685393258425,30.617977528089888,76.93637621023512
Navarra (Comunidad Foral de),,35.64382831245001,74.19354838709677,59.87736603572381,29.08557717941882,36.73687016795521,78.85221778431784
País Vasco ,,44.73196223870533,69.77410654079569,58.917734322319625,31.50708024275118,36.79197572488199,71.1740356350111
"Rioja, La",,37.86353467561521,70.3579418344519,59.45190156599553,28.859060402684563,36.74496644295302,70.22780832678711
